file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
w3001_ccby20_ba4aca_2013_03_18_Seoul_in_Korea_明洞.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,veroyama,https://www.flickr.com/photos/veroyama/8629955781/,2013-03-18 17:41:11,"https://commons.wikimedia.org/wiki/File:2013-03-18_Seoul_in_Korea,_%E6%98%8E%E6%B4%9E.jpg",https://upload.wikimedia.org/wikipedia/commons/4/4f/2013-03-18_Seoul_in_Korea%2C_%E6%98%8E%E6%B4%9E.jpg,4288,2848,cat:Bukchon Hanok Village,"File:2013-03-18 Seoul in Korea, 明洞.jpg"
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Trainholic,Own work,2018-07-07 16:11:54,https://commons.wikimedia.org/wiki/File:2018_Bukchon_Hanok_village.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7e/2018_Bukchon_Hanok_village.jpg,5184,3456,cat:Bukchon Hanok Village,File:2018 Bukchon Hanok village.jpg
,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Jorge Cortell,Imported from 500px ( archived version ) by the Archive Team . ( detail page ),"14 October 2012, 23:05:43 (UTC)",https://commons.wikimedia.org/wiki/File:500px_photo_(16143173).jpeg,https://upload.wikimedia.org/wikipedia/commons/5/55/500px_photo_%2816143173%29.jpeg,1530,2048,cat:Bukchon Hanok Village,File:500px photo (16143173).jpeg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Sakaori ( talk ),Own work,2012-01-07,https://commons.wikimedia.org/wiki/File:Area_east_of_Bukchon_Hanok_Village_A.JPG,https://upload.wikimedia.org/wikipedia/commons/5/58/Area_east_of_Bukchon_Hanok_Village_A.JPG,4000,3000,cat:Bukchon Hanok Village,File:Area east of Bukchon Hanok Village A.JPG
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Sakaori ( talk ),Own work,2012-01-07,https://commons.wikimedia.org/wiki/File:Area_east_of_Bukchon_Hanok_Village_B.JPG,https://upload.wikimedia.org/wikipedia/commons/1/18/Area_east_of_Bukchon_Hanok_Village_B.JPG,4000,3000,cat:Bukchon Hanok Village,File:Area east of Bukchon Hanok Village B.JPG
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Sakaori ( talk ),Own work,2012-01-07,https://commons.wikimedia.org/wiki/File:Area_west_of_Bukchon_Hanok_Village_A.JPG,https://upload.wikimedia.org/wikipedia/commons/4/45/Area_west_of_Bukchon_Hanok_Village_A.JPG,4000,3000,cat:Bukchon Hanok Village,File:Area west of Bukchon Hanok Village A.JPG
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Sakaori ( talk ),Own work,2012-01-07,https://commons.wikimedia.org/wiki/File:Area_west_of_Bukchon_Hanok_Village_B.JPG,https://upload.wikimedia.org/wikipedia/commons/6/69/Area_west_of_Bukchon_Hanok_Village_B.JPG,4000,3000,cat:Bukchon Hanok Village,File:Area west of Bukchon Hanok Village B.JPG
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Sakaori ( talk ),Own work,2012-01-07,https://commons.wikimedia.org/wiki/File:Area_west_of_Bukchon_Hanok_Village_C.JPG,https://upload.wikimedia.org/wikipedia/commons/3/3d/Area_west_of_Bukchon_Hanok_Village_C.JPG,4000,3000,cat:Bukchon Hanok Village,File:Area west of Bukchon Hanok Village C.JPG
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Sakaori ( talk ),Own work,2012-01-07,https://commons.wikimedia.org/wiki/File:Area_west_of_Bukchon_Hanok_Village_D.JPG,https://upload.wikimedia.org/wikipedia/commons/3/32/Area_west_of_Bukchon_Hanok_Village_D.JPG,4000,3000,cat:Bukchon Hanok Village,File:Area west of Bukchon Hanok Village D.JPG
w3010_cc0_12601b_Bukchon_20181003_080109.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,H. Y. Shin 000,Own work,2018-10-03 08:01:09,https://commons.wikimedia.org/wiki/File:Bukchon_20181003_080109.jpg,https://upload.wikimedia.org/wikipedia/commons/8/82/Bukchon_20181003_080109.jpg,4128,3096,cat:Bukchon Hanok Village,File:Bukchon 20181003 080109.jpg
w3011_cc0_10331c_Bukchon_Hanok_Village_01.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_01.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2e/Bukchon_Hanok_Village_01.jpg,4898,3265,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 01.jpg
w3012_cc0_af6f27_Bukchon_Hanok_Village_02.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_02.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Bukchon_Hanok_Village_02.jpg,3824,2549,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 02.jpg
w3013_cc0_07cf53_Bukchon_Hanok_Village_03.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_03.jpg,https://upload.wikimedia.org/wikipedia/commons/f/ff/Bukchon_Hanok_Village_03.jpg,4914,3276,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 03.jpg
w3014_cc0_2ab7a1_Bukchon_Hanok_Village_04.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_04.jpg,https://upload.wikimedia.org/wikipedia/commons/0/08/Bukchon_Hanok_Village_04.jpg,4716,3144,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 04.jpg
w3015_cc0_2d6c33_Bukchon_Hanok_Village_05.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_05.jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Bukchon_Hanok_Village_05.jpg,5184,3456,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 05.jpg
w3016_cc0_a592ca_Bukchon_Hanok_Village_06.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_06.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Bukchon_Hanok_Village_06.jpg,4557,3038,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 06.jpg
w3017_cc0_5bebed_Bukchon_Hanok_Village_07.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_07.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Bukchon_Hanok_Village_07.jpg,4269,2846,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 07.jpg
w3018_cc0_167a54_Bukchon_Hanok_Village_08.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_08.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/Bukchon_Hanok_Village_08.jpg,3327,2218,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 08.jpg
w3019_cc0_645b6c_Bukchon_Hanok_Village_09.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Bgag,Own work,2022-09-27,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_09.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/Bukchon_Hanok_Village_09.jpg,3924,2616,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 09.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Solène Huille,Own work,2018-03-25 16:26:15,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_2.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Bukchon_Hanok_Village_2.jpg,4608,3456,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 2.jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_01,2015-01-19 15:20,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_01_(16134966930).jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Bukchon_Hanok_Village_20150119_01_%2816134966930%29.jpg,5712,3304,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 01 (16134966930).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_02,2015-01-19 15:21,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_02_(16322351665).jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Bukchon_Hanok_Village_20150119_02_%2816322351665%29.jpg,5088,2440,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 02 (16322351665).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_03,2015-01-19 15:47,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_03_(16320552601).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Bukchon_Hanok_Village_20150119_03_%2816320552601%29.jpg,5472,2664,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 03 (16320552601).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_04,2015-01-19 15:41,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_04_(16136482787).jpg,https://upload.wikimedia.org/wikipedia/commons/0/06/Bukchon_Hanok_Village_20150119_04_%2816136482787%29.jpg,4840,2432,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 04 (16136482787).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_05,2015-01-19 15:48,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_05_(16296408726).jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Bukchon_Hanok_Village_20150119_05_%2816296408726%29.jpg,4848,2744,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 05 (16296408726).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_06,2015-01-19 15:56,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_06_(16321479692).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6a/Bukchon_Hanok_Village_20150119_06_%2816321479692%29.jpg,5072,2648,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 06 (16321479692).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_07,2015-01-19 16:05,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_07_(16320552851).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cb/Bukchon_Hanok_Village_20150119_07_%2816320552851%29.jpg,3420,5304,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 07 (16320552851).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Republic of Korea from Seoul, Republic of Korea",Bukchon_Hanok_Village_20150119_08,2015-01-19 16:35,https://commons.wikimedia.org/wiki/File:Bukchon_Hanok_Village_20150119_08_(16321479002).jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Bukchon_Hanok_Village_20150119_08_%2816321479002%29.jpg,5488,3400,cat:Bukchon Hanok Village,File:Bukchon Hanok Village 20150119 08 (16321479002).jpg
