file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Deupr,Own work,2013-04-04 16:08:43,https://commons.wikimedia.org/wiki/File:%EB%8F%99%EC%9D%98%EB%8C%80%ED%95%99%EA%B5%90_%EC%95%BC%EC%99%B8%EC%9D%8C%EC%95%85%EB%8B%B9.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/%EB%8F%99%EC%9D%98%EB%8C%80%ED%95%99%EA%B5%90_%EC%95%BC%EC%99%B8%EC%9D%8C%EC%95%85%EB%8B%B9.jpg,4389,2926,search:야외음악당,File:동의대학교 야외음악당.jpg
w3002_cc0_f4ab77_야외음악당_공연_AMJ.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,칼빈500,Own work,2018-09-29 18:13:05,https://commons.wikimedia.org/wiki/File:%EC%95%BC%EC%99%B8%EC%9D%8C%EC%95%85%EB%8B%B9_%EA%B3%B5%EC%97%B0(AMJ).jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/%EC%95%BC%EC%99%B8%EC%9D%8C%EC%95%85%EB%8B%B9_%EA%B3%B5%EC%97%B0%28AMJ%29.jpg,4240,2384,search:야외음악당,File:야외음악당 공연(AMJ).jpg
w3003_kogltype1_486bae_남산_야외음악당과_백범_김구_동상.jpg,KOGL Type 1,http://www.kogl.or.kr/info/licenseType1.do,Seoul Museum of History,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY734 type=B upperNodeId=CTGRY738 fileSn=300 fileId=H-TRNS-72084-738,1969-09-04,https://commons.wikimedia.org/wiki/File:%EB%82%A8%EC%82%B0_%EC%95%BC%EC%99%B8%EC%9D%8C%EC%95%85%EB%8B%B9%EA%B3%BC_%EB%B0%B1%EB%B2%94_%EA%B9%80%EA%B5%AC_%EB%8F%99%EC%83%81.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/%EB%82%A8%EC%82%B0_%EC%95%BC%EC%99%B8%EC%9D%8C%EC%95%85%EB%8B%B9%EA%B3%BC_%EB%B0%B1%EB%B2%94_%EA%B9%80%EA%B5%AC_%EB%8F%99%EC%83%81.jpg,4200,4200,search:야외음악당,File:남산 야외음악당과 백범 김구 동상.jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Korea.net / Korean Culture and Information Service (Jeon Han),Korea_Oedo_Botania_24,2013-09-28 10:08,https://commons.wikimedia.org/wiki/File:KOCIS_Korea_Oedo_Botania_24_(10016973985).jpg,https://upload.wikimedia.org/wikipedia/commons/0/09/KOCIS_Korea_Oedo_Botania_24_%2810016973985%29.jpg,5292,3312,search:야외음악당,File:KOCIS Korea Oedo Botania 24 (10016973985).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Korea.net / Korean Culture and Information Service (Jeon Han),Korea_Oedo_Botania_25,2013-09-28 10:24,https://commons.wikimedia.org/wiki/File:KOCIS_Korea_Oedo_Botania_25_(10016985005).jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/KOCIS_Korea_Oedo_Botania_25_%2810016985005%29.jpg,4815,2747,search:야외음악당,File:KOCIS Korea Oedo Botania 25 (10016985005).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Korea.net / Korean Culture and Information Service (Jeon Han),Korea_Oedo_Botania_02,2013-09-28 10:12,https://commons.wikimedia.org/wiki/File:KOCIS_Korea_Oedo_Botania_02_(10016987116).jpg,https://upload.wikimedia.org/wikipedia/commons/4/49/KOCIS_Korea_Oedo_Botania_02_%2810016987116%29.jpg,4320,2680,search:야외음악당,File:KOCIS Korea Oedo Botania 02 (10016987116).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Korea.net / Korean Culture and Information Service (Jeon Han),Korea_Oedo_Botania_08,2013-09-28 10:22,https://commons.wikimedia.org/wiki/File:KOCIS_Korea_Oedo_Botania_08_(10016928154).jpg,https://upload.wikimedia.org/wikipedia/commons/6/61/KOCIS_Korea_Oedo_Botania_08_%2810016928154%29.jpg,3124,1838,search:야외음악당,File:KOCIS Korea Oedo Botania 08 (10016928154).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Korea.net / Korean Culture and Information Service (Jeon Han),Korea_Oedo_Botania_01,2013-09-28 10:05,https://commons.wikimedia.org/wiki/File:KOCIS_Korea_Oedo_Botania_01_(10017060643).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d9/KOCIS_Korea_Oedo_Botania_01_%2810017060643%29.jpg,4873,1798,search:야외음악당,File:KOCIS Korea Oedo Botania 01 (10017060643).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Korea.net / Korean Culture and Information Service (Jeon Han),Korea_Oedo_Botania_16,2013-09-28 10:52,https://commons.wikimedia.org/wiki/File:KOCIS_Korea_Oedo_Botania_16_(10017079983).jpg,https://upload.wikimedia.org/wikipedia/commons/c/c9/KOCIS_Korea_Oedo_Botania_16_%2810017079983%29.jpg,4904,2936,search:야외음악당,File:KOCIS Korea Oedo Botania 16 (10017079983).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Korea.net / Korean Culture and Information Service (Jeon Han),Korea_Oedo_Botania_23,2013-09-28 11:28,https://commons.wikimedia.org/wiki/File:KOCIS_Korea_Oedo_Botania_23_(10016922254).jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/KOCIS_Korea_Oedo_Botania_23_%2810016922254%29.jpg,3168,5184,search:야외음악당,File:KOCIS Korea Oedo Botania 23 (10016922254).jpg
