file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Wtlegis (Anthony W. Holmes),Own work,2006-06-09,https://commons.wikimedia.org/wiki/File:DMZ_-_Dorason_Station_Train_to_Pyeongyang.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/DMZ_-_Dorason_Station_Train_to_Pyeongyang.jpg,2048,1536,cat:Dorasan Station,File:DMZ - Dorason Station Train to Pyeongyang.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,책읽는달팽,Own work,2018-08-19 11:05:52,https://commons.wikimedia.org/wiki/File:Dora_Station_-_Side.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Dora_Station_-_Side.jpg,4032,3024,cat:Dorasan Station,File:Dora Station - Side.jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Laika ac from UK,Dorasan Station,2015-09-16 07:53,https://commons.wikimedia.org/wiki/File:Dorasan_Station_(22193559764).jpg,https://upload.wikimedia.org/wikipedia/commons/b/ba/Dorasan_Station_%2822193559764%29.jpg,4360,3294,cat:Dorasan Station,File:Dorasan Station (22193559764).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Laika ac from UK,Dorasan Station,2015-09-16 07:52,https://commons.wikimedia.org/wiki/File:Dorasan_Station_(22790309426).jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Dorasan_Station_%2822790309426%29.jpg,4608,3456,cat:Dorasan Station,File:Dorasan Station (22790309426).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Laika ac from UK,Dorasan Station,2015-09-16 08:03,https://commons.wikimedia.org/wiki/File:Dorasan_Station_(22827479721).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Dorasan_Station_%2822827479721%29.jpg,4608,3456,cat:Dorasan Station,File:Dorasan Station (22827479721).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Laika ac from UK,Dorasan Station,2015-09-16 07:54,https://commons.wikimedia.org/wiki/File:Dorasan_Station_(22827482701).jpg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Dorasan_Station_%2822827482701%29.jpg,3306,4401,cat:Dorasan Station,File:Dorasan Station (22827482701).jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Kaz Ish,https://web.archive.org/web/20161029022735/http://www.panoramio.com/photo/99695383,Taken on 20 September 2013,"https://commons.wikimedia.org/wiki/File:Dorasan_station_,_Paju_,_Korea_-_panoramio_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/5/59/Dorasan_station_%2C_Paju_%2C_Korea_-_panoramio_%281%29.jpg,4032,3024,cat:Dorasan Station,"File:Dorasan station , Paju , Korea - panoramio (1).jpg"
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Kaz Ish,https://web.archive.org/web/20161029022822/http://www.panoramio.com/photo/99695387,Taken on 20 September 2013,"https://commons.wikimedia.org/wiki/File:Dorasan_station_,_Paju_,_Korea_-_panoramio_(2).jpg",https://upload.wikimedia.org/wikipedia/commons/6/63/Dorasan_station_%2C_Paju_%2C_Korea_-_panoramio_%282%29.jpg,4032,3024,cat:Dorasan Station,"File:Dorasan station , Paju , Korea - panoramio (2).jpg"
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Kaz Ish,https://web.archive.org/web/20161029022816/http://www.panoramio.com/photo/99695385,Taken on 20 September 2013,"https://commons.wikimedia.org/wiki/File:Dorasan_station_,_Paju_,_Korea_-_panoramio_(3).jpg",https://upload.wikimedia.org/wikipedia/commons/b/bc/Dorasan_station_%2C_Paju_%2C_Korea_-_panoramio_%283%29.jpg,4032,3024,cat:Dorasan Station,"File:Dorasan station , Paju , Korea - panoramio (3).jpg"
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Kaz Ish,https://web.archive.org/web/20161029221526/http://www.panoramio.com/photo/99695379,Taken on 20 September 2013,"https://commons.wikimedia.org/wiki/File:Dorasan_station_,_Paju_,_Korea_-_panoramio.jpg",https://upload.wikimedia.org/wikipedia/commons/6/6a/Dorasan_station_%2C_Paju_%2C_Korea_-_panoramio.jpg,4032,3024,cat:Dorasan Station,"File:Dorasan station , Paju , Korea - panoramio.jpg"
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Christian140,Own work,2013-01-17 11:06:41,https://commons.wikimedia.org/wiki/File:Dorasan_Station_-_To_Pyongyang.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Dorasan_Station_-_To_Pyongyang.jpg,3264,1840,cat:Dorasan Station,File:Dorasan Station - To Pyongyang.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Sanmosa,Own work,2019-06-30 12:13:57,https://commons.wikimedia.org/wiki/File:Dorasan_Station_20190630.jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Dorasan_Station_20190630.jpg,2005,1504,cat:Dorasan Station,File:Dorasan Station 20190630.jpg
w3013_publicdomain_b0d2cb_Dorasan_Station_commemoration_stamps.jpg,Public domain,,Abasaa,Own work,2013-02-16,https://commons.wikimedia.org/wiki/File:Dorasan_Station_commemoration_stamps.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e8/Dorasan_Station_commemoration_stamps.jpg,900,480,cat:Dorasan Station,File:Dorasan Station commemoration stamps.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Khaan,Own work,2008-12-23,https://commons.wikimedia.org/wiki/File:Dorasan_station_inside.jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Dorasan_station_inside.jpg,3872,2592,cat:Dorasan Station,File:Dorasan station inside.jpg
w3015_publicdomain_5980e2_Dorasan_Station_interior_01.jpg,Public domain,,Abasaa,Own work,2013-02-16,https://commons.wikimedia.org/wiki/File:Dorasan_Station_interior_01.JPG,https://upload.wikimedia.org/wikipedia/commons/8/80/Dorasan_Station_interior_01.JPG,2048,1536,cat:Dorasan Station,File:Dorasan Station interior 01.JPG
w3016_publicdomain_497fad_Dorasan_Station_Outside.jpg,Public domain,,Leoparmr ( talk / Contributions ) at the English Wikipedia,File:Dorasan Station Outside.JPG from the English Wikipedia,Taken by Leoparmr ( talk / Contributions ) in February 10th 2007 and uploaded by Leoparmr ( talk / Contributions ) to English Wikipedia in December 22nd 2007.,https://commons.wikimedia.org/wiki/File:Dorasan_Station_Outside.JPG,https://upload.wikimedia.org/wikipedia/commons/8/85/Dorasan_Station_Outside.JPG,2816,2112,cat:Dorasan Station,File:Dorasan Station Outside.JPG
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Khaan,Own work,2008-12-23,https://commons.wikimedia.org/wiki/File:Dorasan_station_outside.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d0/Dorasan_station_outside.jpg,2592,3872,cat:Dorasan Station,File:Dorasan station outside.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"Khaan , Anders Gardebring, Sweden",Own work,2008-12-23,https://commons.wikimedia.org/wiki/File:Dorasan_station_pyeongyang.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Dorasan_station_pyeongyang.jpg,2912,1949,cat:Dorasan Station,File:Dorasan station pyeongyang.jpg
w3019_publicdomain_80e10e_Dorasan_Station_souvenir_shop.jpg,Public domain,,Abasaa,Own work,2013-02-16,https://commons.wikimedia.org/wiki/File:Dorasan_Station_souvenir_shop.JPG,https://upload.wikimedia.org/wikipedia/commons/8/83/Dorasan_Station_souvenir_shop.JPG,2048,1536,cat:Dorasan Station,File:Dorasan Station souvenir shop.JPG
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,calflier001,DORASAN STATION THE LAST STATION IN SOUTH KOREA BEFORE THE DMZ OCT 2012,2012-10-17 07:07,https://commons.wikimedia.org/wiki/File:DORASAN_STATION_THE_LAST_STATION_IN_SOUTH_KOREA_BEFORE_THE_DMZ_OCT_2012_(8293444499).jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/DORASAN_STATION_THE_LAST_STATION_IN_SOUTH_KOREA_BEFORE_THE_DMZ_OCT_2012_%288293444499%29.jpg,3571,2682,cat:Dorasan Station,File:DORASAN STATION THE LAST STATION IN SOUTH KOREA BEFORE THE DMZ OCT 2012 (8293444499).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,calflier001,DORASAN STATION THE LAST STATION IN SOUTH KOREA BEFORE THE DMZ OCT 2012,2012-10-17 07:11,https://commons.wikimedia.org/wiki/File:DORASAN_STATION_THE_LAST_STATION_IN_SOUTH_KOREA_BEFORE_THE_DMZ_OCT_2012_(8293452295).jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/DORASAN_STATION_THE_LAST_STATION_IN_SOUTH_KOREA_BEFORE_THE_DMZ_OCT_2012_%288293452295%29.jpg,5184,3456,cat:Dorasan Station,File:DORASAN STATION THE LAST STATION IN SOUTH KOREA BEFORE THE DMZ OCT 2012 (8293452295).jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,calflier001,DORASAN STATION THE LAST STATION IN SOUTH KOREA BEFORE THE DMZ OCT 2012,2012-10-17 07:10,https://commons.wikimedia.org/wiki/File:DORASAN_STATION_THE_LAST_STATION_IN_SOUTH_KOREA_BEFORE_THE_DMZ_OCT_2012_(8294502454).jpg,https://upload.wikimedia.org/wikipedia/commons/5/54/DORASAN_STATION_THE_LAST_STATION_IN_SOUTH_KOREA_BEFORE_THE_DMZ_OCT_2012_%288294502454%29.jpg,3456,5184,cat:Dorasan Station,File:DORASAN STATION THE LAST STATION IN SOUTH KOREA BEFORE THE DMZ OCT 2012 (8294502454).jpg
