file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,서울특별시 소방재난본부,서울특별시 소방재난본부 최광모,2011-03-19 00:36:52,https://commons.wikimedia.org/wiki/File:1973%EB%85%84_%EC%B2%AD%EA%B0%9C%EC%B2%9C_%ED%8C%90%EC%9E%90%EC%B4%8C_%ED%99%94%EC%9E%AC.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/1973%EB%85%84_%EC%B2%AD%EA%B0%9C%EC%B2%9C_%ED%8C%90%EC%9E%90%EC%B4%8C_%ED%99%94%EC%9E%AC.jpg,11811,8337,cat:Cheonggyecheon,File:1973년 청개천 판자촌 화재.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,서울특별시 소방재난본부,서울특별시 소방재난본부 최광모,2003-07-01 14:31:36,https://commons.wikimedia.org/wiki/File:20030701%EC%B2%AD%EA%B3%84%EC%B2%9C_%EB%B3%B5%EC%9B%90%EA%B3%B5%EC%82%AC_%EA%B8%B0%EA%B3%B5%EC%8B%9DDSC_0023.JPG,https://upload.wikimedia.org/wikipedia/commons/d/d9/20030701%EC%B2%AD%EA%B3%84%EC%B2%9C_%EB%B3%B5%EC%9B%90%EA%B3%B5%EC%82%AC_%EA%B8%B0%EA%B3%B5%EC%8B%9DDSC_0023.JPG,1960,3008,cat:Cheonggyecheon,File:20030701청계천 복원공사 기공식DSC 0023.JPG
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,서울특별시 소방재난본부,서울특별시 소방재난본부,2003-07-01 14:34:33,https://commons.wikimedia.org/wiki/File:20030701%EC%B2%AD%EA%B3%84%EC%B2%9C_%EB%B3%B5%EC%9B%90%EA%B3%B5%EC%82%AC_%EA%B8%B0%EA%B3%B5%EC%8B%9DDSC_0027.JPG,https://upload.wikimedia.org/wikipedia/commons/4/42/20030701%EC%B2%AD%EA%B3%84%EC%B2%9C_%EB%B3%B5%EC%9B%90%EA%B3%B5%EC%82%AC_%EA%B8%B0%EA%B3%B5%EC%8B%9DDSC_0027.JPG,3008,1960,cat:Cheonggyecheon,File:20030701청계천 복원공사 기공식DSC 0027.JPG
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,최광모,Own work,2015-03-13 18:22:36,https://commons.wikimedia.org/wiki/File:20150313%EC%B2%AD%EA%B3%84%EC%B2%9C24.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/20150313%EC%B2%AD%EA%B3%84%EC%B2%9C24.jpg,5472,3648,cat:Cheonggyecheon,File:20150313청계천24.jpg
w3005_cc0_dc55f7_20150427최광모44.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,최광모,Own work,2015-04-08 12:51:33,https://commons.wikimedia.org/wiki/File:20150427%EC%B5%9C%EA%B4%91%EB%AA%A844.JPG,https://upload.wikimedia.org/wikipedia/commons/a/ad/20150427%EC%B5%9C%EA%B4%91%EB%AA%A844.JPG,5472,3648,cat:Cheonggyecheon,File:20150427최광모44.JPG
w3006_ccby40_1bb910_20231226_공지천조각공원의_전경.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,YellowTurtle9,Own work,2023-12-26 12:21:27,https://commons.wikimedia.org/wiki/File:20231226_%EA%B3%B5%EC%A7%80%EC%B2%9C%EC%A1%B0%EA%B0%81%EA%B3%B5%EC%9B%90%EC%9D%98_%EC%A0%84%EA%B2%BD.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/20231226_%EA%B3%B5%EC%A7%80%EC%B2%9C%EC%A1%B0%EA%B0%81%EA%B3%B5%EC%9B%90%EC%9D%98_%EC%A0%84%EA%B2%BD.jpg,3024,3024,cat:Cheonggyecheon,File:20231226 공지천조각공원의 전경.jpg
w3007_ccby40_d5e99d_20231226_공지천조각공원의_조각품.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,YellowTurtle9,Own work,2023-12-26 12:19:16,https://commons.wikimedia.org/wiki/File:20231226_%EA%B3%B5%EC%A7%80%EC%B2%9C%EC%A1%B0%EA%B0%81%EA%B3%B5%EC%9B%90%EC%9D%98_%EC%A1%B0%EA%B0%81%ED%92%88.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/20231226_%EA%B3%B5%EC%A7%80%EC%B2%9C%EC%A1%B0%EA%B0%81%EA%B3%B5%EC%9B%90%EC%9D%98_%EC%A1%B0%EA%B0%81%ED%92%88.jpg,3024,3024,cat:Cheonggyecheon,File:20231226 공지천조각공원의 조각품.jpg
w3008_ccby40_626f56_20240413_Cheonggyecheon.jpg,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,Jjw,Own work,2024-04-13 13:24:15,https://commons.wikimedia.org/wiki/File:20240413_Cheonggyecheon.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/20240413_Cheonggyecheon.jpg,4032,3024,cat:Cheonggyecheon,File:20240413 Cheonggyecheon.jpg
w3009_cc0_8b2465_20240413_청계천.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Striker9498,Own work,2024-04-13 18:11:05,https://commons.wikimedia.org/wiki/File:20240413_%EC%B2%AD%EA%B3%84%EC%B2%9C.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/20240413_%EC%B2%AD%EA%B3%84%EC%B2%9C.jpg,3000,4000,cat:Cheonggyecheon,File:20240413 청계천.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dwxn,Own work,2024-06-02 17:57:52,https://commons.wikimedia.org/wiki/File:20240602_175752_Cheonggyecheon_01.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2c/20240602_175752_Cheonggyecheon_01.jpg,4032,3024,cat:Cheonggyecheon,File:20240602 175752 Cheonggyecheon 01.jpg
