file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
w3001_cc0_8ecac7_20150508분수대DSC09894.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,최광모,Own work,2015-05-05,https://commons.wikimedia.org/wiki/File:20150508%EB%B6%84%EC%88%98%EB%8C%80DSC09894.jpg,https://upload.wikimedia.org/wikipedia/commons/9/95/20150508%EB%B6%84%EC%88%98%EB%8C%80DSC09894.jpg,3648,5472,cat:Benches in South Korea,File:20150508분수대DSC09894.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,BoeunKim,Own work,2018-04-21 16:48:29,https://commons.wikimedia.org/wiki/File:Benches_of_Pyeongchon_Central_Park.jpg,https://upload.wikimedia.org/wikipedia/commons/2/28/Benches_of_Pyeongchon_Central_Park.jpg,4160,2080,cat:Benches in South Korea,File:Benches of Pyeongchon Central Park.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,BoeunKim,Own work,2018-04-21 17:09:31,https://commons.wikimedia.org/wiki/File:Benches_of_Pyeongchon_Central_Park2.jpg,https://upload.wikimedia.org/wikipedia/commons/3/30/Benches_of_Pyeongchon_Central_Park2.jpg,4160,2080,cat:Benches in South Korea,File:Benches of Pyeongchon Central Park2.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,BoeunKim,Own work,2018-04-21 17:10:06,https://commons.wikimedia.org/wiki/File:Benches_of_Pyeongchon_Central_Park3.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Benches_of_Pyeongchon_Central_Park3.jpg,4160,2080,cat:Benches in South Korea,File:Benches of Pyeongchon Central Park3.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,BoeunKim,Own work,2018-04-21 17:10:13,https://commons.wikimedia.org/wiki/File:Benches_of_Pyeongchon_Central_Park4.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ae/Benches_of_Pyeongchon_Central_Park4.jpg,4160,2080,cat:Benches in South Korea,File:Benches of Pyeongchon Central Park4.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Piotrus,Own work,2020-11-18,https://commons.wikimedia.org/wiki/File:Bowl_of_cigarette_butts.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Bowl_of_cigarette_butts.jpg,1734,975,cat:Benches in South Korea,File:Bowl of cigarette butts.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Piotrus,Own work,2020-07-30 15:47:37,https://commons.wikimedia.org/wiki/File:Cigarette_butts_and_trash_in_South_Korea.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/Cigarette_butts_and_trash_in_South_Korea.jpg,4128,2322,cat:Benches in South Korea,File:Cigarette butts and trash in South Korea.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,BoeunKim,Own work,2018-04-21 17:08:00,https://commons.wikimedia.org/wiki/File:Long_benches_of_Pyeongchon_Central_Park.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Long_benches_of_Pyeongchon_Central_Park.jpg,4160,2080,cat:Benches in South Korea,File:Long benches of Pyeongchon Central Park.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,BoeunKim,Own work,2018-04-21 17:08:04,https://commons.wikimedia.org/wiki/File:Long_benches_of_Pyeongchon_Central_Park2.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Long_benches_of_Pyeongchon_Central_Park2.jpg,4160,2080,cat:Benches in South Korea,File:Long benches of Pyeongchon Central Park2.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,BoeunKim,Own work,2018-04-21 17:08:21,https://commons.wikimedia.org/wiki/File:Long_benches_of_Pyeongchon_Central_Park3.jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Long_benches_of_Pyeongchon_Central_Park3.jpg,4160,2080,cat:Benches in South Korea,File:Long benches of Pyeongchon Central Park3.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 09:27:44 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_Arrival_hall_20190523_092744.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Muan_international_airport_Arrival_hall_20190523_092744.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport Arrival hall 20190523 092744.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 09:28:54 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_Arrival_hall_20190523_092854.jpg,https://upload.wikimedia.org/wikipedia/commons/8/86/Muan_international_airport_Arrival_hall_20190523_092854.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport Arrival hall 20190523 092854.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 09:31:12 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_Arrival_hall_20190523_093112.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Muan_international_airport_Arrival_hall_20190523_093112.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport Arrival hall 20190523 093112.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 10:06:10 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_boarding_area_20190523_100610.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f0/Muan_international_airport_boarding_area_20190523_100610.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport boarding area 20190523 100610.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 10:07:16 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_boarding_area_20190523_100716.jpg,https://upload.wikimedia.org/wikipedia/commons/1/15/Muan_international_airport_boarding_area_20190523_100716.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport boarding area 20190523 100716.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 10:07:50 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_boarding_area_20190523_100750.jpg,https://upload.wikimedia.org/wikipedia/commons/6/61/Muan_international_airport_boarding_area_20190523_100750.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport boarding area 20190523 100750.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 08:42:46 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_Departure_hall_20190523_084246.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Muan_international_airport_Departure_hall_20190523_084246.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport Departure hall 20190523 084246.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 08:43:10 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_Departure_hall_20190523_084310.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Muan_international_airport_Departure_hall_20190523_084310.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport Departure hall 20190523 084310.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 May 2019, 08:44:00 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Muan_international_airport_Departure_hall_20190523_084400.jpg,https://upload.wikimedia.org/wikipedia/commons/6/62/Muan_international_airport_Departure_hall_20190523_084400.jpg,4000,2250,cat:Benches in South Korea,File:Muan international airport Departure hall 20190523 084400.jpg
w3020_ccby20_b007f4_Seoul_2021_may_51427688267.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,lazy fri13th,seoul 2021 may,2021-07-10 16:16,https://commons.wikimedia.org/wiki/File:Seoul_2021_may_(51427688267).jpg,https://upload.wikimedia.org/wikipedia/commons/9/93/Seoul_2021_may_%2851427688267%29.jpg,4032,3024,cat:Benches in South Korea,File:Seoul 2021 may (51427688267).jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,김보성,Own work,2023-08-09,https://commons.wikimedia.org/wiki/File:%EB%8F%85%ED%8A%B9%ED%95%9C_%ED%98%95%ED%83%9C%EC%9D%98_%ED%95%98%EC%96%80_%EB%B2%A4%EC%B9%98.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/%EB%8F%85%ED%8A%B9%ED%95%9C_%ED%98%95%ED%83%9C%EC%9D%98_%ED%95%98%EC%96%80_%EB%B2%A4%EC%B9%98.jpg,1440,1080,cat:Benches in South Korea,File:독특한 형태의 하얀 벤치.jpg
