file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
w3001_ccby30_524b42_1979年のソウル市内_panoramio_1.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,yuukokukirei,https://web.archive.org/web/20161027083814/http://www.panoramio.com/photo/84907429,Taken on 21 April 1979,https://commons.wikimedia.org/wiki/File:1979%E5%B9%B4%E3%81%AE%E3%82%BD%E3%82%A6%E3%83%AB%E5%B8%82%E5%86%85_-_panoramio_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/1979%E5%B9%B4%E3%81%AE%E3%82%BD%E3%82%A6%E3%83%AB%E5%B8%82%E5%86%85_-_panoramio_%281%29.jpg,2424,3232,cat:Gwanghwamun Plaza,File:1979年のソウル市内 - panoramio (1).jpg
w3002_cc0_182f6c_2010년_9월_제16기_소방간부후보생_최광모_개인_사진_671_최광모_iPhone_3GS.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,최광모 (Choe Kwangmo),Own work,2010-09-01,https://commons.wikimedia.org/wiki/File:2010%EB%85%84_9%EC%9B%94_%EC%A0%9C16%EA%B8%B0_%EC%86%8C%EB%B0%A9%EA%B0%84%EB%B6%80%ED%9B%84%EB%B3%B4%EC%83%9D_%EC%B5%9C%EA%B4%91%EB%AA%A8_%EA%B0%9C%EC%9D%B8_%EC%82%AC%EC%A7%84_671_%EC%B5%9C%EA%B4%91%EB%AA%A8_iPhone_3GS.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/2010%EB%85%84_9%EC%9B%94_%EC%A0%9C16%EA%B8%B0_%EC%86%8C%EB%B0%A9%EA%B0%84%EB%B6%80%ED%9B%84%EB%B3%B4%EC%83%9D_%EC%B5%9C%EA%B4%91%EB%AA%A8_%EA%B0%9C%EC%9D%B8_%EC%82%AC%EC%A7%84_671_%EC%B5%9C%EA%B4%91%EB%AA%A8_iPhone_3GS.jpg,1536,2048,cat:Gwanghwamun Plaza,File:2010년 9월 제16기 소방간부후보생 최광모 개인 사진 671 최광모 iPhone 3GS.jpg
,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Mario Sánchez Prada,https://www.flickr.com/photos/mariosp/7273950584/,2012-05-11 05:34:51,https://commons.wikimedia.org/wiki/File:2012-05-11_Gwanghwamun_Plaza_and_its_surroundings.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/2012-05-11_Gwanghwamun_Plaza_and_its_surroundings.jpg,2098,1397,cat:Gwanghwamun Plaza,File:2012-05-11 Gwanghwamun Plaza and its surroundings.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,최광모,Own work,2014-06-26 05:14:15,https://commons.wikimedia.org/wiki/File:2014%EB%85%84_6%EC%9B%94_26%EC%9D%BC_%EC%9D%98%EC%9A%A9%EC%86%8C%EB%B0%A9%EB%8C%80%EC%9B%90_%EC%B5%9C%EA%B8%B0%EC%9A%A9_%EC%86%8C%EB%B0%A9%EB%B0%A9%EC%9E%AC%EC%B2%AD_%ED%95%B4%EC%B2%B4_%EB%B0%98%EB%8C%80_%EA%B4%91%ED%99%94%EB%AC%B8_1%EC%9D%B8_%EC%8B%9C%EC%9C%84.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f2/2014%EB%85%84_6%EC%9B%94_26%EC%9D%BC_%EC%9D%98%EC%9A%A9%EC%86%8C%EB%B0%A9%EB%8C%80%EC%9B%90_%EC%B5%9C%EA%B8%B0%EC%9A%A9_%EC%86%8C%EB%B0%A9%EB%B0%A9%EC%9E%AC%EC%B2%AD_%ED%95%B4%EC%B2%B4_%EB%B0%98%EB%8C%80_%EA%B4%91%ED%99%94%EB%AC%B8_1%EC%9D%B8_%EC%8B%9C%EC%9C%84.jpg,5472,3648,cat:Gwanghwamun Plaza,File:2014년 6월 26일 의용소방대원 최기용 소방방재청 해체 반대 광화문 1인 시위.jpg
w3005_ccby30_ed25b6_August_Proudly_to_present_Great_Asia_Seoul_Metropole_Master_.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,pictures Jettcom,https://web.archive.org/web/20161029191117/http://www.panoramio.com/photo/95137554,Taken on 11 August 2013,"https://commons.wikimedia.org/wiki/File:August_Proudly,_to_present_Great_Asia_-_Seoul_Metropole_-_Master_Asia_Photography_2013_-_panoramio_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/4/45/August_Proudly%2C_to_present_Great_Asia_-_Seoul_Metropole_-_Master_Asia_Photography_2013_-_panoramio_%281%29.jpg,4108,3108,cat:Gwanghwamun Plaza,"File:August Proudly, to present Great Asia - Seoul Metropole - Master Asia Photography 2013 - panoramio (1).jpg"
w3006_ccby30_c339be_August_Proudly_to_present_Great_Asia_Seoul_Metropole_Master_.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,pictures Jettcom,https://web.archive.org/web/20161029191146/http://www.panoramio.com/photo/95137562,Taken on 11 August 2013,"https://commons.wikimedia.org/wiki/File:August_Proudly,_to_present_Great_Asia_-_Seoul_Metropole_-_Master_Asia_Photography_2013_Sejong_Center,_ars_artis_-_panoramio.jpg",https://upload.wikimedia.org/wikipedia/commons/3/36/August_Proudly%2C_to_present_Great_Asia_-_Seoul_Metropole_-_Master_Asia_Photography_2013_Sejong_Center%2C_ars_artis_-_panoramio.jpg,4108,3108,cat:Gwanghwamun Plaza,"File:August Proudly, to present Great Asia - Seoul Metropole - Master Asia Photography 2013 Sejong Center, ars artis - panoramio.jpg"
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,골뱅이,https://web.archive.org/web/20161018025734/http://www.panoramio.com/photo/40316246,5 September 2010 (original upload date),https://commons.wikimedia.org/wiki/File:Chief_Gatekeeper_(%EC%88%98%EB%AC%B8%EC%9E%A5)_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1b/Chief_Gatekeeper_%28%EC%88%98%EB%AC%B8%EC%9E%A5%29_-_panoramio.jpg,1024,560,cat:Gwanghwamun Plaza,File:Chief Gatekeeper (수문장) - panoramio.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,골뱅이,https://web.archive.org/web/20161016152056/http://www.panoramio.com/photo/40316285,5 September 2010 (original upload date),"https://commons.wikimedia.org/wiki/File:Chwitadae,_The_Korean_Traditional_Marching_Band_(%EC%B7%A8%ED%83%80%EB%8C%80)_-_panoramio_-_%EA%B3%A8%EB%B1%85%EC%9D%B4.jpg",https://upload.wikimedia.org/wikipedia/commons/b/ba/Chwitadae%2C_The_Korean_Traditional_Marching_Band_%28%EC%B7%A8%ED%83%80%EB%8C%80%29_-_panoramio_-_%EA%B3%A8%EB%B1%85%EC%9D%B4.jpg,682,1024,cat:Gwanghwamun Plaza,"File:Chwitadae, The Korean Traditional Marching Band (취타대) - panoramio - 골뱅이.jpg"
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,골뱅이,https://web.archive.org/web/20161016201733/http://www.panoramio.com/photo/40316214,5 September 2010 (original upload date),"https://commons.wikimedia.org/wiki/File:Chwitadae,_The_Korean_Traditional_Marching_Band_(%EC%B7%A8%ED%83%80%EB%8C%80)_-_panoramio.jpg",https://upload.wikimedia.org/wikipedia/commons/b/b3/Chwitadae%2C_The_Korean_Traditional_Marching_Band_%28%EC%B7%A8%ED%83%80%EB%8C%80%29_-_panoramio.jpg,1024,473,cat:Gwanghwamun Plaza,"File:Chwitadae, The Korean Traditional Marching Band (취타대) - panoramio.jpg"
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,골뱅이,https://web.archive.org/web/20161016163253/http://www.panoramio.com/photo/40316299,5 September 2010 (original upload date),https://commons.wikimedia.org/wiki/File:Gatekeeper_Patrol_(%EC%88%98%EB%AC%B8%EC%9E%A5_%EC%88%9C%EB%9D%BC%EC%9D%98%EC%8B%9D)_-_panoramio_-_%EA%B3%A8%EB%B1%85%EC%9D%B4_(1).jpg,https://upload.wikimedia.org/wikipedia/commons/7/7c/Gatekeeper_Patrol_%28%EC%88%98%EB%AC%B8%EC%9E%A5_%EC%88%9C%EB%9D%BC%EC%9D%98%EC%8B%9D%29_-_panoramio_-_%EA%B3%A8%EB%B1%85%EC%9D%B4_%281%29.jpg,1024,713,cat:Gwanghwamun Plaza,File:Gatekeeper Patrol (수문장 순라의식) - panoramio - 골뱅이 (1).jpg
