file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,User:Bluegheena,Own work,2023-03-27 23:03:51,https://commons.wikimedia.org/wiki/File:An_elderly_walking_at_a_once-a-railway_park_in_South_Korea-_2013-07-09_02-20_(cropped).jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/An_elderly_walking_at_a_once-a-railway_park_in_South_Korea-_2013-07-09_02-20_%28cropped%29.jpg,893,1168,cat:Sidewalks in South Korea,File:An elderly walking at a once-a-railway park in South Korea- 2013-07-09 02-20 (cropped).jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Byung do jung,Own work,2013-05-04 14:34:58,https://commons.wikimedia.org/wiki/File:Cherry_blossom_festival_2.jpg,https://upload.wikimedia.org/wikipedia/commons/5/52/Cherry_blossom_festival_2.jpg,2448,3264,cat:Sidewalks in South Korea,File:Cherry blossom festival 2.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Treeinkr,Own work,2026-03-15,https://commons.wikimedia.org/wiki/File:Daejeon_Seo-gu_Munjeong-ro_20260315_(01).jpg,https://upload.wikimedia.org/wikipedia/commons/1/1c/Daejeon_Seo-gu_Munjeong-ro_20260315_%2801%29.jpg,6000,4000,cat:Sidewalks in South Korea,File:Daejeon Seo-gu Munjeong-ro 20260315 (01).jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Treeinkr,Own work,2026-03-15 14:09:19,https://commons.wikimedia.org/wiki/File:Daejeon_Seo-gu_Munjeong-ro_20260315_(02).jpg,https://upload.wikimedia.org/wikipedia/commons/8/85/Daejeon_Seo-gu_Munjeong-ro_20260315_%2802%29.jpg,6000,4000,cat:Sidewalks in South Korea,File:Daejeon Seo-gu Munjeong-ro 20260315 (02).jpg
w3005_cc0_5fb471_Hwaseong_City_Hwaseong_ro_Road_20240803_02.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,LandAndTree,Own work,2024-08-03,https://commons.wikimedia.org/wiki/File:Hwaseong_City_Hwaseong-ro_Road_20240803_(02).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Hwaseong_City_Hwaseong-ro_Road_20240803_%2802%29.jpg,5328,4000,cat:Sidewalks in South Korea,File:Hwaseong City Hwaseong-ro Road 20240803 (02).jpg
w3006_cc0_96abd8_Hwaseong_City_Hwaseong_ro_Road_Crosswalk_Sign_20240803.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,LandAndTree,Own work,Taken on 3 August 2024,https://commons.wikimedia.org/wiki/File:Hwaseong_City_Hwaseong-ro_Road_Crosswalk_Sign_20240803.jpg,https://upload.wikimedia.org/wikipedia/commons/1/13/Hwaseong_City_Hwaseong-ro_Road_Crosswalk_Sign_20240803.jpg,5328,4000,cat:Sidewalks in South Korea,File:Hwaseong City Hwaseong-ro Road Crosswalk Sign 20240803.jpg
w3007_cc0_18aec8_Jeongwangsingil_ro_Singil_dong_20240719.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,LandAndTree,Own work,2024-07-19,"https://commons.wikimedia.org/wiki/File:Jeongwangsingil-ro,_Singil-dong_20240719.jpg",https://upload.wikimedia.org/wikipedia/commons/f/f8/Jeongwangsingil-ro%2C_Singil-dong_20240719.jpg,4490,3366,cat:Sidewalks in South Korea,"File:Jeongwangsingil-ro, Singil-dong 20240719.jpg"
w3008_cc0_c34a25_National_Route_4_Okcheon_ro_Terminal_intersection_20240731.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,LandAndTree,Own work,2024-07-31,https://commons.wikimedia.org/wiki/File:National_Route_4_Okcheon-ro_Terminal_intersection_20240731.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b4/National_Route_4_Okcheon-ro_Terminal_intersection_20240731.jpg,4916,3690,cat:Sidewalks in South Korea,File:National Route 4 Okcheon-ro Terminal intersection 20240731.jpg
w3009_cc0_8d3fe6_Okcheon_County_Jungang_ro_Okcheon_Bridge_20240730_02.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,LandAndTree,Own work,2024-07-30,https://commons.wikimedia.org/wiki/File:Okcheon_County_Jungang-ro_Okcheon_Bridge_20240730_(02).jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Okcheon_County_Jungang-ro_Okcheon_Bridge_20240730_%2802%29.jpg,5328,4000,cat:Sidewalks in South Korea,File:Okcheon County Jungang-ro Okcheon Bridge 20240730 (02).jpg
w3010_cc0_a894a1_Okcheon_County_Jungang_ro_Okcheon_Bridge_20240730_03.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,LandAndTree,Own work,2024-07-30,https://commons.wikimedia.org/wiki/File:Okcheon_County_Jungang-ro_Okcheon_Bridge_20240730_(03).jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Okcheon_County_Jungang-ro_Okcheon_Bridge_20240730_%2803%29.jpg,5328,4000,cat:Sidewalks in South Korea,File:Okcheon County Jungang-ro Okcheon Bridge 20240730 (03).jpg
w3011_cc0_008220_Okcheon_County_Jungang_ro_Okcheon_Bridge_20240730_04.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,LandAndTree,Own work,2024-07-30,https://commons.wikimedia.org/wiki/File:Okcheon_County_Jungang-ro_Okcheon_Bridge_20240730_(04).jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Okcheon_County_Jungang-ro_Okcheon_Bridge_20240730_%2804%29.jpg,5328,4000,cat:Sidewalks in South Korea,File:Okcheon County Jungang-ro Okcheon Bridge 20240730 (04).jpg
