file,license,license_url,author,credit,date,commons_page,original_url,orig_w,orig_h,harvest_query,title
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 October 2019, 16:24:14 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-747-Cheolsan-station-entrance-3-20191023-162414.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Seoul-metro-747-Cheolsan-station-entrance-3-20191023-162414.jpg,3984,2241,search:서울 지하철 출입구,File:Seoul-metro-747-Cheolsan-station-entrance-3-20191023-162414.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 21 October 2019, 15:33:56 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Korail-P157-1-Seodongtan-station-entrance-1-20191021-153356.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Korail-P157-1-Seodongtan-station-entrance-1-20191021-153356.jpg,4000,2250,search:서울 지하철 출입구,File:Korail-P157-1-Seodongtan-station-entrance-1-20191021-153356.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 23 October 2019, 18:02:32 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-746-Gasan-digital-complex-station-entrance-3-20191023-180232.jpg,https://upload.wikimedia.org/wikipedia/commons/3/33/Seoul-metro-746-Gasan-digital-complex-station-entrance-3-20191023-180232.jpg,3984,2241,search:서울 지하철 출입구,File:Seoul-metro-746-Gasan-digital-complex-station-entrance-3-20191023-180232.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 09:40:46 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Korail-121-Sinimun-station-entrance-4-20180914-094046.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/Korail-121-Sinimun-station-entrance-4-20180914-094046.jpg,4000,2250,search:서울 지하철 출입구,File:Korail-121-Sinimun-station-entrance-4-20180914-094046.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 17:29:16 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-510-Banghwa-station-entrance-3-20180914-172916.jpg,https://upload.wikimedia.org/wikipedia/commons/6/61/Seoul-metro-510-Banghwa-station-entrance-3-20180914-172916.jpg,4000,2250,search:서울 지하철 출입구,File:Seoul-metro-510-Banghwa-station-entrance-3-20180914-172916.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 12:51:36 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-553-Sangil-dong-station-entrance-4-20180914-125136.jpg,https://upload.wikimedia.org/wikipedia/commons/3/35/Seoul-metro-553-Sangil-dong-station-entrance-4-20180914-125136.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-553-Sangil-dong-station-entrance-4-20180914-125136.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 17:33:02 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-510-Banghwa-station-entrance-1-20180914-173302.jpg,https://upload.wikimedia.org/wikipedia/commons/9/94/Seoul-metro-510-Banghwa-station-entrance-1-20180914-173302.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-510-Banghwa-station-entrance-1-20180914-173302.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 26 November 2018, 11:40:12 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-410-Sanggye-station-entrance-1-20181126-114012.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fc/Seoul-metro-410-Sanggye-station-entrance-1-20181126-114012.jpg,4000,2250,search:서울 지하철 출입구,File:Seoul-metro-410-Sanggye-station-entrance-1-20181126-114012.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 24 November 2018, 08:07:08 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-425-Hoehyeon-station-entrance-1-20181124-080708.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/Seoul-metro-425-Hoehyeon-station-entrance-1-20181124-080708.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-425-Hoehyeon-station-entrance-1-20181124-080708.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 17:30:18 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-510-Banghwa-station-entrance-4-20180914-173018.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a8/Seoul-metro-510-Banghwa-station-entrance-4-20180914-173018.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-510-Banghwa-station-entrance-4-20180914-173018.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 24 November 2018, 08:09:08 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-425-Hoehyeon-station-entrance-2-20181124-080908.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Seoul-metro-425-Hoehyeon-station-entrance-2-20181124-080908.jpg,4000,2250,search:서울 지하철 출입구,File:Seoul-metro-425-Hoehyeon-station-entrance-2-20181124-080908.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 21 November 2018, 13:39:12 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-434-Namtaeryeong-station-entrance-3-20181121-133912.jpg,https://upload.wikimedia.org/wikipedia/commons/8/87/Seoul-metro-434-Namtaeryeong-station-entrance-3-20181121-133912.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-434-Namtaeryeong-station-entrance-3-20181121-133912.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 15 September 2018, 11:00:58 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-P555-Macheon-station-entrance-1-20180915-110058.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Seoul-metro-P555-Macheon-station-entrance-1-20180915-110058.jpg,4000,2250,search:서울 지하철 출입구,File:Seoul-metro-P555-Macheon-station-entrance-1-20180915-110058.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 12:55:06 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-553-Sangil-dong-station-entrance-1-20180914-125506.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f5/Seoul-metro-553-Sangil-dong-station-entrance-1-20180914-125506.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-553-Sangil-dong-station-entrance-1-20180914-125506.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 17:31:34 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-510-Banghwa-station-entrance-2-20180914-173134.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Seoul-metro-510-Banghwa-station-entrance-2-20180914-173134.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-510-Banghwa-station-entrance-2-20180914-173134.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 21 November 2018, 13:40:16 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-434-Namtaeryeong-station-entrance-4-20181121-134016.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Seoul-metro-434-Namtaeryeong-station-entrance-4-20181121-134016.jpg,2250,4000,search:서울 지하철 출입구,File:Seoul-metro-434-Namtaeryeong-station-entrance-4-20181121-134016.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 24 November 2018, 10:47:44 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Seoul-metro-line-9-927-Seonjeongneung-station-entrance-2-20181124-104744.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9e/Seoul-metro-line-9-927-Seonjeongneung-station-entrance-2-20181124-104744.jpg,4000,2250,search:서울 지하철 출입구,File:Seoul-metro-line-9-927-Seonjeongneung-station-entrance-2-20181124-104744.jpg
,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,LERK,Self-photographed,"Taken on 14 September 2018, 09:40:30 KST (UTC+9)",https://commons.wikimedia.org/wiki/File:Korail-121-Sinimun-station-entrance-4-20180914-094030.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Korail-121-Sinimun-station-entrance-4-20180914-094030.jpg,4000,2250,search:서울 지하철 출입구,File:Korail-121-Sinimun-station-entrance-4-20180914-094030.jpg
,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,myself ( User:Piotrus ),Self-photographed,Taken on 9 March 2013 10:17:07,https://commons.wikimedia.org/wiki/File:Gwanghwamun_station_entrance_2_20130309_101707.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Gwanghwamun_station_entrance_2_20130309_101707.jpg,3264,2448,search:서울 지하철 출입구,File:Gwanghwamun station entrance 2 20130309 101707.jpg
