file	kind	sites_converted	helper_wiring	breakdown	test_result
experiments/nightrun_0820/ctrl_dressing/hash_gate.py	py	5	import block + sys.path	auto 4 · hand 1 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/build_corpus_v3.py	py	6	import block + sys.path	auto 6 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/cue_extent_audit.py	py	23	import block + sys.path	auto 21 (1 of them corrected by hand: `pat` is a GLOB PATTERN, not a round) · hand 2 (registry-scan fnmatch globs -> rounds_matching) · rewrap 0 · isdir->has_round 0	import OK; smoke 'cue_extent_audit registry patterns' 10/71/5 hits
experiments/v3_0823/code/g7_gate_degenerate.py	py	2	import block + sys.path	auto 2 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/g7_make_shadow.py	py	2	import block + sys.path	auto 2 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/g7_pairing_audit.py	py	2	import block + sys.path	auto 2 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/g7_scan_all_boost.py	py	2	import block + sys.path	auto 2 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/g7_variantB.py	py	3	import block + sys.path	auto 3 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/h12_gates.py	py	1	import block + sys.path	auto 0 · hand 1 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w0_classify.py	py	3	import block + sys.path	auto 3 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1b2_repro_control.py	py	4	import block + sys.path	auto 4 · hand 0 · rewrap 0 · isdir->has_round 2	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1b2_segfill.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1b_fuse.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1b_label.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1b_rimpact.py	py	2	import block + sys.path	auto 2 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1b_verify.py	py	2	import block + sys.path	auto 2 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1c_datum.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1c_hashgate.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1c_labeler_boundary.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1c_verify.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1d_fuse.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
experiments/v3_0823/code/w1d_readjudicate.py	py	1	import block + sys.path	auto 1 · hand 0 · rewrap 0 · isdir->has_round 0	import OK (import_check.py 36/36)
