bak	bytes	source	source_git_tracked	disposition
Docs/archive/audit_v4/fixlog_Y1.md.s4.bak	13100	Docs/archive/audit_v4/fixlog_Y1.md	1	deleted (git diff is the revert path)
Docs/audit_v4/gt_changes_w3.md.s4.bak	598610	Docs/audit_v4/gt_changes_w3.md	1	deleted (git diff is the revert path)
Docs/audit_v4/judge_v6_rt_mod6.md.s4.bak	21296	Docs/audit_v4/judge_v6_rt_mod6.md	1	deleted (git diff is the revert path)
Docs/briefs/process_spec_v1.md.s4.bak	13633	Docs/briefs/process_spec_v1.md	1	deleted (git diff is the revert path)
Docs/experiment/Status/PROJECT_STATE_0826.md.s4.bak	36299	Docs/experiment/Status/PROJECT_STATE_0826.md	0	kept at Docs/reorg_0827/bak_s4/Docs_experiment_Status_PROJECT_STATE_0826.md
Docs/legacy/STATUS_pre_reorg_260814.md.s4.bak	9676	Docs/legacy/STATUS_pre_reorg_260814.md	1	deleted (git diff is the revert path)
Docs/reports/autonomy_run_260814_18_handover_v1.md.s4.bak	8464	Docs/reports/autonomy_run_260814_18_handover_v1.md	1	deleted (git diff is the revert path)
Docs/reports/critique_intent_map_v1.md.s4.bak	190668	Docs/reports/critique_intent_map_v1.md	1	deleted (git diff is the revert path)
Docs/reports/realism_phase1.md.s4.bak	21230	Docs/reports/realism_phase1.md	1	deleted (git diff is the revert path)
Docs/reports/tonglam_v2.md.s4.bak	27825	Docs/reports/tonglam_v2.md	1	deleted (git diff is the revert path)
Docs/reports/w2d_round_v1.md.s4.bak	31688	Docs/reports/w2d_round_v1.md	1	deleted (git diff is the revert path)
Docs/reports/w2_fixbatch_v1.md.s4.bak	24802	Docs/reports/w2_fixbatch_v1.md	1	deleted (git diff is the revert path)
Docs/STATUS.md.s4.bak	9734	Docs/STATUS.md	1	deleted (git diff is the revert path)
Docs/surveys/realism_gap_2026-07-28/C_current_code_audit.md.s4.bak	68355	Docs/surveys/realism_gap_2026-07-28/C_current_code_audit.md	1	deleted (git diff is the revert path)
look_check/_experiments/t0_spike/lab_e1e4.log.s4.bak	39984	look_check/_experiments/t0_spike/lab_e1e4.log	0	kept at Docs/reorg_0827/bak_s4/look_check__experiments_t0_spike_lab_e1e4.log
look_check/README.md.s4.bak	15408	look_check/README.md	1	deleted (git diff is the revert path)
scripts/make_allview_sheet.py.s4.bak	8289	scripts/make_allview_sheet.py	1	deleted (git diff is the revert path)
scripts/make_review_gallery.py.s4.bak	7592	scripts/make_review_gallery.py	1	deleted (git diff is the revert path)
scripts/make_review_gallery.py.s4b.bak	7592	scripts/make_review_gallery.py	1	deleted (git diff is the revert path)
scripts/rounds/run_finalize_v3.sh.s4.bak	2006	scripts/rounds/run_finalize_v3.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_partial_r4.sh.s4.bak	1853	scripts/rounds/run_partial_r4.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_scene19_r5.sh.s4.bak	538	scripts/rounds/run_scene19_r5.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_v5_keep_pt.sh.s4.bak	1068	scripts/rounds/run_v5_keep_pt.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_v5_keep_rt.sh.s4.bak	1406	scripts/rounds/run_v5_keep_rt.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_v7_all_rt.sh.s4.bak	1579	scripts/rounds/run_v7_all_rt.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_v7_pt13.sh.s4.bak	908	scripts/rounds/run_v7_pt13.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_v8_fix8_rt.sh.s4.bak	1001	scripts/rounds/run_v8_fix8_rt.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_v8_pt7.sh.s4.bak	764	scripts/rounds/run_v8_pt7.sh	1	deleted (git diff is the revert path)
scripts/rounds/run_v8_rt2_scene09.sh.s4.bak	1216	scripts/rounds/run_v8_rt2_scene09.sh	1	deleted (git diff is the revert path)
scripts/spike_realism.py.s4.bak	28295	scripts/spike_realism.py	1	deleted (git diff is the revert path)
