old_path	new_path	kind	bytes	note
Docs/legacy/nanobanana_batch1_geometry_map.md	Docs/archive/legacy/nanobanana_batch1_geometry_map.md	file	18419	D5 step1: legacy real file -> archive/legacy
Docs/legacy/scene_redesign_v5_proposal.md	Docs/archive/legacy/scene_redesign_v5_proposal.md	file	9498	D5 step1: legacy real file -> archive/legacy
Docs/legacy/scene_library_v3_status.md	Docs/archive/legacy/scene_library_v3_status.md	file	5113	D5 step1: legacy real file -> archive/legacy
Docs/legacy/STATUS_pre_p4.md	Docs/archive/legacy/STATUS_pre_p4.md	file	2300	D5 step1: legacy real file -> archive/legacy
Docs/legacy/STATUS_pre_reorg_260814.md	Docs/archive/legacy/STATUS_pre_reorg_260814.md	file	9691	D5 step1: legacy real file -> archive/legacy
Docs/legacy/multi_scene_brief_v3.md	(deleted)	symlink->../briefs/multi_scene_brief_v3.md	0	D5 step1: legacy symlink pointing at a CURRENT doc
Docs/legacy/realism_rubric_v1.md	(deleted)	symlink->../reports/realism_rubric_v1.md	0	D5 step1: legacy symlink pointing at a CURRENT doc
Docs/multi_scene_brief_v2.md	(deleted)	compat symlink->briefs/multi_scene_brief_v2.md	0	S5-2: 7 root compat symlinks retired after citation rewrite
Docs/multi_scene_brief_v3.md	(deleted)	compat symlink->briefs/multi_scene_brief_v3.md	0	S5-2: 7 root compat symlinks retired after citation rewrite
Docs/nanobanana_batch1_geometry_map.md	(deleted)	compat symlink->legacy/... (S5 step1 retargeted it to archive/legacy/ before deletion)	0	S5-2: 7 root compat symlinks retired after citation rewrite
Docs/realism_rubric_v1.md	(deleted)	compat symlink->reports/realism_rubric_v1.md	0	S5-2: 7 root compat symlinks retired after citation rewrite
Docs/scene01_design_brief.md	(deleted)	compat symlink->briefs/scene01_design_brief.md	0	S5-2: 7 root compat symlinks retired after citation rewrite
Docs/scene_redesign_v5_proposal.md	(deleted)	compat symlink->legacy/... (S5 step1 retargeted it to archive/legacy/ before deletion)	0	S5-2: 7 root compat symlinks retired after citation rewrite
Docs/stair_typology_survey_v2.md	(deleted)	compat symlink->surveys/stair_typology_survey_v2.md	0	S5-2: 7 root compat symlinks retired after citation rewrite
Docs/surveys/real_reference_expansion.md	(deleted)	symlink->../reports/real_reference_expansion.md	0	S5-2: resolved to Docs/reports/real_reference_expansion.md
Docs/experiment/DAYRUN_BRIEF_0820.md	Docs/campaign/DAYRUN_BRIEF_0820.md	file	7842	S5-3: Docs/experiment -> Docs/campaign (D5, owner approved)
Docs/experiment/NEGOBS_STUDY_0823.md	Docs/campaign/NEGOBS_STUDY_0823.md	file	13051	S5-3: Docs/experiment -> Docs/campaign (D5, owner approved)
