file	old	new	n
experiments/dayrun_0820/narrative/diag_v1/diag_v1.py	dataset/260819_main_{arm}	dataset/v2_corpus/260819_main_{arm}	1
experiments/dayrun_0820/narrative/diag_v1/diag_v1.py	dataset/260819_main_{a}	dataset/v2_corpus/260819_main_{a}	1
experiments/mainrun_0819/PATHS.md	dataset/2607xx_*	dataset/_archive/scene_dev_2607/2607xx_*	1
experiments/probe_holes_0820/run_probe.sh	dataset/260821_probe_{on,off}	dataset/v2_probes/260821_probe_{on,off}	2
experiments/v3_0823/G7_RELABEL.md	dataset/260820_boost_<band>_off_g7fix{,M}	dataset/v2_corpus/260820_boost_<band>_off_g7fix{,M}	1
experiments/v3_0823/G7_RELABEL.md	dataset/260820_boost_<band>_on_g7fix{,M}	dataset/v2_corpus/260820_boost_<band>_on_g7fix{,M}	1
experiments/v3_0823/G7_RELABEL.md	dataset/260820_boost_<band>_<arm>	dataset/v2_corpus/260820_boost_<band>_<arm>	3
experiments/v3_0823/G7_RELABEL.md	dataset/260820_boost_*_{on,off}	dataset/v2_corpus/260820_boost_*_{on,off}	1
experiments/v3_0823/REG_AUDIT.md	dataset/260823_v3p5_h67reg_{A,C}	dataset/_archive/v3_scene_build/260823_v3p5_h67reg_{A,C}	1
experiments/v3_0823/W0_CUECLS.md	dataset/260825_v3w0_cuecls_*	dataset/v3_aux/260825_v3w0_cuecls_*	1
experiments/v3_0823/W2_H67_REPORT.md	dataset/260824_v3w2_h67{base,h,h2}_{A,B,C,D}	dataset/v3_library/260824_v3w2_h67{base,h,h2}_{A,B,C,D}	1
experiments/v3_0823/W3_REPORT.md	dataset/260824_v3w3_extbase_{A,B,C,D}	dataset/v3_test_ext/260824_v3w3_extbase_{A,B,C,D}	1
experiments/v3_0823/W3_REPORT.md	dataset/260824_v3w3_extlat_{A,B,C,D}	dataset/v3_test_ext/260824_v3w3_extlat_{A,B,C,D}	1
experiments/v3_0823/W3_REPORT.md	dataset/260824_v3w3_extb2_{A,B,C,D}	dataset/v3_test_ext/260824_v3w3_extb2_{A,B,C,D}	1
experiments/v3_0823/W3_REPORT.md	dataset/260824_v3w3_exth_{A,B,C,D}	dataset/v3_test_ext/260824_v3w3_exth_{A,B,C,D}	1
experiments/v3_0823/code/g7_build_v2corr.py	dataset/260820_boost_e2_{{on,off}}_g7fix	dataset/v2_corpus/260820_boost_e2_{{on,off}}_g7fix	1
experiments/v3_0823/code/g7_build_v2corr.py	dataset/260820_boost_e_{{on,off}}_g7fix	dataset/v2_corpus/260820_boost_e_{{on,off}}_g7fix	1
experiments/v3_0823/code/g7_make_shadow.py	dataset/260820_boost_<band>_<arm>_g7fix	dataset/v2_corpus/260820_boost_<band>_<arm>_g7fix	1
experiments/v3_0823/code/g7_variantB.py	dataset/260820_boost_<band>_<arm>_g7fixM	dataset/v2_corpus/260820_boost_<band>_<arm>_g7fixM	1
experiments/v3_0823/dataset_manifest_v2corr.json	dataset/260820_boost_e2_{on,off}_g7fixM	dataset/v2_corpus/260820_boost_e2_{on,off}_g7fixM	1
experiments/v3_0823/dataset_manifest_v2corr.json	dataset/260820_boost_e_{on,off}_g7fixM	dataset/v2_corpus/260820_boost_e_{on,off}_g7fixM	1
experiments/v3_0823/dataset_manifest_v2corr_roundown.json	dataset/260820_boost_e2_{on,off}_g7fix	dataset/v2_corpus/260820_boost_e2_{on,off}_g7fix	1
experiments/v3_0823/dataset_manifest_v2corr_roundown.json	dataset/260820_boost_e_{on,off}_g7fix	dataset/v2_corpus/260820_boost_e_{on,off}_g7fix	1
experiments/v3_0823/panels/PANELS_V3.md	dataset/260823_cueoff*_{A,B1,B2,C,P}	dataset/cueoff/260823_cueoff*_{A,B1,B2,C,P}	1
experiments/v3_0823/redteam/RT_LEDGER_A.md	dataset/260819_main_{on,off}	dataset/v2_corpus/260819_main_{on,off}	1
experiments/weekend_0823/c2_rootcause/C2_ROOTCAUSE.md	dataset/260819_main_{on,off}	dataset/v2_corpus/260819_main_{on,off}	1
experiments/weekend_0823/cue_audit/CUEOFF_RESULT_v2.md	dataset/260823_cueoff_s20fix_{A,B1,B2,P,C}	dataset/cueoff/260823_cueoff_s20fix_{A,B1,B2,P,C}	1
experiments/weekend_0823/cue_audit/run_cueoff.sh	dataset/260823_cueoff{,2,3,_s20fix}_{A,B1,B2,P,C}	dataset/cueoff/260823_cueoff{,2,3,_s20fix}_{A,B1,B2,P,C}	1
experiments/weekend_0823/redteam/REDTEAM_0823.md	dataset/260819_main_{on,off}	dataset/v2_corpus/260819_main_{on,off}	1
experiments/weekend_0823/rt_response/README.md	dataset/260819_main_{on,off}	dataset/v2_corpus/260819_main_{on,off}	1
scripts/rounds/run_260820_boost.sh	dataset/260820_boost_{h,e}_{on,off}	dataset/v2_corpus/260820_boost_{h,e}_{on,off}	1
submission_0830/panels/PANELS.md	dataset/260823_cueoff*_{A,B1,B2,C,P}	dataset/cueoff/260823_cueoff*_{A,B1,B2,C,P}	1
