# dataset/<token> forms left as-is after the S2 hand pass (2026-08-27).
# variable-or-shell -> S3 converts to round_dir()/negobs_round; a string edit cannot fix it.
# doc-placeholder   -> S5 updates the documented convention once, not 30 separate edits.
# round-not-on-disk -> reference_inventory 6.3 R9: log as unmapped, do not invent a group.
# brace-or-glob     -> ambiguous expansion (see S2_report.md 4); non-path-token = regex/prose noise.
class	token	occurrences	files	example_file
brace-or-glob	dataset/260820_boost_{h	10	3	experiments/dayrun_0820/logs/boost_render.log
brace-or-glob	dataset/260819_main_{on	6	2	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260823_cueoff_s20fix_*`	2	2	experiments/v3_0823/ACCOUNTING.md
brace-or-glob	dataset/260820_boost_e_{on	2	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260820_boost_e2_{on	2	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260823_cueoff*_{A	2	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/**`	1	1	Docs/reports/w3_s01_v1.md
brace-or-glob	dataset/260823_v3p5_{tag	1	1	experiments/v3_0823/CUE_EXTENT_AUDIT.md
brace-or-glob	dataset/{arm	1	1	experiments/weekend_0823/c2_rootcause/c2_audit.py
brace-or-glob	dataset/260823_cueoff*`	1	1	experiments/weekend_0823/cue_audit/PREREG_CUEOFF_PATHMAP_0827.md
brace-or-glob	dataset/260820_boost_e2_*	1	1	experiments/weekend_0823/cue_audit/PREREG_CUEOFF_PATHMAP_0827.md
brace-or-glob	dataset/260823_cueoff_s20fix_*	1	1	experiments/weekend_0823/cue_audit/PREREG_CUEOFF_PATHMAP_0827.md
brace-or-glob	dataset/2607xx_*`	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260819_main_{arm	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260819_main_{a	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260820_boost_*_{on	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260820_boost_e_{{on	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260820_boost_e2_{{on	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260821_probe_{on	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260823_cueoff{	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260823_cueoff_s20fix_{A	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260824_v3w2_h67{base	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260824_v3w3_extbase_{A	1	1	scripts/reorg/handfix_dataset_paths.py
brace-or-glob	dataset/260824_v3w3_exth_{A	1	1	scripts/reorg/handfix_dataset_paths.py
