file	n_total	n_review_w2	n_review_round	n_root_log	delta_bytes
look_check/_experiments/t0_spike/lab_e1e4.log	1	0	0	1	5
scripts/make_review_gallery.py	2	2	0	0	0
scripts/make_allview_sheet.py	1	0	1	0	3
scripts/rounds/run_v7_all_rt.sh	2	0	0	2	10
scripts/rounds/run_v8_pt7.sh	1	0	0	1	5
scripts/rounds/run_finalize_v3.sh	1	0	0	1	5
scripts/rounds/run_scene19_r5.sh	1	0	0	1	5
scripts/rounds/run_v5_keep_pt.sh	2	0	0	2	10
scripts/rounds/run_v7_pt13.sh	1	0	0	1	5
scripts/rounds/run_v8_rt2_scene09.sh	1	0	0	1	5
scripts/rounds/run_v5_keep_rt.sh	2	0	0	2	10
scripts/rounds/run_v8_fix8_rt.sh	1	0	0	1	5
scripts/rounds/run_partial_r4.sh	1	0	0	1	5
Docs/STATUS.md	9	0	9	0	27
Docs/archive/audit_v4/fixlog_Y1.md	1	0	0	1	5
Docs/briefs/process_spec_v1.md	1	1	0	0	0
Docs/surveys/realism_gap_2026-07-28/C_current_code_audit.md	2	0	0	2	10
Docs/legacy/STATUS_pre_reorg_260814.md	5	0	5	0	15
Docs/audit_v4/judge_v6_rt_mod6.md	1	0	0	1	5
Docs/audit_v4/gt_changes_w3.md	74	1	73	0	219
Docs/experiment/Status/PROJECT_STATE_0826.md	1	0	1	0	3
Docs/reports/tonglam_v2.md	1	1	0	0	0
Docs/reports/autonomy_run_260814_18_handover_v1.md	5	0	5	0	15
Docs/reports/realism_phase1.md	1	0	0	1	5
Docs/reports/w2_fixbatch_v1.md	2	2	0	0	0
Docs/reports/w2d_round_v1.md	2	2	0	0	0
Docs/reports/critique_intent_map_v1.md	2	0	2	0	6
scripts/spike_realism.py	1	0	0	1	147
scripts/make_review_gallery.py (hand tidy of the --out default)	1	1	0	0	3
