old	new	wave	kind	size_bytes	reason
look_check/scene01/260731_w3_full	look_check/_archive/w3/scene01/260731_w3_full	w3	round	50358055	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260731_w3_mb24_pre	look_check/_archive/w3/scene01/260731_w3_mb24_pre	w3	round	20925997	free round (W3, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260731_w3_s01_pre	look_check/_archive/w3/scene01/260731_w3_s01_pre	w3	round	54735023	free round (W3, role=pre-arm, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260805_w3_doctrine	look_check/_archive/w3fix/scene01/260805_w3_doctrine	w3fix	round	50737513	free round (W3-fix, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_allview4	look_check/_archive/w3fix/scene01/260806_w3_allview4	w3fix	round	15184764	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_allview5	look_check/_archive/w3fix/scene01/260806_w3_allview5	w3fix	round	14124267	free round (W3-fix, role=wave-round, cited_by=22) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_fixqueue	look_check/_archive/w3fix/scene01/260806_w3_fixqueue	w3fix	round	51059466	free round (W3-fix, role=wave-round, cited_by=8) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/260806_w3_fixqueue2	look_check/_archive/w3fix/scene01/260806_w3_fixqueue2	w3fix	round	49789892	free round (W3-fix, role=wave-round, cited_by=14) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/p2g4_on	look_check/_archive/w2/scene01/p2g4_on	w2	round	53130931	free round (W2-P2, role=lookAB-corpus, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene01/pair_cues_off	look_check/_archive/w2/scene01/pair_cues_off	w2	round	8335256	free round (W2-P2, role=lookAB-corpus, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260730_lcfreeze_post	look_check/_archive/w2d/scene02/260730_lcfreeze_post	w2d	round	49335375	free round (W2-D, role=wave-round, cited_by=7) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260730_lcfreeze_pre	look_check/_archive/w2d/scene02/260730_lcfreeze_pre	w2d	round	49326978	free round (W2-D, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_cb7	look_check/_archive/w3/scene02/260731_w3_cb7	w3	round	46334270	free round (W3, role=wave-round, cited_by=13) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_cb7_pre	look_check/_archive/w3/scene02/260731_w3_cb7_pre	w3	round	48592058	free round (W3, role=pre-arm, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_full	look_check/_archive/w3/scene02/260731_w3_full	w3	round	47434514	free round (W3, role=wave-round, cited_by=20) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_gt25_pre	look_check/_archive/w3/scene02/260731_w3_gt25_pre	w3	round	46326259	free round (W3, role=pre-arm, cited_by=3) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260731_w3_mb24_pre	look_check/_archive/w3/scene02/260731_w3_mb24_pre	w3	round	19552043	free round (W3, role=pre-arm, cited_by=2) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260805_w3_hedgeswap	look_check/_archive/w3fix/scene02/260805_w3_hedgeswap	w3fix	round	47491053	free round (W3-fix, role=wave-round, cited_by=11) - not pinned by valset.py / regr-chain / BoR stamp / anchor
look_check/scene02/260806_w3_allview4	look_check/_archive/w3fix/scene02/260806_w3_allview4	w3fix	round	14128643	free round (W3-fix, role=wave-round, cited_by=5) - not pinned by valset.py / regr-chain / BoR stamp / anchor
