scene	round	valset	regr_chain	stamp_bor	anchor
scene01	260730_w2d_fix	0	1	0	0
scene01	260730_w2d_judge	0	1	0	0
scene01	260731_w3_cb2	0	1	0	0
scene01	260731_w3_mb24	0	1	0	0
scene01	260731_w3_s01	0	1	1	0
scene01	p2c_a	1	0	0	0
scene01	p2c_b	1	0	0	0
scene01	p2g1_off	1	0	0	0
scene01	p2g1_on	1	0	0	0
scene01	p2g2_off	1	0	0	0
scene01	p2g2_on	1	0	0	0
scene01	p2g3_off	1	0	0	0
scene01	p2g3_on	1	0	0	0
scene01	p2mat_after	1	0	0	0
scene01	p2mat_before	1	0	0	0
scene01	p2rf_off	1	0	0	0
scene01	p2rf_on	1	0	0	0
scene01	r1_on	1	0	0	0
scene01	r2_on	1	1	0	0
scene01	v6_rt	1	0	0	0
scene01	v7_rt	1	0	0	0
scene02	260730_w2d_fix	0	1	0	0
scene02	260730_w2d_judge	0	1	0	0
scene02	260731_w3_gt25	0	1	1	0
scene02	260731_w3_mb24	0	1	0	0
scene02	p2dark_fast256	1	0	0	0
scene02	p2dark_fast64	1	0	0	0
scene02	p2dark_legacy	1	0	0	0
scene02	r1_on	1	0	0	0
scene02	r2_on	1	1	0	0
scene02	v6_rt	1	0	0	0
scene02	v7_rt	1	0	0	0
scene03	260730_w2d_fix	0	1	0	0
scene03	260730_w2d_judge	0	1	0	0
scene03	260731_w3_cb2	0	1	0	0
scene03	260731_w3_p03	0	0	1	0
scene03	260731_w3_s03	0	1	0	0
scene03	r1_on	1	0	0	0
scene03	r2_on	1	1	0	0
scene03	v6_rt	1	0	0	0
scene03	v7_rt	1	0	0	0
scene04	260730_w2d_fix	0	1	0	0
scene04	260730_w2d_judge	0	1	0	0
scene04	260731_w3_s04	0	1	1	0
scene04	260806_w3_allview5	0	0	0	1
scene04	r1_on	1	0	0	0
scene04	r2_on	1	1	0	0
scene04	v6_rt	1	0	0	0
scene04	v7_rt	1	0	0	0
scene05	260730_w2d_fix	0	1	0	0
scene05	260730_w2d_judge	0	1	0	0
scene05	260731_w3_l05	0	0	1	0
scene05	facade	1	1	0	0
scene05	r1_on	1	0	0	0
scene05	r2_on	1	1	0	0
scene05	shrub	1	0	0	0
scene05	v6_rt	1	0	0	0
scene05	v7_rt	1	0	0	0
scene05	v8_rt	1	0	0	0
scene06	260730_w2d_fix	0	1	0	0
scene06	260730_w2d_judge	0	1	0	0
scene06	260731_w3_s06	0	1	1	0
scene06	r1_on	1	0	0	0
scene06	r2_on	1	1	0	0
scene06	v6_rt	1	0	0	0
scene06	v7_rt	1	0	0	0
scene06	v8_rt	1	0	0	0
scene07	260730_w2d_fix	0	1	0	0
scene07	260730_w2d_judge	0	1	0	0
scene07	260731_w3_cb2	0	1	0	0
scene07	260731_w3_s07	0	1	1	0
scene07	p2g1_off	1	0	0	0
scene07	p2g1_on	1	0	0	0
scene07	p2g2_off	1	0	0	0
scene07	p2g2_on	1	0	0	0
scene07	p2g3_off	1	0	0	0
scene07	p2g3_on	1	0	0	0
scene07	r1_on	1	0	0	0
scene07	r2_on	1	1	0	0
scene07	scene07_ptfast	1	0	0	0
scene07	scene07_ptlegacy	1	0	0	0
scene07	v6_rt	1	0	0	0
scene07	v7_rt	1	0	0	0
scene07	v8_pt	1	0	0	0
scene07	v8_rt	1	0	0	0
scene08	260730_w2d_fix	0	1	0	0
scene08	260730_w2d_judge	0	1	0	0
scene08	260731_w3_s08d	0	1	1	0
scene08	r1_on	1	0	0	0
scene08	r2_on	1	1	0	0
scene08	v6_rt	1	0	0	0
scene08	v7_rt	1	0	0	0
scene09	260730_w2d_fix	0	1	0	0
scene09	260730_w2d_judge	0	1	0	0
scene09	260731_w3_cb1	0	1	0	0
scene09	260731_w3_mb24	0	1	0	0
scene09	260731_w3_p09	0	0	1	0
scene09	260731_w3_s09	0	1	1	0
scene09	r1_on	1	0	0	0
scene09	r2_on	1	1	0	0
scene09	v6_rt	1	0	0	0
scene09	v7_rt	1	0	0	0
scene09	v8_rt	1	0	0	0
scene10	260730_w2d_fix	0	1	0	0
scene10	260730_w2d_judge	0	1	0	0
scene10	260731_w3_s10c	0	1	1	0
scene10	r1_on	1	0	0	0
scene10	r2_on	1	1	0	0
scene10	v6_rt	1	0	0	0
scene10	v7_rt	1	0	0	0
scene10	v8_rt	1	0	0	0
scene11	260730_w2d_fix	0	1	0	0
scene11	260730_w2d_judge	0	1	0	0
scene11	260731_w3_p11	0	0	1	0
scene11	260731_w3_s11	0	1	1	0
scene11	260811_w3_s11clean	0	0	0	1
scene11	r1_on	1	0	0	0
scene11	r2_on	1	1	0	0
scene11	v6_rt	1	0	0	0
scene11	v7_rt	1	0	0	0
scene11	v8_rt	1	0	0	0
scene12	260730_w2d_fix	0	1	0	0
scene12	260730_w2d_judge	0	1	0	0
scene12	260731_w3_l12c	0	0	1	0
scene12	r1_on	1	0	0	0
scene12	r2_on	1	1	0	0
scene12	v6_rt	1	0	0	0
scene12	v7_rt	1	0	0	0
scene12	v8_rt	1	0	0	0
scene13	260730_w2d_fix	0	1	0	0
scene13	260730_w2d_judge	0	1	0	0
scene13	260730_w3_s13b	0	1	1	0
scene13	260811_w3_s13frost_c	0	0	0	1
scene13	p2dark_fast256	1	0	0	0
scene13	p2dark_fast64	1	0	0	0
scene13	p2dark_legacy	1	0	0	0
scene13	r1_on	1	0	0	0
scene13	r2_on	1	1	0	0
scene13	v6_rt	1	0	0	0
scene13	v7_rt	1	0	0	0
scene13	w2_pilot	0	1	0	0
scene14	260730_w2d_fix	0	1	0	0
scene14	260730_w2d_judge	0	1	0	0
scene14	260731_w3_l14	0	0	1	0
scene14	r2_on	1	1	0	1
scene14	v6_rt	1	0	0	0
scene14	v7_rt	1	0	0	0
scene15	260730_w2d_fix	0	1	0	0
scene15	260730_w2d_judge	0	1	0	0
scene15	260731_w3_l15	0	0	1	0
scene15	r2_on	1	1	0	0
scene15	v6_rt	1	0	0	0
scene15	v7_rt	1	0	0	0
scene15	w2_pilot	0	1	0	1
scene16	260730_w2d_fix	0	1	0	0
scene16	260730_w2d_judge	0	1	0	0
scene16	260731_w3_mb24	0	1	0	0
scene16	260731_w3_s16	0	1	1	0
scene16	260811_w3_s16under	0	0	0	1
scene16	r2_on	1	1	0	0
scene16	v6_rt	1	0	0	0
scene16	v7_rt	1	0	0	0
scene17	260730_w2d_fix	0	1	0	0
scene17	260730_w2d_judge	0	1	0	0
scene17	260731_w3_s17	0	1	1	0
scene17	r2_on	1	1	0	0
scene17	v6_rt	1	0	0	0
scene17	v7_rt	1	0	0	0
scene17	v8_rt	1	0	0	0
scene18	260730_w2d_fix	0	1	0	0
scene18	260730_w2d_judge	0	1	0	0
scene18	260731_w3_s18	0	1	0	0
scene18	r2_on	1	1	0	0
scene18	v6_rt	1	0	0	0
scene18	v7_pt	0	0	0	1
scene18	v7_rt	1	0	0	0
scene19	260730_w2d_fix	0	1	0	0
scene19	260730_w2d_judge	0	1	0	0
scene19	260731_w3_l19	0	0	1	0
scene19	r2_on	1	1	0	0
scene19	v6_rt	1	0	0	0
scene19	v7_rt	1	0	0	0
scene20	260730_w2d_fix	0	1	0	0
scene20	260730_w2d_judge	0	1	0	0
scene20	260731_w3_l20c	0	0	1	0
scene20	r2_on	1	1	0	0
scene20	v6_rt	1	0	0	0
scene20	v7_rt	1	0	0	0
scene21	260730_w2d_fix	0	1	0	0
scene21	260730_w2d_judge	0	1	0	0
scene21	260731_w3_l21	0	0	1	0
scene21	r2_on	1	1	0	0
scene21	v6_rt	1	0	0	0
scene21	v7_rt	1	0	0	0
sceneC1	260730_w2d_fix	0	1	0	0
sceneC1	260730_w2d_judge	0	1	0	0
sceneC1	ctx1	1	0	0	0
sceneC1	ctx2	1	0	0	0
sceneC1	r2_on	1	1	0	0
sceneC1	r2b_on	0	1	0	0
sceneC2	260730_w2d_fix	0	1	0	0
sceneC2	260730_w2d_judge	0	1	0	0
sceneC2	260731_w3_cb2	0	1	0	0
sceneC2	balust	1	0	0	0
sceneC2	ctx1	1	0	0	0
sceneC2	ctx2	1	0	0	0
sceneC2	fix1	1	0	0	0
sceneC2	handrail	1	0	0	0
sceneC2	leaf3d	1	0	0	0
sceneC2	r2_on	1	1	0	0
sceneC2	w2c_g2	0	1	0	0
sceneC4	260730_w2d_fix	0	1	0	0
sceneC4	260730_w2d_judge	0	1	0	0
sceneC4	ctx1	1	0	0	0
sceneC4	ctx2	1	0	0	0
sceneC4	r2_on	1	1	0	0
sceneD1	260730_w2d_fix	0	1	0	0
sceneD1	260730_w2d_judge	0	1	0	0
sceneD1	ctx1	1	0	0	0
sceneD1	ctx2	1	0	0	0
sceneD1	r2_on	1	1	0	0
sceneD2	260730_w2d_fix	0	1	0	0
sceneD2	260730_w2d_judge	0	1	0	0
sceneD2	ctx1	1	0	0	0
sceneD2	ctx2	1	0	0	0
sceneD2	r2_on	1	1	0	0
sceneD3	260730_w2d_fix	0	1	0	0
sceneD3	260730_w2d_judge	0	1	0	0
sceneD3	ctx1	1	0	0	0
sceneD3	ctx2	1	0	0	0
sceneD3	p2ctrl_a	1	0	0	0
sceneD3	p2ctrl_b	1	0	0	0
sceneD3	p2det_a	1	0	0	0
sceneD3	p2det_b	1	0	0	0
sceneD3	p2g1_off	1	0	0	0
sceneD3	p2g1_on	1	0	0	0
sceneD3	p2g2_off	1	0	0	0
sceneD3	p2g2_on	1	0	0	0
sceneD3	p2g3_off	1	0	0	0
sceneD3	p2g3_on	1	0	0	0
sceneD3	r2_on	1	1	0	0
sceneD3	sceneD3_ptfast	1	0	0	0
sceneD3	sceneD3_ptlegacy	1	0	0	0
sceneD4	260730_w2d_fix	0	1	0	0
sceneD4	260730_w2d_judge	0	1	0	0
sceneD4	ctx1	1	0	0	0
sceneD4	ctx2	1	0	0	0
sceneD4	p2dark_fast256	1	0	0	0
sceneD4	p2dark_fast64	1	0	0	0
sceneD4	p2dark_legacy	1	0	0	0
sceneD4	r2_on	1	1	0	0
sceneN1	260730_w2d_fix	0	1	0	0
sceneN1	260730_w2d_judge	0	1	0	0
sceneN1	ctx1	1	0	0	0
sceneN1	ctx2	1	0	0	0
sceneN1	r2_on	1	1	0	0
sceneN2	260730_w2d_fix	0	1	0	0
sceneN2	260730_w2d_judge	0	1	0	0
sceneN2	260730_w3_n2clean	0	1	0	0
sceneN2	ctx1	1	0	0	0
sceneN2	ctx2	1	0	0	0
sceneN2	r2_on	1	1	0	0
sceneN3	260730_w2d_fix	0	1	0	0
sceneN3	260730_w2d_judge	0	1	0	0
sceneN3	ctx1	1	0	0	0
sceneN3	ctx2	1	0	0	0
sceneN3	r2_on	1	1	0	0
sceneN4	260730_w2d_fix	0	1	0	0
sceneN4	260730_w2d_judge	0	1	0	0
sceneN4	ctx1	1	0	0	0
sceneN4	ctx2	1	0	0	0
sceneN4	r2_on	1	1	0	0
sceneN4	wall	0	1	0	0
sceneN5	260730_w2d_fix	0	1	0	0
sceneN5	260730_w2d_judge	0	1	0	0
sceneN5	ctx1	1	0	0	0
sceneN5	ctx2	1	0	0	0
sceneN5	r2_on	1	1	0	0
sceneN5	w2_pilot	0	1	0	0
