scene	resolved_round	n_png
scene01	260731_w3_s01	13
scene02	260731_w3_gt25	13
scene03	260731_w3_s03	16
scene04	260731_w3_s04	13
scene05	260730_w2d_fix	13
scene06	260731_w3_s06	15
scene07	260731_w3_s07	14
scene08	260731_w3_s08d	15
scene09	260731_w3_s09	18
scene10	260731_w3_s10c	14
scene11	260731_w3_s11	15
scene12	260730_w2d_fix	16
scene13	260730_w3_s13b	15
scene14	260730_w2d_fix	13
scene15	260730_w2d_fix	13
scene16	260731_w3_s16	13
scene17	260731_w3_s17	14
scene18	260731_w3_s18	14
scene19	260730_w2d_fix	16
scene20	260730_w2d_fix	13
scene21	260730_w2d_fix	13
sceneC1	260730_w2d_fix	13
sceneC2	260731_w3_cb2	5
sceneC4	260730_w2d_fix	13
sceneD1	260730_w2d_fix	14
sceneD2	260730_w2d_fix	13
sceneD3	260730_w2d_fix	14
sceneD4	260730_w2d_fix	13
sceneN1	260730_w2d_fix	13
sceneN2	260730_w3_n2clean	13
sceneN3	260730_w2d_fix	13
sceneN4	260730_w2d_fix	13
sceneN5	260730_w2d_fix	13
