file	tracked	n_abs	n_rel	delta_bytes
experiments/v3_0823/dataset_manifest_v3_seg3.json	yes	10746	0	115686
experiments/v3_0823/dataset_manifest_v3.json	yes	10602	0	114102
experiments/dayrun_0820/dataset_manifest_v2_full.json	yes	5663	0	56630
experiments/v3_0823/dataset_manifest_v2corr.json	yes	5663	0	56630
experiments/v3_0823/dataset_manifest_v2corr_roundown.json	yes	5663	0	56630
experiments/weekend_0823/v2s/dataset_manifest_v2s_full.json	yes	5663	0	56630
experiments/v3_0823/logs/cue_extent_frames.json	no	0	4872	58208
experiments/dayrun_0820/dataset_manifest_v2.json	yes	3167	0	31670
experiments/mainrun_0819/dataset_manifest_v1.json	yes	3167	0	31670
experiments/weekend_0823/v2s/manifest_v2s_main.json	yes	3167	0	31670
experiments/dayrun_0820/annotations/amodal/bboxes.json	no	2832	0	28320
experiments/v3_0823/amodal5/frames.json	yes	1868	0	21272
experiments/dayrun_0820/manifest_boost_e.json	yes	1344	0	13440
experiments/v3_0823/manifest_boost_e_g7fix.json	yes	1344	0	13440
experiments/weekend_0823/v2s/manifest_v2s_boost_e.json	yes	1344	0	13440
experiments/v3_0823/dataset_manifest_v3_textext.json	yes	1152	0	13824
experiments/v3_0823/dataset_manifest_v3_textext_bd.json	yes	1152	0	13824
experiments/dayrun_0820/manifest_boost_e2.json	yes	768	0	7680
experiments/v3_0823/manifest_boost_e2_g7fix.json	yes	768	0	7680
experiments/weekend_0823/v2s/manifest_v2s_boost_e2.json	yes	768	0	7680
experiments/v3_0823/annotations/_w3_base_ac_manifest.json	yes	576	0	6912
experiments/v3_0823/annotations/_w3_base_bd_manifest.json	yes	576	0	6912
experiments/dayrun_0820/manifest_boost_h.json	yes	384	0	3840
experiments/weekend_0823/v2s/manifest_v2s_boost_h.json	yes	384	0	3840
experiments/mainrun_0819/logs/render.log	no	148	167	3150
experiments/probe_holes_0820/dataset_manifest_probe.json	yes	288	0	2880
experiments/v3_0823/manifest_boost_e_g7fixM.json	yes	288	0	2880
experiments/v3_0823/annotations/_w3_h_ac_manifest.json	yes	288	0	3456
experiments/v3_0823/annotations/_w3_h_bd_manifest.json	yes	288	0	3456
experiments/v3_0823/logs/n911_probe.log	no	82	171	5368
experiments/dayrun_0820/logs/boost_render.log	no	179	45	3068
experiments/v3_0823/logs/w1d_render.log	no	130	77	3518
experiments/nightrun_0820/ctrl_dressing/manifest_ctrl.json	yes	192	0	1920
experiments/v3_0823/manifest_boost_e2_g7fixM.json	yes	192	0	1920
