scene	latest_by_mtime	n_rounds
scene01	260816_w4_final33_on	34
scene02	260816_w4_final33_on	25
scene03	260817_w4_regfix	21
scene04	260816_w4_final33_on	16
scene05	260817_w4_regfix	25
scene06	260817_w4_regfix	30
scene07	260816_w4_final33_on	24
scene08	260816_w4_final33_on	18
scene09	260816_w4_final33_on	20
scene10	260817_w4_regfix	22
scene11	260816_w4_final33_on	22
scene12	260816_w4_final33_on	20
scene13	260816_w4_dn_off256	40
scene14	260816_w4_final33_on	19
scene15	260817_w4_regfix	17
scene16	260816_w4_micropilot	25
scene17	260816_w4_final33_on	18
scene18	260816_w4_w8deck	17
scene19	260816_w4_final33_on	17
scene20	260816_w4_final33_on	16
scene21	260816_w4_final33_on	16
sceneC1	260816_w4_final33_on	18
sceneC2	260816_w4_final33_on	16
sceneC4	260816_w4_final33_on	13
sceneD1	260816_w4_final33_on	10
sceneD2	260816_w4_final33_on	14
sceneD3	260816_w4_final33_on	27
sceneD4	260816_w4_final33_on	20
sceneN1	260816_w4_final33_on	14
sceneN2	260816_w4_final33_on	12
sceneN3	260816_w4_final33_on	11
sceneN4	260816_w4_final33_on	12
sceneN5	260816_w4_final33_on	10
