scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene05,L0__s20260819__0000.png,V,True,,20,0.701321,0.955902,-0.25458100000000006,0.701321,0.955902,-0.25458100000000006,0.070977,0.000672,0.07030499999999999,0.384595,0.000552,0.384043,0.701321,0.007133,0.694188,0.582631,0.955902,-0.373271
scene05,L0__s20260819__0001.png,V,True,,4,0.934617,0.897067,0.03755000000000008,0.934617,0.897067,0.03755000000000008,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.934617,0.897067,0.03755000000000008
scene05,L0__s20260819__0002.png,V,True,,5,0.994479,0.793668,0.20081099999999996,0.994479,0.793668,0.20081099999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.994479,0.793668,0.20081099999999996
scene05,L0__s20260819__0003.png,V,True,,15,0.872844,0.76312,0.10972399999999993,0.872844,0.76312,0.10972399999999993,nan,nan,nan,0.085422,9.5e-05,0.085327,0.872844,0.003137,0.869707,0.615622,0.76312,-0.14749800000000002
scene05,L0__s20260819__0004.png,V,True,,20,0.942323,0.981363,-0.039039999999999964,0.942323,0.981363,-0.039039999999999964,0.003602,0.000462,0.00314,0.127892,0.000728,0.127164,0.747243,0.004314,0.742929,0.942323,0.981363,-0.039039999999999964
scene05,L0__s20260819__0005.png,V,True,,20,0.940177,0.980638,-0.04046099999999997,0.940177,0.980638,-0.04046099999999997,0.002003,0.000802,0.001201,0.019603,0.000658,0.018945,0.106783,0.00243,0.104353,0.940177,0.980638,-0.04046099999999997
scene05,L0__s20260819__0006.png,V,True,,15,0.997905,0.973116,0.02478900000000006,0.997905,0.973116,0.02478900000000006,nan,nan,nan,0.166633,0.001428,0.165205,0.698496,0.012582,0.685914,0.997905,0.973116,0.02478900000000006
scene05,L0__s20260819__0007.png,V,True,,15,0.896002,0.670252,0.22575,0.896002,0.670252,0.22575,nan,nan,nan,0.073764,0.000363,0.073401,0.840277,0.0047,0.835577,0.896002,0.670252,0.22575
scene05,L0__s20260820__0000.png::boost_e,V,True,,10,0.562982,0.30834,0.254642,0.562982,0.30834,0.254642,nan,nan,nan,nan,nan,nan,0.024447,0.001547,0.0229,0.562982,0.30834,0.254642
scene05,L0__s20260820__0001.png::boost_e,V,True,,5,0.979485,0.44728,0.532205,0.979485,0.44728,0.532205,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.979485,0.44728,0.532205
