epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.262025,0.331890,0.473258,0.640351,0.143617,6.000e-05,29.89,1.000000,0.736629
2,0.146618,0.361212,0.335786,0.366959,0.110323,5.960e-05,29.61,1.000000,0.667893
3,0.108738,0.358063,0.372740,0.391813,0.095745,5.920e-05,29.55,0.000000,0.186370
4,0.073044,0.392459,0.189409,0.135965,0.040386,5.880e-05,29.64,0.000000,0.094705
5,0.065700,0.400859,0.203905,0.137427,0.028369,5.840e-05,29.77,0.000000,0.101952
6,0.052130,0.397476,0.237736,0.184211,0.049251,5.800e-05,29.71,0.333333,0.285535
7,0.044580,0.474665,0.335867,0.355263,0.102443,5.760e-05,29.77,0.666667,0.501267
8,0.039386,0.405823,0.432140,0.467836,0.093972,5.720e-05,29.60,0.333333,0.382737
9,0.031781,0.418210,0.458924,0.473684,0.079590,5.680e-05,29.67,0.000000,0.229462
10,0.026451,0.476129,0.362112,0.315789,0.057723,5.640e-05,29.56,0.333333,0.347723
11,0.022233,0.441596,0.357928,0.333333,0.071316,5.600e-05,29.60,0.166667,0.262297
12,0.021460,0.516796,0.395251,0.413743,0.091608,5.560e-05,29.78,0.333333,0.364292
13,0.017635,0.614210,0.445383,0.539474,0.118991,5.520e-05,29.66,0.000000,0.222692
14,0.021709,0.566381,0.323782,0.330409,0.095745,5.480e-05,29.60,0.166667,0.245224
15,0.021244,0.633446,0.385078,0.467836,0.129630,5.440e-05,29.50,0.166667,0.275872
16,0.017604,0.530511,0.308901,0.258772,0.056147,5.400e-05,29.47,0.000000,0.154450
