epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.261451,0.272042,0.635161,0.736842,0.078605,3.000e-04,12.01,1.000000,0.817580
2,0.224932,0.338961,0.624762,0.719298,0.078605,2.980e-04,11.41,1.000000,0.812381
3,0.214931,0.231608,0.649706,0.728070,0.069149,2.960e-04,11.43,1.000000,0.824853
4,0.192301,0.293465,0.558036,0.548246,0.056147,2.940e-04,11.59,1.000000,0.779018
5,0.179255,0.305063,0.496124,0.421053,0.037234,2.920e-04,11.55,0.500000,0.498062
6,0.174318,0.312917,0.600382,0.688596,0.081560,2.900e-04,11.43,1.000000,0.800191
7,0.143867,0.311801,0.531959,0.565789,0.075650,2.880e-04,11.53,1.000000,0.765979
8,0.131786,0.625715,0.461789,0.622807,0.144799,2.860e-04,11.64,1.000000,0.730894
9,0.144189,0.399998,0.517056,0.631579,0.109338,2.840e-04,11.50,1.000000,0.758528
10,0.117915,0.329746,0.553435,0.635965,0.089243,2.820e-04,11.60,1.000000,0.776718
11,0.107109,0.382625,0.562500,0.592105,0.069149,2.800e-04,11.57,1.000000,0.781250
12,0.091888,0.389523,0.562613,0.679825,0.099291,2.780e-04,11.58,1.000000,0.781307
13,0.086808,0.336227,0.589118,0.688596,0.087470,2.760e-04,11.67,1.000000,0.794559
14,0.091445,0.328769,0.607495,0.675439,0.073877,2.740e-04,11.65,1.000000,0.803748
15,0.063711,0.357891,0.550308,0.587719,0.073877,2.720e-04,11.48,1.000000,0.775154
16,0.074889,0.340925,0.558882,0.614035,0.078605,2.700e-04,11.46,1.000000,0.779441
17,0.082259,0.358048,0.602740,0.675439,0.076241,2.680e-04,11.50,0.500000,0.551370
18,0.059019,0.369987,0.641929,0.758772,0.081560,2.660e-04,11.45,1.000000,0.820965
