epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score,train_loss_cell,train_loss_aux
1,0.457918,0.594276,0.404979,0.713450,0.243893,3.000e-04,24.23,1.000000,0.702490,0.290135,0.335565
2,0.316431,0.314211,0.301538,0.214912,0.028369,2.980e-04,24.02,1.000000,0.650769,0.208710,0.215442
3,0.258169,0.341033,0.263381,0.226608,0.066588,2.960e-04,24.11,1.000000,0.631691,0.169460,0.177419
4,0.201366,0.325068,0.273109,0.190058,0.027187,2.940e-04,24.00,0.666667,0.469888,0.130067,0.142598
5,0.180965,0.470664,0.408964,0.533626,0.144996,2.920e-04,23.96,1.000000,0.704482,0.114503,0.132923
6,0.158284,0.367561,0.485849,0.602339,0.118203,2.900e-04,23.95,1.000000,0.742925,0.101376,0.113816
7,0.125140,0.355273,0.370850,0.334795,0.063436,2.880e-04,23.93,0.666667,0.518758,0.081218,0.087844
8,0.140769,0.418675,0.212389,0.157895,0.044326,2.860e-04,23.75,1.000000,0.606195,0.086745,0.108049
9,0.097539,0.477720,0.323077,0.245614,0.037037,2.840e-04,23.84,1.000000,0.661538,0.058210,0.078658
10,0.110091,0.336701,0.319366,0.206140,0.011426,2.820e-04,23.99,0.333333,0.326350,0.068730,0.082723
11,0.104911,0.405360,0.259696,0.225146,0.068558,2.800e-04,23.81,0.833333,0.546515,0.064364,0.081094
12,0.087388,0.451338,0.366667,0.450292,0.135540,2.780e-04,23.89,0.666667,0.516667,0.052843,0.069091
13,0.080152,0.371996,0.387001,0.383041,0.080378,2.760e-04,23.85,1.000000,0.693501,0.049075,0.062155
14,0.058723,0.399276,0.345700,0.299708,0.058511,2.740e-04,23.89,1.000000,0.672850,0.034047,0.049353
15,0.058847,0.452822,0.439385,0.564327,0.135343,2.720e-04,24.11,1.000000,0.719693,0.033781,0.050131
16,0.053833,0.382635,0.388747,0.333333,0.051418,2.700e-04,23.84,1.000000,0.694373,0.030235,0.047196
17,0.077177,0.502631,0.286892,0.254386,0.069937,2.680e-04,23.86,1.000000,0.643446,0.046000,0.062356
18,0.063095,0.384912,0.356792,0.318713,0.063042,2.660e-04,23.77,0.666667,0.511729,0.037968,0.050252
19,0.062166,0.486938,0.369538,0.432749,0.122537,2.640e-04,23.95,1.000000,0.684769,0.036333,0.051667
20,0.059392,0.397703,0.365625,0.342105,0.071316,2.620e-04,23.81,0.666667,0.516146,0.035267,0.048251
21,0.056703,0.447557,0.384615,0.402047,0.092790,2.600e-04,23.78,0.666667,0.525641,0.032985,0.047437
