scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene05,L0__s20260819__0000.png,V,True,,20,0.996387,0.106267,0.89012,0.996387,0.106267,0.89012,0.021178,0.00638,0.014797999999999999,0.953144,0.09167,0.861474,0.982195,0.063832,0.918363,0.996387,0.106267,0.89012
scene05,L0__s20260819__0001.png,V,True,,4,0.995887,0.400269,0.595618,0.995887,0.400269,0.595618,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.995887,0.400269,0.595618
scene05,L0__s20260819__0002.png,V,True,,5,0.99822,0.779966,0.21825399999999995,0.99822,0.779966,0.21825399999999995,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.99822,0.779966,0.21825399999999995
scene05,L0__s20260819__0003.png,V,True,,15,0.999755,0.064256,0.935499,0.999755,0.064256,0.935499,nan,nan,nan,0.994409,0.001224,0.993185,0.997352,0.000697,0.9966550000000001,0.999755,0.064256,0.935499
scene05,L0__s20260819__0004.png,V,True,,20,0.994956,0.029096,0.9658599999999999,0.994956,0.029096,0.9658599999999999,0.046348,0.000108,0.04624,0.978111,0.000407,0.9777039999999999,0.991202,0.000422,0.99078,0.994956,0.029096,0.9658599999999999
scene05,L0__s20260819__0005.png,V,True,,20,0.991833,0.082226,0.9096069999999999,0.991833,0.082226,0.9096069999999999,0.105127,0.000433,0.104694,0.986368,0.001934,0.984434,0.987823,0.001321,0.986502,0.991833,0.082226,0.9096069999999999
scene05,L0__s20260819__0006.png,V,True,,15,0.999768,0.152052,0.847716,0.999768,0.152052,0.847716,nan,nan,nan,0.995637,0.000104,0.995533,0.996568,0.000846,0.995722,0.999768,0.152052,0.847716
scene05,L0__s20260819__0007.png,V,True,,15,0.999566,0.019597,0.979969,0.999566,0.019597,0.979969,nan,nan,nan,0.99488,5e-05,0.99483,0.996206,0.000279,0.995927,0.999566,0.019597,0.979969
scene05,L0__s20260820__0000.png::boost_e,V,True,,10,0.997595,0.068072,0.929523,0.997595,0.068072,0.929523,nan,nan,nan,nan,nan,nan,0.974488,0.00034,0.974148,0.997595,0.068072,0.929523
scene05,L0__s20260820__0001.png::boost_e,V,True,,5,0.994237,0.382834,0.611403,0.994237,0.382834,0.611403,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.994237,0.382834,0.611403
scene05,L0__s20260820__0002.png::boost_e,V,True,,9,0.990891,0.041354,0.949537,0.990891,0.041354,0.949537,nan,nan,nan,nan,nan,nan,0.947119,0.001451,0.9456680000000001,0.990891,0.041354,0.949537
scene05,L0__s20260820__0003.png::boost_e,V,True,,13,0.999935,0.057202,0.942733,0.999935,0.057202,0.942733,nan,nan,nan,0.922537,9e-06,0.922528,0.993349,5.9e-05,0.99329,0.999935,0.057202,0.942733
scene05,L0__s20260820__0004.png::boost_e,V,True,,13,0.997183,0.025804,0.971379,0.997183,0.025804,0.971379,nan,nan,nan,0.9737,0.000358,0.973342,0.994622,0.003769,0.990853,0.997183,0.025804,0.971379
scene05,L0__s20260820__0005.png::boost_e,V,True,,12,0.999891,0.023595,0.9762959999999999,0.999891,0.023595,0.9762959999999999,nan,nan,nan,0.975686,4.6e-05,0.9756400000000001,0.995508,0.00049,0.995018,0.999891,0.023595,0.9762959999999999
scene05,L0__s20260820__0006.png::boost_e,V,True,,5,0.984424,0.278694,0.70573,0.984424,0.278694,0.70573,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.984424,0.278694,0.70573
