scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene05,L0__s20260819__0000.png,V,True,,20,0.99633,0.53557,0.46076000000000006,0.99633,0.53557,0.46076000000000006,0.04535,7.6e-05,0.045274,0.865141,0.000534,0.864607,0.799244,0.000458,0.798786,0.99633,0.53557,0.46076000000000006
scene05,L0__s20260819__0001.png,V,True,,4,0.99989,0.923471,0.0764189999999999,0.99989,0.923471,0.0764189999999999,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.99989,0.923471,0.0764189999999999
scene05,L0__s20260819__0002.png,V,True,,5,0.999824,0.995706,0.004118000000000066,0.999824,0.995706,0.004118000000000066,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.999824,0.995706,0.004118000000000066
scene05,L0__s20260819__0003.png,V,True,,15,0.99748,0.459248,0.538232,0.99748,0.459248,0.538232,nan,nan,nan,0.988164,0.0,0.988164,0.955099,0.0,0.955099,0.99748,0.459248,0.538232
scene05,L0__s20260819__0004.png,V,True,,20,0.997269,0.896253,0.101016,0.997269,0.896253,0.101016,0.005185,2e-06,0.005183,0.453006,9e-06,0.45299700000000004,0.667566,1.1e-05,0.667555,0.997269,0.896253,0.101016
scene05,L0__s20260819__0005.png,V,True,,20,0.971794,0.854471,0.11732300000000007,0.971794,0.854471,0.11732300000000007,0.007123,1e-06,0.007122,0.158755,1e-06,0.158754,0.192665,7e-06,0.192658,0.971794,0.854471,0.11732300000000007
scene05,L0__s20260819__0006.png,V,True,,15,0.999311,0.999743,-0.00043200000000009897,0.999311,0.999743,-0.00043200000000009897,nan,nan,nan,0.718855,0.0,0.718855,0.933324,0.0,0.933324,0.999311,0.999743,-0.00043200000000009897
scene05,L0__s20260819__0007.png,V,True,,15,0.995184,0.957183,0.03800099999999995,0.995184,0.957183,0.03800099999999995,nan,nan,nan,0.83375,0.0,0.83375,0.962099,0.0,0.962099,0.995184,0.957183,0.03800099999999995
scene05,L0__s20260820__0000.png::boost_e,V,True,,10,0.999609,0.636102,0.363507,0.999609,0.636102,0.363507,nan,nan,nan,nan,nan,nan,0.719437,0.0,0.719437,0.999609,0.636102,0.363507
scene05,L0__s20260820__0001.png::boost_e,V,True,,5,0.999706,0.999933,-0.00022699999999997722,0.999706,0.999933,-0.00022699999999997722,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.999706,0.999933,-0.00022699999999997722
scene05,L0__s20260820__0002.png::boost_e,V,True,,9,0.999812,0.857835,0.14197700000000002,0.999812,0.857835,0.14197700000000002,nan,nan,nan,nan,nan,nan,0.971026,1.6e-05,0.9710099999999999,0.999812,0.857835,0.14197700000000002
