epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.291929,0.417536,0.017021,0.008772,0.002955,3.000e-04,25.76,0.000000,0.008511
2,0.223788,0.402980,0.336060,0.390351,0.125690,2.980e-04,25.92,1.000000,0.668030
3,0.188705,0.349465,0.315571,0.333333,0.105004,2.960e-04,25.97,0.333333,0.324452
4,0.156930,0.340207,0.323967,0.286550,0.065012,2.940e-04,25.80,0.000000,0.161983
5,0.134793,0.352801,0.366142,0.271930,0.028763,2.920e-04,26.26,0.000000,0.183071
6,0.119343,0.470134,0.372290,0.514620,0.168440,2.900e-04,25.73,1.000000,0.686145
7,0.108519,0.423826,0.369505,0.393275,0.099094,2.880e-04,25.79,1.000000,0.684753
8,0.082278,0.416571,0.354930,0.368421,0.095351,2.860e-04,26.26,0.833333,0.594131
9,0.073761,0.427283,0.182163,0.140351,0.053980,2.840e-04,25.65,0.000000,0.091082
10,0.062938,0.418278,0.330320,0.293860,0.065406,2.820e-04,25.83,0.833333,0.581827
11,0.064537,0.414368,0.277281,0.226608,0.054965,2.800e-04,25.93,0.500000,0.388640
12,0.050223,0.524350,0.281971,0.330409,0.136525,2.780e-04,25.91,0.833333,0.557652
13,0.053021,0.556604,0.369871,0.480994,0.150906,2.760e-04,25.69,0.833333,0.601602
14,0.061258,0.590333,0.205293,0.187135,0.085697,2.740e-04,26.21,0.333333,0.269313
15,0.041254,0.484249,0.324734,0.312865,0.082742,2.720e-04,25.89,1.000000,0.662367
16,0.033966,0.401490,0.409517,0.415205,0.082545,2.700e-04,25.95,1.000000,0.704758
17,0.065390,0.398267,0.368698,0.358187,0.078802,2.680e-04,25.74,0.833333,0.601016
18,0.042920,0.533241,0.286119,0.295322,0.103625,2.660e-04,25.72,0.000000,0.143059
19,0.035274,0.481549,0.345010,0.381579,0.111899,2.640e-04,26.26,1.000000,0.672505
20,0.028298,0.527936,0.376761,0.469298,0.137707,2.620e-04,25.95,0.833333,0.605047
21,0.025362,0.478693,0.412607,0.421053,0.083530,2.600e-04,25.95,1.000000,0.706304
22,0.021941,0.555406,0.293515,0.314327,0.111505,2.580e-04,25.90,0.833333,0.563424
23,0.019702,0.501311,0.373946,0.356725,0.074271,2.560e-04,25.92,0.833333,0.603640
24,0.026993,0.704491,0.289238,0.377193,0.165879,2.540e-04,26.15,1.000000,0.644619
25,0.031876,0.453054,0.458162,0.488304,0.086682,2.520e-04,25.90,1.000000,0.729081
26,0.025321,0.441768,0.441065,0.508772,0.107565,2.500e-04,26.02,1.000000,0.720532
27,0.017259,0.480906,0.384189,0.404971,0.094760,2.480e-04,26.30,0.833333,0.608761
28,0.016508,0.690719,0.224262,0.250000,0.131994,2.460e-04,25.98,0.166667,0.195464
29,0.018914,0.569214,0.383515,0.489766,0.143420,2.440e-04,25.73,1.000000,0.691757
30,0.019461,0.514212,0.413982,0.441520,0.093184,2.420e-04,25.80,1.000000,0.706991
31,0.013439,0.550136,0.223709,0.171053,0.048266,2.400e-04,26.43,0.333333,0.278521
32,0.016488,0.808997,0.328358,0.466374,0.185185,2.380e-04,26.21,1.000000,0.664179
33,0.014133,0.588633,0.285480,0.254386,0.071119,2.360e-04,25.78,1.000000,0.642740
34,0.026104,0.534029,0.375698,0.393275,0.094366,2.340e-04,25.59,0.666667,0.521182
35,0.013247,0.515941,0.352183,0.359649,0.092002,2.320e-04,26.43,1.000000,0.676092
36,0.016546,0.563037,0.300259,0.254386,0.059299,2.300e-04,26.06,0.333333,0.316796
37,0.018730,0.570303,0.373660,0.356725,0.074468,2.280e-04,25.65,0.833333,0.603497
38,0.016331,0.504503,0.416999,0.459064,0.100079,2.260e-04,25.75,1.000000,0.708499
39,0.010190,0.517019,0.384314,0.358187,0.068164,2.240e-04,26.20,1.000000,0.692157
40,0.009063,0.537265,0.339041,0.289474,0.056344,2.220e-04,26.00,1.000000,0.669521
