epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3438,2.09758,2.97716,1.86952,0.28362,0.12884,0.07439,0.03335,1.37363,63.1471,1.20722,0.000660131,0.000660131,0.000660131
2,41.5536,2.02228,2.57673,1.77298,0.24782,0.10047,0.07034,0.02293,1.51411,44.2342,1.35981,0.00130491,0.00130491,0.00130491
3,62.3334,2.07332,2.52997,1.81902,0.07961,0.1052,0.02301,0.00785,1.51247,146.085,1.31329,0.00192768,0.00192768,0.00192768
4,82.2928,2.0055,2.44615,1.75607,0.14606,0.12293,0.05154,0.02261,1.44342,56.2533,1.14241,0.001901,0.001901,0.001901
5,103.19,1.94108,2.15851,1.677,0.21925,0.06974,0.04237,0.01616,1.50579,13.5691,1.19063,0.001868,0.001868,0.001868
6,123.149,1.94293,2.11236,1.67442,0.44659,0.10047,0.09713,0.03722,1.51782,21.0942,1.2449,0.001835,0.001835,0.001835
7,144.19,1.82454,1.98823,1.60373,0.39066,0.11939,0.12891,0.04404,1.44466,27.2642,1.17604,0.001802,0.001802,0.001802
8,163.939,1.81759,1.93097,1.57962,0.49061,0.13475,0.14281,0.06249,1.35065,50.1975,1.0758,0.001769,0.001769,0.001769
9,183.956,1.70047,1.81082,1.5216,0.11576,0.13239,0.06867,0.03776,1.37105,10.1147,1.1386,0.001736,0.001736,0.001736
10,203.363,1.65775,1.70604,1.50457,0.25732,0.14066,0.15199,0.07307,1.27816,8.03413,1.05464,0.001703,0.001703,0.001703
11,223.941,1.60303,1.59442,1.45124,0.23847,0.24232,0.17005,0.08092,1.18808,15.6432,0.9276,0.00167,0.00167,0.00167
12,243.557,1.57819,1.49557,1.42584,0.21207,0.35343,0.20079,0.09081,1.1117,4.13247,0.9335,0.001637,0.001637,0.001637
13,263.599,1.56882,1.53393,1.42997,0.21012,0.18322,0.1755,0.09219,1.17088,16.544,0.91932,0.001604,0.001604,0.001604
14,283.852,1.51688,1.43849,1.38554,0.37314,0.31678,0.30576,0.1309,1.12846,5.45223,0.87862,0.001571,0.001571,0.001571
15,303.967,1.51144,1.35372,1.36229,0.19892,0.41608,0.21164,0.10177,1.06433,4.81004,0.87025,0.001538,0.001538,0.001538
16,324.34,1.49391,1.36413,1.36722,0.45502,0.46484,0.34927,0.14444,1.26206,11.0495,1.01677,0.001505,0.001505,0.001505
17,344.146,1.42124,1.30117,1.32262,0.35317,0.23995,0.2702,0.12026,1.12652,4.09099,0.87794,0.001472,0.001472,0.001472
18,364.196,1.44974,1.31733,1.3327,0.43512,0.34053,0.34761,0.16974,1.15656,5.92839,0.95875,0.001439,0.001439,0.001439
19,383.622,1.44641,1.29123,1.32554,0.44135,0.41608,0.35708,0.15976,1.19327,5.89114,0.95635,0.001406,0.001406,0.001406
20,403.905,1.39675,1.23986,1.30162,0.30412,0.28842,0.27039,0.13287,1.14694,6.67658,0.92914,0.001373,0.001373,0.001373
21,424.082,1.4055,1.20128,1.3212,0.41393,0.39362,0.35209,0.14913,1.19079,3.66479,0.98146,0.00134,0.00134,0.00134
22,444.619,1.33322,1.13564,1.27068,0.32655,0.4184,0.31373,0.16515,1.07084,2.84766,0.93001,0.001307,0.001307,0.001307
23,466.086,1.30581,1.12215,1.25188,0.35244,0.43972,0.33458,0.15085,1.20415,3.18502,0.98535,0.001274,0.001274,0.001274
24,486.534,1.37147,1.15229,1.26253,0.37563,0.43853,0.37032,0.16647,1.16555,2.72659,0.95535,0.001241,0.001241,0.001241
25,507.287,1.29448,1.07614,1.25123,0.23895,0.49054,0.30961,0.15764,1.05526,4.39478,0.89023,0.001208,0.001208,0.001208
26,527.102,1.33045,1.08695,1.275,0.47471,0.487,0.42278,0.22719,1.00684,2.95855,0.85079,0.001175,0.001175,0.001175
27,547.602,1.28335,1.07191,1.22596,0.28448,0.32742,0.27665,0.14637,1.0562,2.44193,0.89718,0.001142,0.001142,0.001142
