frame_id,pose_id,scene_id,world_id,domain,tier_now,tier_final,rgb_path,depth_path,n_edges,edge_id,n_polyline_runs,n_polyline_pts,n_pts_3d,dist_min_m,dist_median_m,int_area_px,int_h_px,int_w_px,int_mask_path,occl_flag,occl_prim,occl_frac,disagree_mean_px,disagree_median_px,disagree_p90_px
260819_main_on/scene01/L0__s20260819__0000,scene01#p00,scene01,scene01,stair,VE_raw,,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.depth.npy,5,e00,16,31,108,3.2887,3.4522,0,0,0,,False,none,0.0,0.9,1.0,1.0
260819_main_on/scene01/L0__s20260819__0000,scene01#p00,scene01,scene01,stair,VE_raw,,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.depth.npy,5,e01,0,0,108,4.0727,4.2447,13339,102,532,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene01__L0__s20260819__0000__e01.png,,/World/Scene01/UpperPlaza,,,,
260819_main_on/scene01/L0__s20260819__0000,scene01#p00,scene01,scene01,stair,VE_raw,,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.depth.npy,5,e02,0,0,108,4.9119,4.9119,12821,80,747,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene01__L0__s20260819__0000__e02.png,,/World/Scene01/UpperPlaza,,,,
260819_main_on/scene01/L0__s20260819__0000,scene01#p00,scene01,scene01,stair,VE_raw,,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.depth.npy,5,e03,0,0,51,,,85985,214,998,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene01__L0__s20260819__0000__e03.png,False,none,0.0,,,
260819_main_on/scene01/L0__s20260819__0000,scene01#p00,scene01,scene01,stair,VE_raw,,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/val/scene01/L0__s20260819__0000.depth.npy,5,e04,0,0,51,,,45151,168,1052,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene01__L0__s20260819__0000__e04.png,False,none,0.0,,,
260819_main_on/scene02/L0__s20260819__0000,scene02#p00,scene02,scene02,stair,NEG,,dataset/v2_corpus/260819_main_on/val/scene02/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/val/scene02/L0__s20260819__0000.depth.npy,0,,,,,,,,,,,,,,,,
260819_main_on/scene03/L0__s20260819__0000,scene03#p00,scene03,scene03,stair,VE_raw,,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.depth.npy,5,e00,9,14,41,5.1232,5.135,0,0,0,,False,none,0.0,0.8571,1.0,1.0
260819_main_on/scene03/L0__s20260819__0000,scene03#p00,scene03,scene03,stair,VE_raw,,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.depth.npy,5,e01,0,0,211,8.6678,9.7968,173552,255,1138,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene03__L0__s20260819__0000__e01.png,,/World/Scene03/Bollard_1,,,,
260819_main_on/scene03/L0__s20260819__0000,scene03#p00,scene03,scene03,stair,VE_raw,,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.depth.npy,5,e02,0,0,6,11.8178,11.9421,7879,243,68,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene03__L0__s20260819__0000__e02.png,False,none,0.0,,,
260819_main_on/scene03/L0__s20260819__0000,scene03#p00,scene03,scene03,stair,VE_raw,,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.depth.npy,5,e03,0,0,6,11.7957,11.9203,7977,242,63,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene03__L0__s20260819__0000__e03.png,False,none,0.0,,,
260819_main_on/scene03/L0__s20260819__0000,scene03#p00,scene03,scene03,stair,VE_raw,,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.png,dataset/v2_corpus/260819_main_on/train/scene03/L0__s20260819__0000.depth.npy,5,e04,0,0,211,8.6295,9.2803,158712,265,746,experiments/e1_0827/annotations/_smoke/masks/260819_main_on__scene03__L0__s20260819__0000__e04.png,,/World/Scene03/Bollard_0,,,,
