scene,module,group,round,render_start,render_end,prefix_mismatch,arm,arm_source,hazard,arm_config,split,frames_png,depth,seg,heightmap,hm_meta,variation,scene_last_code,scene_last_code_time,consistency,route_ab_usable,seg_complete
probeH1,scenes/probe/probeH1_near_hole.py,v2_probes,260821_probe_on,2026-08-21 12:48,2026-08-21 12:55,,on,round-name suffix,ON,"{""hazard_hole"": true}",probe,24,24,0,1,1,1,6e785c30,2026-08-21T04:19:43+09:00,정합,1,0
probeH1,scenes/probe/probeH1_near_hole.py,v2_probes,260821_probe_off,2026-08-21 12:49,2026-08-21 12:56,,off,round-name suffix,OFF,"{""hazard_hole"": false}",probe,24,24,0,1,1,1,6e785c30,2026-08-21T04:19:43+09:00,정합,1,0
probeH2,scenes/probe/probeH2_offpath_hole.py,v2_probes,260821_probe_on,2026-08-21 12:48,2026-08-21 12:55,,on,round-name suffix,ON,"{""hazard_hole"": true}",probe,24,24,0,1,1,1,6e785c30,2026-08-21T04:19:43+09:00,정합,1,0
probeH2,scenes/probe/probeH2_offpath_hole.py,v2_probes,260821_probe_off,2026-08-21 12:49,2026-08-21 12:56,,off,round-name suffix,OFF,"{""hazard_hole"": false}",probe,24,24,0,1,1,1,6e785c30,2026-08-21T04:19:43+09:00,정합,1,0
probeH3,scenes/probe/probeH3_hidden_hole.py,v2_probes,260821_probe_on,2026-08-21 12:48,2026-08-21 12:55,,on,round-name suffix,ON,"{""hazard_hole"": true}",probe,24,24,0,1,1,1,6e785c30,2026-08-21T04:19:43+09:00,정합,1,0
probeH3,scenes/probe/probeH3_hidden_hole.py,v2_probes,260821_probe_off,2026-08-21 12:49,2026-08-21 12:56,,off,round-name suffix,OFF,"{""hazard_hole"": false}",probe,24,24,0,1,1,1,6e785c30,2026-08-21T04:19:43+09:00,정합,1,0
scene01,scenes/main/scene01_campus_stairs.py,_archive/scene_dev_2607,260731_data_s01,2026-07-30 22:54,2026-07-30 22:54,Y,?,n/a,?,,val,8,0,0,0,0,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합 불일치,0,0
scene01,scenes/main/scene01_campus_stairs.py,v2_corpus,260819_main_on,2026-08-19 22:42,2026-08-23 22:37,,on,round-name suffix,ON,"{""hazard_stairs"": true}",val,24,24,24,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,v2_corpus,260819_main_off,2026-08-19 22:44,2026-08-20 01:31,,off,round-name suffix,OFF,"{""hazard_stairs"": false}",val,24,24,0,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,0
scene01,scenes/main/scene01_campus_stairs.py,_archive/_delete_candidates,260823_v3p5_segsmoke_A,2026-08-23 15:09,2026-08-23 15:09,,A,round-name suffix,ON,"{""hazard_stairs"": true}",val,1,1,1,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,v3_aux,260825_v3w0_cuecls_A,2026-08-23 15:44,2026-08-23 15:59,Y,A,round-name suffix,ON,"{""hazard_stairs"": true}",val,4,4,0,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,0
scene01,scenes/main/scene01_campus_stairs.py,v3_aux,260825_v3w0_cuecls_Brail,2026-08-23 15:59,2026-08-23 16:06,Y,B*,round-name suffix (cuecls),ON,"{""hazard_stairs"": true, ""cue_railing"": false}",val,4,4,0,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,0
scene01,scenes/main/scene01_campus_stairs.py,v3_aux,260825_v3w0_cuecls_Bdress,2026-08-23 16:14,2026-08-23 16:23,Y,B*,round-name suffix (cuecls),ON,"{""hazard_stairs"": true, ""cue_scene_dressing"": false}",val,4,4,0,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,0
scene01,scenes/main/scene01_campus_stairs.py,_archive/_delete_candidates,260826_v3w1_lib_D_smoke,2026-08-23 16:51,2026-08-23 17:05,Y,?,n/a,OFF,"{""hazard_stairs"": false, ""cue_railing"": false, ""cue_tactile"": false, ""cue_nosing"": false, ""cue_material_break"": false, ""cue_sign"": false, ""cue_scene_dressing"": false}",val,1,1,1,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,v3_library,260826_v3w1_lib_D,2026-08-23 17:06,2026-08-23 17:58,Y,D,round-name suffix,OFF,"{""hazard_stairs"": false, ""cue_railing"": false, ""cue_tactile"": false, ""cue_nosing"": false, ""cue_material_break"": false, ""cue_sign"": false, ""cue_scene_dressing"": false}",val,24,24,24,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,_archive/v3_library,260826_v3w1_lib_B_smoke,2026-08-23 18:17,2026-08-23 18:23,Y,?,n/a,ON,"{""hazard_stairs"": true, ""cue_material_break"": false, ""cue_sign"": false}",val,1,1,1,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,v3_library,260826_v3w1_lib_B,2026-08-23 18:23,2026-08-23 19:30,Y,B,round-name suffix,ON,"{""hazard_stairs"": true, ""cue_material_break"": false, ""cue_sign"": false}",val,24,24,24,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,v3_aux,260826_v3a_segfill,2026-08-23 20:46,2026-08-23 21:49,Y,?,n/a,ON,"{""hazard_stairs"": true}",val,24,24,24,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,_archive/_delete_candidates,260827_v3w1_lib_C_smoke,2026-08-24 00:33,2026-08-24 01:20,Y,?,n/a,OFF,"{""hazard_stairs"": false}",val,1,1,1,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,v3_library,260827_v3w1_lib_C,2026-08-24 01:22,2026-08-24 03:04,Y,C,round-name suffix,OFF,"{""hazard_stairs"": false}",val,24,24,24,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,_archive/_delete_candidates,260827_v3w1_lib_B3_smoke,2026-08-24 07:02,2026-08-24 07:04,Y,?,n/a,ON,"{""hazard_stairs"": true, ""cue_material_break"": false, ""cue_sign"": false, ""cue_railing"": false, ""cue_scene_dressing"": false}",val,1,1,1,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,v3_library,260827_v3w1_lib_B3,2026-08-24 07:04,2026-08-24 07:15,Y,?,n/a,ON,"{""hazard_stairs"": true, ""cue_material_break"": false, ""cue_sign"": false, ""cue_railing"": false, ""cue_scene_dressing"": false}",val,24,24,24,1,1,1,b1c9d9df,2026-08-13T18:04:13+09:00,정합,1,1
scene01,scenes/main/scene01_campus_stairs.py,misc,260824_handson,,,,?,n/a,?,,val,2,0,0,0,0,1,b1c9d9df,2026-08-13T18:04:13+09:00,미상,0,0
scene01,scenes/main/scene01_campus_stairs.py,misc,260827_handson,,,,?,n/a,?,,val,4,0,0,0,0,1,b1c9d9df,2026-08-13T18:04:13+09:00,미상,0,0
scene02,scenes/main/scene02_underpass.py,_archive/scene_dev_2607,260730_data_mini,2026-07-30 07:38,2026-07-30 07:46,Y,?,n/a,?,,val,24,0,0,0,0,1,50de4892,2026-08-24T05:44:27+09:00,정합 불일치,0,0
scene02,scenes/main/scene02_underpass.py,_archive/scene_dev_2607,260731_cb7_recache,2026-07-30 19:16,2026-07-30 19:17,Y,?,n/a,?,,val,12,0,0,0,0,1,50de4892,2026-08-24T05:44:27+09:00,정합 불일치,0,0
