world,tier,view,standoff,arm,void_px,void_roi_px,n_floor,n_tau,maxconf,fire,hit,centre,node,d_box,d_true,gt_cells,n_gt,ours_v2_rgb_s42_max_p,ours_v2_rgb_s42_fire,ours_v2_rgb_s42_p_gt,ours_v2_rgb_s42_gt_hit,ours_v2_rgb_s42_top_cell,ours_v3a_rgb_s42_max_p,ours_v3a_rgb_s42_fire,ours_v3a_rgb_s42_p_gt,ours_v3a_rgb_s42_gt_hit,ours_v3a_rgb_s42_top_cell
wh0,V,rs_d0.5,0.5,roi,139512,45611,1,1,0.874,1,1,1,1,0.46,0.5,"A1,B1,C1,D1,E1",5,0.834,1,0.16,0,D2,0.06,0,0.018,0,C2
wh0,V,rs_d0.5,0.5,full,139512,45611,16,7,0.763,1,1,1,0,0.44,0.5,"A1,B1,C1,D1,E1",5,0.834,1,0.16,0,D2,0.06,0,0.018,0,C2
wh0,V,rs_d0.7,0.7,roi,68400,19813,1,1,0.816,1,1,1,1,0.58,0.7,"A1,B1,C1,D1,E1",5,0.802,1,0.305,0,D2,0.922,1,0.019,0,C3b
wh0,V,rs_d0.7,0.7,full,68400,19813,11,6,0.764,1,1,1,0,0.57,0.7,"A1,B1,C1,D1,E1",5,0.802,1,0.305,0,D2,0.922,1,0.019,0,C3b
wh0,V,rs_d0.9,0.9,roi,39376,8045,1,1,0.724,1,1,1,1,0.78,0.9,"A1,B1,C1,D1,E1",5,0.824,1,0.379,0,D2,0.81,1,0.004,0,E3b
wh0,V,rs_d0.9,0.9,full,39376,8045,13,5,0.775,1,1,0,0,0.7,0.9,"A1,B1,C1,D1,E1",5,0.824,1,0.379,0,D2,0.81,1,0.004,0,E3b
wh0,V,rs_d1.1,1.1,roi,24268,1297,1,1,0.553,1,1,0,0,0.81,1.1,"A1,B1,C1,D1,E1",5,0.573,1,0.189,0,B3b,0.385,0,0.009,0,C3b
wh0,V,rs_d1.1,1.1,full,24268,1297,10,5,0.725,1,1,0,0,0.85,1.1,"A1,B1,C1,D1,E1",5,0.573,1,0.189,0,B3b,0.385,0,0.009,0,C3b
wh0,V,rs_d1.5,1.5,roi,11726,0,0,0,0.0,0,0,0,0,,1.5,"B1,C1,D1,B2,C2,D2",6,0.58,1,0.352,0,B3b,0.512,1,0.183,0,B3b
wh0,V,rs_d1.5,1.5,full,11726,0,10,4,0.61,1,1,0,0,1.06,1.5,"B1,C1,D1,B2,C2,D2",6,0.58,1,0.352,0,B3b,0.512,1,0.183,0,B3b
wh0,V,rs_d2.6,2.6,roi,2872,0,0,0,0.0,0,0,0,0,,2.6,"B2,C2,D2",3,0.506,1,0.168,0,B3b,0.598,1,0.032,0,C3b
wh0,V,rs_d2.6,2.6,full,2872,0,8,4,0.423,1,0,0,0,inf,2.6,"B2,C2,D2",3,0.506,1,0.168,0,B3b,0.598,1,0.032,0,C3b
wh0,V,rs_d2,2.0,roi,5868,0,0,0,0.0,0,0,0,0,,2.0,"B2,C2,D2",3,0.527,1,0.164,0,B3b,0.432,0,0.059,0,C3b
wh0,V,rs_d2,2.0,full,5868,0,9,3,0.462,1,0,0,0,inf,2.0,"B2,C2,D2",3,0.527,1,0.164,0,B3b,0.432,0,0.059,0,C3b
wh0,V,rs_d3.4,3.4,roi,1438,0,1,0,0.078,0,0,0,0,,3.4,"B2,C2,D2",3,0.548,1,0.326,0,A3a,0.473,0,0.08,0,B3b
wh0,V,rs_d3.4,3.4,full,1438,0,7,2,0.361,1,0,0,0,inf,3.4,"B2,C2,D2",3,0.548,1,0.326,0,A3a,0.473,0,0.08,0,B3b
wh_e,E,rs_d0.5,0.5,roi,72296,24007,1,1,0.844,1,1,0,1,0.45,0.5,"A1,B1,C1,D1,E1",5,0.855,1,0.193,0,B3a,0.782,1,0.057,0,A3a
wh_e,E,rs_d0.5,0.5,full,72296,24007,8,5,0.724,1,1,0,0,0.44,0.5,"A1,B1,C1,D1,E1",5,0.855,1,0.193,0,B3a,0.782,1,0.057,0,A3a
wh_e,E,rs_d0.7,0.7,roi,31260,10863,2,1,0.688,1,1,0,1,0.6,0.7,"A1,B1,C1,D1,E1",5,0.862,1,0.208,0,B3b,0.868,1,0.122,0,A3a
wh_e,E,rs_d0.7,0.7,full,31260,10863,6,3,0.78,1,1,0,0,0.52,0.7,"A1,B1,C1,D1,E1",5,0.862,1,0.208,0,B3b,0.868,1,0.122,0,A3a
wh_e,E,rs_d0.9,0.9,roi,16692,6220,1,1,0.71,1,1,1,1,0.77,0.9,"A1,B1,C1,D1,E1",5,0.778,1,0.177,0,B3b,0.481,0,0.015,0,C2
wh_e,E,rs_d0.9,0.9,full,16692,6220,7,2,0.468,1,0,0,0,inf,0.9,"A1,B1,C1,D1,E1",5,0.778,1,0.177,0,B3b,0.481,0,0.015,0,C2
wh_e,E,rs_d1.1,1.1,roi,9480,1297,1,1,0.553,1,1,0,0,0.81,1.1,"A1,B1,C1,D1,E1",5,0.588,1,0.235,0,B3b,0.574,1,0.574,1,C1
wh_e,E,rs_d1.1,1.1,full,9480,1297,7,3,0.502,1,0,0,0,inf,1.1,"A1,B1,C1,D1,E1",5,0.588,1,0.235,0,B3b,0.574,1,0.574,1,C1
wh_e,E,rs_d1.5,1.5,roi,4298,0,0,0,0.0,0,0,0,0,,1.5,"B1,C1,D1",3,0.333,0,0.182,0,B3b,0.793,1,0.0,0,B3b
wh_e,E,rs_d1.5,1.5,full,4298,0,11,4,0.516,1,1,0,0,1.08,1.5,"B1,C1,D1",3,0.333,0,0.182,0,B3b,0.793,1,0.0,0,B3b
wh_e,E,rs_d2.6,2.6,roi,858,0,0,0,0.0,0,0,0,0,,2.6,"B2,C2,D2",3,0.459,0,0.299,0,A3a,0.446,0,0.192,0,C3b
wh_e,E,rs_d2.6,2.6,full,858,0,9,3,0.434,1,0,0,0,inf,2.6,"B2,C2,D2",3,0.459,0,0.299,0,A3a,0.446,0,0.192,0,C3b
wh_e,E,rs_d2,2.0,roi,1830,0,0,0,0.0,0,0,0,0,,2.0,"B2,C2,D2",3,0.407,0,0.255,0,E1,0.263,0,0.263,0,C2
wh_e,E,rs_d2,2.0,full,1830,0,9,3,0.452,1,0,0,0,inf,2.0,"B2,C2,D2",3,0.407,0,0.255,0,E1,0.263,0,0.263,0,C2
wh_e,E,rs_d3.4,3.4,roi,442,0,1,0,0.078,0,0,0,0,,3.4,"B2,C2,D2",3,0.524,1,0.354,0,A3a,0.985,1,0.786,1,B3b
wh_e,E,rs_d3.4,3.4,full,442,0,7,2,0.46,1,0,0,0,inf,3.4,"B2,C2,D2",3,0.524,1,0.354,0,A3a,0.985,1,0.786,1,B3b
wh_h,H,rs_d0.5,0.5,roi,139512,45611,0,0,0.0,0,0,0,0,,0.5,"A1,B1,C1,D1,E1",5,0.707,1,0.282,0,A3a,0.851,1,0.16,0,A3a
wh_h,H,rs_d0.5,0.5,full,139512,45611,2,0,0.099,0,0,0,0,,0.5,"A1,B1,C1,D1,E1",5,0.707,1,0.282,0,A3a,0.851,1,0.16,0,A3a
wh_h,H,rs_d0.7,0.7,roi,68400,19813,0,0,0.0,0,0,0,0,,0.7,"A1,B1,C1,D1,E1",5,0.61,1,0.348,0,A3a,0.402,0,0.033,0,A3b
wh_h,H,rs_d0.7,0.7,full,68400,19813,1,0,0.111,0,0,0,0,,0.7,"A1,B1,C1,D1,E1",5,0.61,1,0.348,0,A3a,0.402,0,0.033,0,A3b
wh_h,H,rs_d0.9,0.9,roi,39376,8045,0,0,0.0,0,0,0,0,,0.9,"A1,B1,C1,D1,E1",5,0.574,1,0.336,0,A3a,0.469,0,0.039,0,A3b
wh_h,H,rs_d0.9,0.9,full,39376,8045,2,0,0.16,0,0,0,0,,0.9,"A1,B1,C1,D1,E1",5,0.574,1,0.336,0,A3a,0.469,0,0.039,0,A3b
wh_h,H,rs_d1.1,1.1,roi,24268,1297,0,0,0.0,0,0,0,0,,1.1,"A1,B1,C1,D1,E1",5,0.528,1,0.339,0,A3a,0.473,0,0.038,0,A3b
wh_h,H,rs_d1.1,1.1,full,24268,1297,1,0,0.133,0,0,0,0,,1.1,"A1,B1,C1,D1,E1",5,0.528,1,0.339,0,A3a,0.473,0,0.038,0,A3b
wh_h,H,rs_d1.5,1.5,roi,11726,0,0,0,0.0,0,0,0,0,,1.5,"B1,C1,D1,B2,C2,D2",6,0.434,0,0.132,0,B3b,0.8,1,0.583,1,A3b
wh_h,H,rs_d1.5,1.5,full,11726,0,6,2,0.37,1,0,0,0,1.05,1.5,"B1,C1,D1,B2,C2,D2",6,0.434,0,0.132,0,B3b,0.8,1,0.583,1,A3b
wh_h,H,rs_d2.6,2.6,roi,2872,0,0,0,0.0,0,0,0,0,,2.6,"B2,C2,D2",3,0.43,0,0.195,0,B3b,0.54,1,0.54,1,C2
wh_h,H,rs_d2.6,2.6,full,2872,0,7,2,0.528,1,0,0,0,inf,2.6,"B2,C2,D2",3,0.43,0,0.195,0,B3b,0.54,1,0.54,1,C2
wh_h,H,rs_d2,2.0,roi,5868,0,0,0,0.0,0,0,0,0,,2.0,"B2,C2,D2",3,0.396,0,0.207,0,B3b,0.847,1,0.746,1,A3b
wh_h,H,rs_d2,2.0,full,5868,0,7,3,0.498,1,0,0,0,inf,2.0,"B2,C2,D2",3,0.396,0,0.207,0,B3b,0.847,1,0.746,1,A3b
wh_h,H,rs_d3.4,3.4,roi,1438,0,1,0,0.078,0,0,0,0,,3.4,"B2,C2,D2",3,0.62,1,0.405,0,A3a,0.907,1,0.579,1,C3b
wh_h,H,rs_d3.4,3.4,full,1438,0,9,3,0.364,1,0,0,0,inf,3.4,"B2,C2,D2",3,0.62,1,0.405,0,A3a,0.907,1,0.579,1,C3b
wh_hc,H-ctrl,rs_d0.5,0.5,roi,139512,45611,0,0,0.0,0,0,0,0,,0.5,"A1,B1,C1,D1,E1",5,0.707,1,0.282,0,A3a,0.851,1,0.16,0,A3a
wh_hc,H-ctrl,rs_d0.5,0.5,full,139512,45611,2,0,0.099,0,0,0,0,,0.5,"A1,B1,C1,D1,E1",5,0.707,1,0.282,0,A3a,0.851,1,0.16,0,A3a
wh_hc,H-ctrl,rs_d0.7,0.7,roi,68400,19813,0,0,0.0,0,0,0,0,,0.7,"A1,B1,C1,D1,E1",5,0.61,1,0.348,0,A3a,0.402,0,0.033,0,A3b
wh_hc,H-ctrl,rs_d0.7,0.7,full,68400,19813,1,0,0.111,0,0,0,0,,0.7,"A1,B1,C1,D1,E1",5,0.61,1,0.348,0,A3a,0.402,0,0.033,0,A3b
wh_hc,H-ctrl,rs_d0.9,0.9,roi,39376,8045,0,0,0.0,0,0,0,0,,0.9,"A1,B1,C1,D1,E1",5,0.574,1,0.336,0,A3a,0.469,0,0.039,0,A3b
wh_hc,H-ctrl,rs_d0.9,0.9,full,39376,8045,2,0,0.16,0,0,0,0,,0.9,"A1,B1,C1,D1,E1",5,0.574,1,0.336,0,A3a,0.469,0,0.039,0,A3b
wh_hc,H-ctrl,rs_d1.1,1.1,roi,24268,1297,0,0,0.0,0,0,0,0,,1.1,"A1,B1,C1,D1,E1",5,0.528,1,0.339,0,A3a,0.473,0,0.038,0,A3b
wh_hc,H-ctrl,rs_d1.1,1.1,full,24268,1297,1,0,0.133,0,0,0,0,,1.1,"A1,B1,C1,D1,E1",5,0.528,1,0.339,0,A3a,0.473,0,0.038,0,A3b
wh_hc,H-ctrl,rs_d1.5,1.5,roi,11726,0,0,0,0.0,0,0,0,0,,1.5,"B1,C1,D1,B2,C2,D2",6,0.434,0,0.132,0,B3b,0.8,1,0.583,1,A3b
wh_hc,H-ctrl,rs_d1.5,1.5,full,11726,0,6,2,0.37,1,0,0,0,1.05,1.5,"B1,C1,D1,B2,C2,D2",6,0.434,0,0.132,0,B3b,0.8,1,0.583,1,A3b
wh_hc,H-ctrl,rs_d2.6,2.6,roi,2872,0,0,0,0.0,0,0,0,0,,2.6,"B2,C2,D2",3,0.43,0,0.195,0,B3b,0.54,1,0.54,1,C2
wh_hc,H-ctrl,rs_d2.6,2.6,full,2872,0,7,2,0.528,1,0,0,0,inf,2.6,"B2,C2,D2",3,0.43,0,0.195,0,B3b,0.54,1,0.54,1,C2
wh_hc,H-ctrl,rs_d2,2.0,roi,5868,0,0,0,0.0,0,0,0,0,,2.0,"B2,C2,D2",3,0.396,0,0.207,0,B3b,0.847,1,0.746,1,A3b
wh_hc,H-ctrl,rs_d2,2.0,full,5868,0,7,3,0.498,1,0,0,0,inf,2.0,"B2,C2,D2",3,0.396,0,0.207,0,B3b,0.847,1,0.746,1,A3b
wh_hc,H-ctrl,rs_d3.4,3.4,roi,1438,0,1,0,0.078,0,0,0,0,,3.4,"B2,C2,D2",3,0.62,1,0.405,0,A3a,0.907,1,0.579,1,C3b
wh_hc,H-ctrl,rs_d3.4,3.4,full,1438,0,9,3,0.364,1,0,0,0,inf,3.4,"B2,C2,D2",3,0.62,1,0.405,0,A3a,0.907,1,0.579,1,C3b
