model,world,tier,view,standoff,gt_cells,n_gt,max_p,p_gt,fire,gt_hit,top_cell
v2_rgb_s42,wh0,V,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.834,0.16,1,0,D2
v2_rgb_s42,wh0,V,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.802,0.305,1,0,D2
v2_rgb_s42,wh0,V,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.824,0.379,1,0,D2
v2_rgb_s42,wh0,V,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.573,0.189,1,0,B3b
v2_rgb_s42,wh0,V,rs_d1.5,1.5,"B1,C1,D1,B2,C2,D2",6,0.58,0.352,1,0,B3b
v2_rgb_s42,wh0,V,rs_d2,2.0,"B2,C2,D2",3,0.527,0.164,1,0,B3b
v2_rgb_s42,wh0,V,rs_d2.6,2.6,"B2,C2,D2",3,0.506,0.168,1,0,B3b
v2_rgb_s42,wh0,V,rs_d3.4,3.4,"B2,C2,D2",3,0.548,0.326,1,0,A3a
v2_rgb_s42,wh_e,E,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.855,0.193,1,0,B3a
v2_rgb_s42,wh_e,E,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.862,0.208,1,0,B3b
v2_rgb_s42,wh_e,E,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.778,0.177,1,0,B3b
v2_rgb_s42,wh_e,E,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.588,0.235,1,0,B3b
v2_rgb_s42,wh_e,E,rs_d1.5,1.5,"B1,C1,D1",3,0.333,0.182,0,0,B3b
v2_rgb_s42,wh_e,E,rs_d2,2.0,"B2,C2,D2",3,0.407,0.255,0,0,E1
v2_rgb_s42,wh_e,E,rs_d2.6,2.6,"B2,C2,D2",3,0.459,0.299,0,0,A3a
v2_rgb_s42,wh_e,E,rs_d3.4,3.4,"B2,C2,D2",3,0.524,0.354,1,0,A3a
v2_rgb_s42,wh_h,H,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.707,0.282,1,0,A3a
v2_rgb_s42,wh_h,H,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.61,0.348,1,0,A3a
v2_rgb_s42,wh_h,H,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.574,0.336,1,0,A3a
v2_rgb_s42,wh_h,H,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.528,0.339,1,0,A3a
v2_rgb_s42,wh_h,H,rs_d1.5,1.5,"B1,C1,D1,B2,C2,D2",6,0.434,0.132,0,0,B3b
v2_rgb_s42,wh_h,H,rs_d2,2.0,"B2,C2,D2",3,0.396,0.207,0,0,B3b
v2_rgb_s42,wh_h,H,rs_d2.6,2.6,"B2,C2,D2",3,0.43,0.195,0,0,B3b
v2_rgb_s42,wh_h,H,rs_d3.4,3.4,"B2,C2,D2",3,0.62,0.405,1,0,A3a
v2_rgb_s42,wh_hc,H-ctrl,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.707,0.282,1,0,A3a
v2_rgb_s42,wh_hc,H-ctrl,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.61,0.348,1,0,A3a
v2_rgb_s42,wh_hc,H-ctrl,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.574,0.336,1,0,A3a
v2_rgb_s42,wh_hc,H-ctrl,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.528,0.339,1,0,A3a
v2_rgb_s42,wh_hc,H-ctrl,rs_d1.5,1.5,"B1,C1,D1,B2,C2,D2",6,0.434,0.132,0,0,B3b
v2_rgb_s42,wh_hc,H-ctrl,rs_d2,2.0,"B2,C2,D2",3,0.396,0.207,0,0,B3b
v2_rgb_s42,wh_hc,H-ctrl,rs_d2.6,2.6,"B2,C2,D2",3,0.43,0.195,0,0,B3b
v2_rgb_s42,wh_hc,H-ctrl,rs_d3.4,3.4,"B2,C2,D2",3,0.62,0.405,1,0,A3a
v3a_rgb_s42,wh0,V,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.06,0.018,0,0,C2
v3a_rgb_s42,wh0,V,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.922,0.019,1,0,C3b
v3a_rgb_s42,wh0,V,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.81,0.004,1,0,E3b
v3a_rgb_s42,wh0,V,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.385,0.009,0,0,C3b
v3a_rgb_s42,wh0,V,rs_d1.5,1.5,"B1,C1,D1,B2,C2,D2",6,0.512,0.183,1,0,B3b
v3a_rgb_s42,wh0,V,rs_d2,2.0,"B2,C2,D2",3,0.432,0.059,0,0,C3b
v3a_rgb_s42,wh0,V,rs_d2.6,2.6,"B2,C2,D2",3,0.598,0.032,1,0,C3b
v3a_rgb_s42,wh0,V,rs_d3.4,3.4,"B2,C2,D2",3,0.473,0.08,0,0,B3b
v3a_rgb_s42,wh_e,E,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.782,0.057,1,0,A3a
v3a_rgb_s42,wh_e,E,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.868,0.122,1,0,A3a
v3a_rgb_s42,wh_e,E,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.481,0.015,0,0,C2
v3a_rgb_s42,wh_e,E,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.574,0.574,1,1,C1
v3a_rgb_s42,wh_e,E,rs_d1.5,1.5,"B1,C1,D1",3,0.793,0.0,1,0,B3b
v3a_rgb_s42,wh_e,E,rs_d2,2.0,"B2,C2,D2",3,0.263,0.263,0,0,C2
v3a_rgb_s42,wh_e,E,rs_d2.6,2.6,"B2,C2,D2",3,0.446,0.192,0,0,C3b
v3a_rgb_s42,wh_e,E,rs_d3.4,3.4,"B2,C2,D2",3,0.985,0.786,1,1,B3b
v3a_rgb_s42,wh_h,H,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.851,0.16,1,0,A3a
v3a_rgb_s42,wh_h,H,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.402,0.033,0,0,A3b
v3a_rgb_s42,wh_h,H,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.469,0.039,0,0,A3b
v3a_rgb_s42,wh_h,H,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.473,0.038,0,0,A3b
v3a_rgb_s42,wh_h,H,rs_d1.5,1.5,"B1,C1,D1,B2,C2,D2",6,0.8,0.583,1,1,A3b
v3a_rgb_s42,wh_h,H,rs_d2,2.0,"B2,C2,D2",3,0.847,0.746,1,1,A3b
v3a_rgb_s42,wh_h,H,rs_d2.6,2.6,"B2,C2,D2",3,0.54,0.54,1,1,C2
v3a_rgb_s42,wh_h,H,rs_d3.4,3.4,"B2,C2,D2",3,0.907,0.579,1,1,C3b
v3a_rgb_s42,wh_hc,H-ctrl,rs_d0.5,0.5,"A1,B1,C1,D1,E1",5,0.851,0.16,1,0,A3a
v3a_rgb_s42,wh_hc,H-ctrl,rs_d0.7,0.7,"A1,B1,C1,D1,E1",5,0.402,0.033,0,0,A3b
v3a_rgb_s42,wh_hc,H-ctrl,rs_d0.9,0.9,"A1,B1,C1,D1,E1",5,0.469,0.039,0,0,A3b
v3a_rgb_s42,wh_hc,H-ctrl,rs_d1.1,1.1,"A1,B1,C1,D1,E1",5,0.473,0.038,0,0,A3b
v3a_rgb_s42,wh_hc,H-ctrl,rs_d1.5,1.5,"B1,C1,D1,B2,C2,D2",6,0.8,0.583,1,1,A3b
v3a_rgb_s42,wh_hc,H-ctrl,rs_d2,2.0,"B2,C2,D2",3,0.847,0.746,1,1,A3b
v3a_rgb_s42,wh_hc,H-ctrl,rs_d2.6,2.6,"B2,C2,D2",3,0.54,0.54,1,1,C2
v3a_rgb_s42,wh_hc,H-ctrl,rs_d3.4,3.4,"B2,C2,D2",3,0.907,0.579,1,1,C3b
