epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec
1,0.263797,0.862160,0.229885,0.465116,0.254005,3.000e-04,6.26
2,0.200802,0.738159,0.148936,0.325581,0.299771,2.980e-04,5.82
3,0.171323,1.196769,0.172414,0.348837,0.265446,2.960e-04,5.70
4,0.174231,1.277155,0.186047,0.465116,0.347826,2.940e-04,5.67
5,0.142093,1.127782,0.157635,0.372093,0.329519,2.920e-04,5.65
6,0.126601,1.014121,0.215909,0.441860,0.260870,2.900e-04,5.65
7,0.114413,0.570823,0.244604,0.395349,0.180778,2.880e-04,5.66
8,0.103827,1.103169,0.187135,0.372093,0.256293,2.860e-04,5.67
9,0.091308,1.354121,0.158879,0.395349,0.352403,2.840e-04,5.66
10,0.083444,0.605159,0.325926,0.511628,0.160183,2.820e-04,5.67
11,0.083773,1.073223,0.225641,0.511628,0.297483,2.800e-04,5.67
12,0.058155,0.908981,0.232877,0.395349,0.196796,2.780e-04,5.64
13,0.060645,0.986459,0.182927,0.348837,0.242563,2.760e-04,5.62
14,0.050967,1.062740,0.276923,0.627907,0.286041,2.740e-04,5.65
15,0.066398,0.871868,0.232558,0.465116,0.249428,2.720e-04,5.63
16,0.045515,1.158522,0.241379,0.488372,0.251716,2.700e-04,5.65
17,0.048318,1.802998,0.213592,0.511628,0.322654,2.680e-04,5.62
18,0.035754,1.229528,0.256684,0.558140,0.274600,2.660e-04,5.61
19,0.044569,1.151505,0.223350,0.511628,0.302059,2.640e-04,5.58
20,0.046749,1.603734,0.207547,0.511628,0.336384,2.620e-04,5.65
21,0.035566,1.269224,0.176796,0.372093,0.279176,2.600e-04,5.61
22,0.026645,1.037616,0.181818,0.348837,0.244851,2.580e-04,5.62
23,0.038406,1.334399,0.234043,0.511628,0.281465,2.560e-04,5.62
24,0.050563,1.458850,0.188889,0.395349,0.274600,2.540e-04,5.59
25,0.035956,1.475872,0.186047,0.372093,0.258581,2.520e-04,5.58
