scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame
scene05,L0__s20260819__0000.png,V,True,,15,0.988615,0.253222,0.735393,0.988615,0.253222,0.735393
scene05,L0__s20260819__0001.png,V,True,,4,0.680051,0.099604,0.5804469999999999,0.680051,0.099604,0.5804469999999999
scene05,L0__s20260819__0002.png,V,True,,5,0.839816,0.193967,0.645849,0.839816,0.193967,0.645849
scene05,L0__s20260819__0003.png,V,False,ground_z,10,0.977756,0.150554,0.827202,0.977756,0.150554,0.827202
scene05,L0__s20260819__0004.png,V,True,,15,0.857867,0.128615,0.729252,0.857867,0.128615,0.729252
scene05,L0__s20260819__0005.png,V,False,ground_z,15,0.543051,0.006135,0.536916,0.543051,0.006135,0.536916
scene05,L0__s20260819__0006.png,V,True,,10,0.883759,0.068629,0.8151299999999999,0.883759,0.068629,0.8151299999999999
scene05,L0__s20260819__0007.png,V,True,,10,0.918317,0.00227,0.9160470000000001,0.918317,0.00227,0.9160470000000001
scene05,L5__s20260819__0000.png,V,True,,15,0.988615,0.253222,0.735393,0.988615,0.253222,0.735393
scene05,L5__s20260819__0001.png,V,True,,4,0.680051,0.099604,0.5804469999999999,0.680051,0.099604,0.5804469999999999
scene05,L5__s20260819__0002.png,V,True,,5,0.839816,0.193967,0.645849,0.839816,0.193967,0.645849
scene05,L5__s20260819__0003.png,V,False,ground_z,10,0.977756,0.150554,0.827202,0.977756,0.150554,0.827202
scene05,L5__s20260819__0004.png,V,True,,15,0.857867,0.128615,0.729252,0.857867,0.128615,0.729252
scene05,L5__s20260819__0005.png,V,False,ground_z,15,0.543051,0.006135,0.536916,0.543051,0.006135,0.536916
scene05,L5__s20260819__0006.png,V,True,,10,0.883759,0.068629,0.8151299999999999,0.883759,0.068629,0.8151299999999999
scene05,L5__s20260819__0007.png,V,True,,10,0.918317,0.00227,0.9160470000000001,0.918317,0.00227,0.9160470000000001
scene05,L7__s20260819__0000.png,V,True,,15,0.988615,0.253222,0.735393,0.988615,0.253222,0.735393
scene05,L7__s20260819__0001.png,V,True,,4,0.680051,0.099604,0.5804469999999999,0.680051,0.099604,0.5804469999999999
scene05,L7__s20260819__0002.png,V,True,,5,0.839816,0.193967,0.645849,0.839816,0.193967,0.645849
scene05,L7__s20260819__0003.png,V,False,ground_z,10,0.977756,0.150554,0.827202,0.977756,0.150554,0.827202
scene05,L7__s20260819__0004.png,V,True,,15,0.857867,0.128615,0.729252,0.857867,0.128615,0.729252
scene05,L7__s20260819__0005.png,V,False,ground_z,15,0.543051,0.006135,0.536916,0.543051,0.006135,0.536916
scene05,L7__s20260819__0006.png,V,True,,10,0.883759,0.068629,0.8151299999999999,0.883759,0.068629,0.8151299999999999
scene05,L7__s20260819__0007.png,V,True,,10,0.918317,0.00227,0.9160470000000001,0.918317,0.00227,0.9160470000000001
scene07,L0__s20260819__0000.png,V,False,ground_z,5,0.833858,0.003068,0.83079,0.833858,0.003068,0.83079
scene07,L0__s20260819__0001.png,none_in_fov,False,ground_z,0,nan,nan,nan,0.844172,0.003745,0.840427
scene07,L0__s20260819__0002.png,V,False,ground_z,5,0.80971,0.003755,0.8059550000000001,0.80971,0.003755,0.8059550000000001
scene07,L0__s20260819__0003.png,V,False,ground_z,7,0.993124,0.002508,0.990616,0.993124,0.002508,0.990616
scene07,L0__s20260819__0004.png,V,False,ground_z,4,0.924479,0.00293,0.9215490000000001,0.924479,0.00293,0.9215490000000001
scene07,L0__s20260819__0005.png,V,False,ground_z,4,0.87709,0.001931,0.875159,0.87709,0.001931,0.875159
scene07,L0__s20260819__0006.png,V,True,,7,0.900457,0.004206,0.8962509999999999,0.900457,0.004206,0.8962509999999999
scene07,L0__s20260819__0007.png,V,False,ground_z,5,0.902829,0.002935,0.899894,0.902829,0.002935,0.899894
scene07,L5__s20260819__0000.png,V,False,ground_z,5,0.833858,0.003068,0.83079,0.833858,0.003068,0.83079
scene07,L5__s20260819__0001.png,none_in_fov,False,ground_z,0,nan,nan,nan,0.844172,0.003745,0.840427
scene07,L5__s20260819__0002.png,V,False,ground_z,5,0.80971,0.003755,0.8059550000000001,0.80971,0.003755,0.8059550000000001
scene07,L5__s20260819__0003.png,V,False,ground_z,7,0.993124,0.002508,0.990616,0.993124,0.002508,0.990616
scene07,L5__s20260819__0004.png,V,False,ground_z,4,0.924479,0.00293,0.9215490000000001,0.924479,0.00293,0.9215490000000001
scene07,L5__s20260819__0005.png,V,False,ground_z,4,0.87709,0.001931,0.875159,0.87709,0.001931,0.875159
scene07,L5__s20260819__0006.png,V,True,,7,0.900457,0.004206,0.8962509999999999,0.900457,0.004206,0.8962509999999999
scene07,L5__s20260819__0007.png,V,False,ground_z,5,0.902829,0.002935,0.899894,0.902829,0.002935,0.899894
scene07,L7__s20260819__0000.png,V,False,ground_z,5,0.833858,0.003068,0.83079,0.833858,0.003068,0.83079
scene07,L7__s20260819__0001.png,none_in_fov,False,ground_z,0,nan,nan,nan,0.844172,0.003745,0.840427
scene07,L7__s20260819__0002.png,V,False,ground_z,5,0.80971,0.003755,0.8059550000000001,0.80971,0.003755,0.8059550000000001
scene07,L7__s20260819__0003.png,V,False,ground_z,7,0.993124,0.002508,0.990616,0.993124,0.002508,0.990616
scene07,L7__s20260819__0004.png,V,False,ground_z,4,0.924479,0.00293,0.9215490000000001,0.924479,0.00293,0.9215490000000001
scene07,L7__s20260819__0005.png,V,False,ground_z,4,0.87709,0.001931,0.875159,0.87709,0.001931,0.875159
scene07,L7__s20260819__0006.png,V,True,,7,0.900457,0.004206,0.8962509999999999,0.900457,0.004206,0.8962509999999999
