epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec
1,0.320057,0.391773,0.298701,0.356589,0.101449,3.000e-04,14.01
2,0.206324,0.628367,0.225166,0.395349,0.208238,2.980e-04,13.98
3,0.156035,0.543776,0.206304,0.279070,0.140351,2.960e-04,13.71
4,0.143632,0.909895,0.210728,0.426357,0.257818,2.940e-04,13.73
5,0.110354,0.547738,0.260623,0.356589,0.135774,2.920e-04,13.79
6,0.093952,0.637626,0.211765,0.348837,0.191457,2.900e-04,13.71
7,0.073125,0.608916,0.210784,0.333333,0.180015,2.880e-04,13.71
8,0.090972,0.547315,0.222222,0.341085,0.170099,2.860e-04,13.77
9,0.098655,0.697402,0.202899,0.325581,0.185355,2.840e-04,13.70
10,0.065381,0.547840,0.238095,0.310078,0.127384,2.820e-04,13.79
11,0.046475,0.573905,0.263514,0.302326,0.097635,2.800e-04,13.84
12,0.035365,0.880446,0.203310,0.333333,0.191457,2.780e-04,13.79
13,0.027491,0.661177,0.213542,0.317829,0.163234,2.760e-04,13.70
14,0.024188,0.615167,0.225000,0.348837,0.172387,2.740e-04,13.75
15,0.022886,0.654306,0.201087,0.286822,0.154081,2.720e-04,13.74
16,0.023431,0.752259,0.203233,0.341085,0.198322,2.700e-04,13.73
