scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame
scene05,L0__s20260819__0000.png,V,True,,15,0.914386,0.248778,0.665608,0.914386,0.248778,0.665608
scene05,L0__s20260819__0001.png,V,True,,4,0.423672,0.397658,0.02601399999999998,0.423672,0.397658,0.02601399999999998
scene05,L0__s20260819__0002.png,V,True,,5,0.707255,0.635063,0.07219199999999992,0.707255,0.635063,0.07219199999999992
scene05,L0__s20260819__0003.png,V,False,ground_z,10,0.992136,0.175968,0.816168,0.992136,0.175968,0.816168
scene05,L0__s20260819__0004.png,V,True,,15,0.994715,0.029132,0.965583,0.994715,0.029132,0.965583
scene05,L0__s20260819__0005.png,V,False,ground_z,15,0.97936,0.10583,0.87353,0.97936,0.10583,0.87353
scene05,L0__s20260819__0006.png,V,True,,10,0.993831,0.02862,0.965211,0.993831,0.02862,0.965211
scene05,L0__s20260819__0007.png,V,True,,10,0.99569,0.029748,0.965942,0.99569,0.029748,0.965942
scene05,L5__s20260819__0000.png,V,True,,15,0.967808,0.168909,0.798899,0.967808,0.168909,0.798899
scene05,L5__s20260819__0001.png,V,True,,4,0.806674,0.731419,0.07525499999999996,0.806674,0.731419,0.07525499999999996
scene05,L5__s20260819__0002.png,V,True,,5,0.823094,0.782459,0.04063499999999998,0.823094,0.782459,0.04063499999999998
scene05,L5__s20260819__0003.png,V,False,ground_z,10,0.998642,0.941209,0.05743300000000007,0.998642,0.941209,0.05743300000000007
scene05,L5__s20260819__0004.png,V,True,,15,0.994839,0.154012,0.840827,0.994839,0.154012,0.840827
scene05,L5__s20260819__0005.png,V,False,ground_z,15,0.99442,0.495658,0.498762,0.99442,0.495658,0.498762
scene05,L5__s20260819__0006.png,V,True,,10,0.978883,0.21116,0.7677229999999999,0.978883,0.21116,0.7677229999999999
scene05,L5__s20260819__0007.png,V,True,,10,0.996474,0.152974,0.8434999999999999,0.996474,0.152974,0.8434999999999999
scene05,L7__s20260819__0000.png,V,True,,15,0.966345,0.08717,0.879175,0.966345,0.08717,0.879175
scene05,L7__s20260819__0001.png,V,True,,4,0.5755,0.194327,0.381173,0.5755,0.194327,0.381173
