scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
sceneC2,L2__s20260819__0000.png,V,True,,12,0.998905,0.009506,0.989399,0.998905,0.009506,0.989399,nan,nan,nan,0.687811,0.004606,0.683205,0.990378,0.001342,0.989036,0.998905,0.009506,0.989399
sceneC2,L2__s20260819__0001.png,V,True,,6,0.95493,0.031719,0.923211,0.95493,0.031719,0.923211,nan,nan,nan,nan,nan,nan,0.552948,0.009532,0.543416,0.95493,0.031719,0.923211
sceneC2,L2__s20260819__0002.png,V,True,,2,0.852234,0.601862,0.25037200000000004,0.852234,0.601862,0.25037200000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.852234,0.601862,0.25037200000000004
sceneC2,L2__s20260819__0003.png,V,True,,15,0.984531,0.593677,0.39085400000000003,0.984531,0.593677,0.39085400000000003,nan,nan,nan,0.984531,3e-06,0.9845280000000001,0.956368,0.0,0.956368,0.981988,0.593677,0.38831099999999996
sceneC2,L2__s20260819__0004.png,V,True,,13,0.99996,0.999403,0.0005569999999999187,0.99996,0.999403,0.0005569999999999187,nan,nan,nan,0.99996,0.999403,0.0005569999999999187,0.999624,0.998626,0.0009979999999999434,0.994323,0.989986,0.004336999999999924
sceneC2,L2__s20260819__0005.png,V,True,,8,0.996649,0.999465,-0.0028160000000000407,0.996649,0.999465,-0.0028160000000000407,nan,nan,nan,nan,nan,nan,0.991608,0.999465,-0.007857000000000003,0.996649,0.997209,-0.0005600000000000049
sceneC2,L2__s20260819__0006.png,V,True,,8,0.999328,0.199476,0.799852,0.999328,0.199476,0.799852,nan,nan,nan,nan,nan,nan,0.997607,0.199476,0.798131,0.999328,0.147303,0.852025
sceneC2,L2__s20260819__0007.png,V,True,,15,0.995999,0.49474,0.5012589999999999,0.995999,0.49474,0.5012589999999999,nan,nan,nan,0.995999,7e-05,0.995929,0.984955,0.0,0.984955,0.98354,0.49474,0.48879999999999996
sceneC2,L3__s20260819__0000.png,V,True,,12,0.998905,0.009506,0.989399,0.998905,0.009506,0.989399,nan,nan,nan,0.687811,0.004606,0.683205,0.990378,0.001342,0.989036,0.998905,0.009506,0.989399
sceneC2,L3__s20260819__0001.png,V,True,,6,0.95493,0.031719,0.923211,0.95493,0.031719,0.923211,nan,nan,nan,nan,nan,nan,0.552948,0.009532,0.543416,0.95493,0.031719,0.923211
sceneC2,L3__s20260819__0002.png,V,True,,2,0.852234,0.601862,0.25037200000000004,0.852234,0.601862,0.25037200000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.852234,0.601862,0.25037200000000004
sceneC2,L3__s20260819__0003.png,V,True,,15,0.984531,0.593677,0.39085400000000003,0.984531,0.593677,0.39085400000000003,nan,nan,nan,0.984531,3e-06,0.9845280000000001,0.956368,0.0,0.956368,0.981988,0.593677,0.38831099999999996
sceneC2,L3__s20260819__0004.png,V,True,,13,0.99996,0.999403,0.0005569999999999187,0.99996,0.999403,0.0005569999999999187,nan,nan,nan,0.99996,0.999403,0.0005569999999999187,0.999624,0.998626,0.0009979999999999434,0.994323,0.989986,0.004336999999999924
sceneC2,L3__s20260819__0005.png,V,True,,8,0.996649,0.999465,-0.0028160000000000407,0.996649,0.999465,-0.0028160000000000407,nan,nan,nan,nan,nan,nan,0.991608,0.999465,-0.007857000000000003,0.996649,0.997209,-0.0005600000000000049
sceneC2,L3__s20260819__0006.png,V,True,,8,0.999328,0.199476,0.799852,0.999328,0.199476,0.799852,nan,nan,nan,nan,nan,nan,0.997607,0.199476,0.798131,0.999328,0.147303,0.852025
sceneC2,L3__s20260819__0007.png,V,True,,15,0.995999,0.49474,0.5012589999999999,0.995999,0.49474,0.5012589999999999,nan,nan,nan,0.995999,7e-05,0.995929,0.984955,0.0,0.984955,0.98354,0.49474,0.48879999999999996
sceneC2,L7__s20260819__0000.png,V,True,,12,0.998905,0.009506,0.989399,0.998905,0.009506,0.989399,nan,nan,nan,0.687811,0.004606,0.683205,0.990378,0.001342,0.989036,0.998905,0.009506,0.989399
sceneC2,L7__s20260819__0001.png,V,True,,6,0.95493,0.031719,0.923211,0.95493,0.031719,0.923211,nan,nan,nan,nan,nan,nan,0.552948,0.009532,0.543416,0.95493,0.031719,0.923211
sceneC2,L7__s20260819__0002.png,V,True,,2,0.852234,0.601862,0.25037200000000004,0.852234,0.601862,0.25037200000000004,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.852234,0.601862,0.25037200000000004
sceneC2,L7__s20260819__0003.png,V,True,,15,0.984531,0.593677,0.39085400000000003,0.984531,0.593677,0.39085400000000003,nan,nan,nan,0.984531,3e-06,0.9845280000000001,0.956368,0.0,0.956368,0.981988,0.593677,0.38831099999999996
sceneC2,L7__s20260819__0004.png,V,True,,13,0.99996,0.999403,0.0005569999999999187,0.99996,0.999403,0.0005569999999999187,nan,nan,nan,0.99996,0.999403,0.0005569999999999187,0.999624,0.998626,0.0009979999999999434,0.994323,0.989986,0.004336999999999924
sceneC2,L7__s20260819__0005.png,V,True,,8,0.996649,0.999465,-0.0028160000000000407,0.996649,0.999465,-0.0028160000000000407,nan,nan,nan,nan,nan,nan,0.991608,0.999465,-0.007857000000000003,0.996649,0.997209,-0.0005600000000000049
sceneC2,L7__s20260819__0006.png,V,True,,8,0.999328,0.199476,0.799852,0.999328,0.199476,0.799852,nan,nan,nan,nan,nan,nan,0.997607,0.199476,0.798131,0.999328,0.147303,0.852025
sceneC2,L7__s20260819__0007.png,V,True,,15,0.995999,0.49474,0.5012589999999999,0.995999,0.49474,0.5012589999999999,nan,nan,nan,0.995999,7e-05,0.995929,0.984955,0.0,0.984955,0.98354,0.49474,0.48879999999999996
sceneN3,L0__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.000778,0.000778,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,7.4e-05,7.4e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.010802,0.010802,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.00331,0.00331,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.001203,0.001203,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.000807,0.000807,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,4.1e-05,4.1e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L0__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.002614,0.002614,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.000778,0.000778,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,7.4e-05,7.4e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.010802,0.010802,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0003.png,none_in_fov,True,,0,nan,nan,nan,0.00331,0.00331,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0004.png,none_in_fov,True,,0,nan,nan,nan,0.001203,0.001203,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0005.png,none_in_fov,True,,0,nan,nan,nan,0.000807,0.000807,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0006.png,none_in_fov,True,,0,nan,nan,nan,4.1e-05,4.1e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L5__s20260819__0007.png,none_in_fov,True,,0,nan,nan,nan,0.002614,0.002614,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0000.png,none_in_fov,True,,0,nan,nan,nan,0.000778,0.000778,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0001.png,none_in_fov,True,,0,nan,nan,nan,7.4e-05,7.4e-05,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
sceneN3,L7__s20260819__0002.png,none_in_fov,True,,0,nan,nan,nan,0.010802,0.010802,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
