scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
sceneC2,L2__s20260819__0000.png,V,True,,12,0.992362,0.822492,0.16986999999999997,0.992362,0.822492,0.16986999999999997,nan,nan,nan,0.026202,0.000396,0.025806,0.937111,0.02289,0.9142210000000001,0.992362,0.822492,0.16986999999999997
sceneC2,L2__s20260819__0001.png,V,True,,6,0.882983,0.498156,0.384827,0.882983,0.498156,0.384827,nan,nan,nan,nan,nan,nan,0.055226,0.000562,0.054664,0.882983,0.498156,0.384827
sceneC2,L2__s20260819__0002.png,V,True,,2,0.828169,0.593736,0.234433,0.929143,0.934952,-0.005808999999999953,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.828169,0.593736,0.234433
sceneC2,L2__s20260819__0003.png,V,True,,15,0.888661,0.790188,0.09847300000000003,0.888661,0.790188,0.09847300000000003,nan,nan,nan,0.137522,0.00506,0.132462,0.888661,0.000391,0.88827,0.819228,0.790188,0.029039999999999955
sceneC2,L2__s20260819__0004.png,V,True,,13,0.860597,0.808461,0.05213599999999996,0.867467,0.846334,0.021132999999999957,nan,nan,nan,0.090415,0.248289,-0.15787400000000001,0.644301,0.536547,0.10775400000000002,0.860597,0.808461,0.05213599999999996
sceneC2,L2__s20260819__0005.png,V,True,,8,0.105436,0.517334,-0.411898,0.501597,0.517334,-0.015737,nan,nan,nan,nan,nan,nan,0.105436,0.097193,0.008243,0.070189,0.517334,-0.44714499999999996
sceneC2,L2__s20260819__0006.png,V,True,,8,0.997027,0.935427,0.06159999999999999,0.997027,0.935427,0.06159999999999999,nan,nan,nan,nan,nan,nan,0.990514,0.171054,0.81946,0.997027,0.935427,0.06159999999999999
sceneC2,L2__s20260819__0007.png,V,True,,15,0.988003,0.871424,0.11657899999999999,0.988003,0.871424,0.11657899999999999,nan,nan,nan,0.353992,0.05134,0.302652,0.974365,0.40179,0.5725750000000001,0.988003,0.871424,0.11657899999999999
sceneC2,L3__s20260819__0000.png,V,True,,12,0.992798,0.784819,0.20797899999999991,0.992798,0.784819,0.20797899999999991,nan,nan,nan,0.017279,0.000324,0.016954999999999998,0.937861,0.024764,0.9130969999999999,0.992798,0.784819,0.20797899999999991
sceneC2,L3__s20260819__0001.png,V,True,,6,0.852848,0.459185,0.39366300000000004,0.852848,0.459185,0.39366300000000004,nan,nan,nan,nan,nan,nan,0.035139,0.000812,0.034326999999999996,0.852848,0.459185,0.39366300000000004
sceneC2,L3__s20260819__0002.png,V,True,,2,0.851624,0.39075,0.46087400000000006,0.949478,0.889008,0.060470000000000024,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.851624,0.39075,0.46087400000000006
sceneC2,L3__s20260819__0003.png,V,True,,15,0.869567,0.83078,0.038787000000000016,0.869567,0.83078,0.038787000000000016,nan,nan,nan,0.071996,0.007219,0.064777,0.869567,0.000727,0.86884,0.721405,0.83078,-0.109375
sceneC2,L3__s20260819__0004.png,V,True,,13,0.892211,0.93149,-0.039279000000000064,0.892211,0.93149,-0.039279000000000064,nan,nan,nan,0.090955,0.256441,-0.16548599999999997,0.646901,0.815818,-0.1689170000000001,0.892211,0.93149,-0.039279000000000064
sceneC2,L3__s20260819__0005.png,V,True,,8,0.166136,0.644822,-0.478686,0.549453,0.644822,-0.09536900000000004,nan,nan,nan,nan,nan,nan,0.166136,0.14445,0.02168600000000001,0.135651,0.644822,-0.509171
sceneC2,L3__s20260819__0006.png,V,True,,8,0.996718,0.952574,0.04414399999999996,0.998176,0.952574,0.04560199999999992,nan,nan,nan,nan,nan,nan,0.993798,0.463737,0.5300609999999999,0.996718,0.952574,0.04414399999999996
