scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
sceneC2,L2__s20260819__0000.png,V,True,,12,0.992729,0.005476,0.9872529999999999,0.992729,0.005476,0.9872529999999999,nan,nan,nan,0.032264,0.001462,0.030802,0.975015,0.000376,0.9746389999999999,0.992729,0.005476,0.9872529999999999
sceneC2,L2__s20260819__0001.png,V,True,,6,0.995972,0.799286,0.19668599999999992,0.995972,0.799286,0.19668599999999992,nan,nan,nan,nan,nan,nan,0.923738,0.799286,0.1244519999999999,0.995972,0.139486,0.856486
sceneC2,L2__s20260819__0002.png,V,True,,2,0.99607,0.617247,0.378823,0.99607,0.670561,0.32550900000000005,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.99607,0.617247,0.378823
sceneC2,L2__s20260819__0003.png,V,True,,15,0.954253,0.132632,0.821621,0.954253,0.132632,0.821621,nan,nan,nan,0.288414,2.9e-05,0.288385,0.335552,2.8e-05,0.33552400000000004,0.954253,0.132632,0.821621
sceneC2,L2__s20260819__0004.png,V,True,,13,0.956639,0.217606,0.739033,0.956639,0.217606,0.739033,nan,nan,nan,0.522825,0.109578,0.413247,0.956639,0.060982,0.895657,0.890836,0.217606,0.67323
sceneC2,L2__s20260819__0005.png,V,True,,8,0.968299,0.980414,-0.012114999999999987,0.968299,0.980414,-0.012114999999999987,nan,nan,nan,nan,nan,nan,0.962125,0.946179,0.015946000000000016,0.968299,0.980414,-0.012114999999999987
sceneC2,L2__s20260819__0006.png,V,True,,8,0.958286,0.213253,0.745033,0.958286,0.213253,0.745033,nan,nan,nan,nan,nan,nan,0.958286,0.006945,0.951341,0.948548,0.213253,0.7352949999999999
sceneC2,L2__s20260819__0007.png,V,True,,15,0.952751,0.226408,0.726343,0.952751,0.226408,0.726343,nan,nan,nan,0.031486,0.003107,0.028379,0.423761,0.000377,0.423384,0.952751,0.226408,0.726343
sceneC2,L3__s20260819__0000.png,V,True,,12,0.992729,0.005476,0.9872529999999999,0.992729,0.005476,0.9872529999999999,nan,nan,nan,0.032264,0.001462,0.030802,0.975015,0.000376,0.9746389999999999,0.992729,0.005476,0.9872529999999999
sceneC2,L3__s20260819__0001.png,V,True,,6,0.995972,0.799286,0.19668599999999992,0.995972,0.799286,0.19668599999999992,nan,nan,nan,nan,nan,nan,0.923738,0.799286,0.1244519999999999,0.995972,0.139486,0.856486
