model,seed,tau,frame_recall_V,frame_recall_E,frame_recall_H,frame_fa_off
rgb,42,0.05,0.9722,0.9778,0.9479,0.7279
rgb,42,0.10,0.9722,0.9333,0.8854,0.6275
rgb,42,0.15,0.9333,0.8444,0.8646,0.5760
rgb,42,0.20,0.9167,0.8222,0.8542,0.5466
rgb,42,0.25,0.8944,0.7778,0.8229,0.5147
rgb,42,0.30,0.8833,0.7111,0.7917,0.4779
rgb,42,0.35,0.8667,0.6889,0.7396,0.4412
rgb,42,0.40,0.8667,0.6444,0.6875,0.4216
rgb,42,0.45,0.8444,0.6000,0.6458,0.3971
rgb,42,0.50,0.8278,0.6000,0.5938,0.3750
rgb,42,0.55,0.7944,0.5778,0.5521,0.3603
rgb,42,0.60,0.7722,0.5333,0.5208,0.3358
rgb,42,0.65,0.7500,0.4667,0.4375,0.2745
rgb,42,0.70,0.7222,0.4000,0.3750,0.2255
rgb,42,0.75,0.6722,0.2889,0.2604,0.1838
rgb,42,0.80,0.6167,0.1778,0.1979,0.1495
rgb,42,0.85,0.5889,0.1556,0.1250,0.1176
rgb,42,0.90,0.5500,0.0889,0.0833,0.0735
rgb,42,0.95,0.4611,0.0000,0.0208,0.0392
rgb,43,0.05,1.0000,1.0000,1.0000,0.9142
rgb,43,0.10,1.0000,1.0000,1.0000,0.8456
rgb,43,0.15,1.0000,1.0000,1.0000,0.8015
rgb,43,0.20,0.9944,1.0000,1.0000,0.7500
rgb,43,0.25,0.9944,1.0000,0.9792,0.7206
rgb,43,0.30,0.9833,1.0000,0.9688,0.6814
rgb,43,0.35,0.9722,1.0000,0.9688,0.6373
rgb,43,0.40,0.9556,0.9778,0.9583,0.5980
rgb,43,0.45,0.9444,0.9333,0.9375,0.5368
rgb,43,0.50,0.9444,0.9111,0.8750,0.4779
rgb,43,0.55,0.9167,0.8889,0.8646,0.4289
rgb,43,0.60,0.9056,0.8222,0.8125,0.3750
rgb,43,0.65,0.8889,0.8000,0.7500,0.3382
rgb,43,0.70,0.8667,0.7333,0.6979,0.3064
rgb,43,0.75,0.8444,0.6889,0.6771,0.2623
rgb,43,0.80,0.7889,0.6000,0.6458,0.2328
rgb,43,0.85,0.7222,0.4889,0.6146,0.2034
rgb,43,0.90,0.6444,0.2444,0.5938,0.1520
rgb,43,0.95,0.5056,0.0444,0.5625,0.0735
rgb,44,0.05,0.8500,0.7111,0.9375,0.4877
rgb,44,0.10,0.8056,0.5333,0.9062,0.4289
rgb,44,0.15,0.7833,0.3778,0.8958,0.3922
rgb,44,0.20,0.7444,0.3333,0.8438,0.3725
rgb,44,0.25,0.7278,0.3111,0.8021,0.3529
rgb,44,0.30,0.7000,0.3111,0.7604,0.3284
rgb,44,0.35,0.6667,0.2889,0.7188,0.3137
rgb,44,0.40,0.6444,0.2444,0.6458,0.2868
rgb,44,0.45,0.6278,0.2222,0.6250,0.2525
rgb,44,0.50,0.6167,0.1556,0.5938,0.2230
rgb,44,0.55,0.6111,0.0889,0.5625,0.1863
