frame_id,scene_id,toggle_state,tier,cell,cell_idx,n_px,n_px_ground,frame_lum_median,frame_lum_median_all,lum_mean,lum_median,lum_p10,lum_std,line_frac,grad_p90,lum_median_ground,line_frac_ground
off/scene05/L0__s20260819__0000.png,scene05,off,off,A1,0,12895,12895,178.18499755859375,134.04299926757812,119.2002,120.744,44.578,51.272,0.0525,70.0385,120.744,0.0525
off/scene05/L0__s20260819__0000.png,scene05,off,off,B1,1,11614,11614,178.18499755859375,134.04299926757812,122.341,122.271,45.763,52.5964,0.0582,87.2912,122.271,0.0582
off/scene05/L0__s20260819__0000.png,scene05,off,off,C1,2,11180,11180,178.18499755859375,134.04299926757812,123.2633,123.456,44.948,52.482,0.0596,72.842,123.456,0.0596
off/scene05/L0__s20260819__0000.png,scene05,off,off,D1,3,11458,11458,178.18499755859375,134.04299926757812,120.983,121.63,42.247,53.5446,0.0607,80.7807,121.63,0.0607
off/scene05/L0__s20260819__0000.png,scene05,off,off,E1,4,12497,12497,178.18499755859375,134.04299926757812,117.7305,121.815,39.062,54.2875,0.0595,73.7435,121.815,0.0595
off/scene05/L0__s20260819__0000.png,scene05,off,off,A2,5,6037,6037,178.18499755859375,134.04299926757812,189.023,192.185,184.256,20.9269,0.0227,38.7683,192.185,0.0227
off/scene05/L0__s20260819__0000.png,scene05,off,off,B2,6,4864,4864,178.18499755859375,134.04299926757812,192.62,192.484,186.484,5.0794,0.0,34.796,192.484,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,C2,7,4533,4533,178.18499755859375,134.04299926757812,189.5948,189.484,184.071,5.5065,0.0,36.9553,189.484,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,D2,8,4866,4866,178.18499755859375,134.04299926757812,191.9554,192.071,186.0,5.5647,0.0002,37.1704,192.071,0.0002
off/scene05/L0__s20260819__0000.png,scene05,off,off,E2,9,6037,6037,178.18499755859375,134.04299926757812,191.3224,192.299,184.299,10.7028,0.0172,45.4361,192.299,0.0172
off/scene05/L0__s20260819__0000.png,scene05,off,off,A3a,10,1620,1620,178.18499755859375,134.04299926757812,185.7843,186.071,181.185,3.4489,0.0,25.1659,186.071,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,B3a,11,1286,1286,178.18499755859375,134.04299926757812,184.2987,184.185,179.2205,3.8721,0.0,32.8666,184.185,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,C3a,12,1203,1203,178.18499755859375,134.04299926757812,184.1932,184.37,178.3842,4.6732,0.0,35.623,184.37,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,D3a,13,1296,1296,178.18499755859375,134.04299926757812,185.5175,185.829,180.185,4.1032,0.0,31.3035,185.829,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,E3a,14,1597,1597,178.18499755859375,134.04299926757812,185.345,185.185,180.299,3.8371,0.0,31.5247,185.185,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,A3b,15,904,904,178.18499755859375,134.04299926757812,180.1195,180.071,176.185,3.1485,0.0,27.7915,180.071,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,B3b,16,736,736,178.18499755859375,134.04299926757812,180.733,180.484,176.484,3.1474,0.0,29.6542,180.484,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,C3b,17,678,678,178.18499755859375,134.04299926757812,180.9562,181.185,177.299,3.0192,0.0,25.2337,181.185,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,D3b,18,729,729,178.18499755859375,134.04299926757812,181.2209,181.37,177.2904,3.0756,0.0,27.2081,181.37,0.0
off/scene05/L0__s20260819__0000.png,scene05,off,off,E3b,19,891,891,178.18499755859375,134.04299926757812,180.8177,181.185,176.299,3.0548,0.0,30.9468,181.185,0.0
off/scene05/L0__s20260819__0001.png,scene05,off,off,A1,0,0,0,197.0709991455078,191.25599670410156,,,,,,,,
off/scene05/L0__s20260819__0001.png,scene05,off,off,B1,1,0,0,197.0709991455078,191.25599670410156,,,,,,,,
off/scene05/L0__s20260819__0001.png,scene05,off,off,C1,2,0,0,197.0709991455078,191.25599670410156,,,,,,,,
off/scene05/L0__s20260819__0001.png,scene05,off,off,D1,3,0,0,197.0709991455078,191.25599670410156,,,,,,,,
off/scene05/L0__s20260819__0001.png,scene05,off,off,E1,4,0,0,197.0709991455078,191.25599670410156,,,,,,,,
off/scene05/L0__s20260819__0001.png,scene05,off,off,A2,5,8842,8635,197.0709991455078,191.25599670410156,197.5493,200.299,193.299,17.3889,0.0035,45.8143,200.441,0.0024
off/scene05/L0__s20260819__0001.png,scene05,off,off,B2,6,8319,8319,197.0709991455078,191.25599670410156,194.6819,198.185,190.37,16.4403,0.0129,39.1838,198.185,0.0129
off/scene05/L0__s20260819__0001.png,scene05,off,off,C2,7,8137,8137,197.0709991455078,191.25599670410156,190.4969,200.37,126.228,26.6771,0.0249,44.5828,200.37,0.0249
off/scene05/L0__s20260819__0001.png,scene05,off,off,D2,8,8162,8162,197.0709991455078,191.25599670410156,187.3083,198.071,128.7021,26.5855,0.0312,63.6791,198.071,0.0312
off/scene05/L0__s20260819__0001.png,scene05,off,off,E2,9,8275,8275,197.0709991455078,191.25599670410156,185.655,198.071,125.043,28.2003,0.0279,46.6922,198.071,0.0279
off/scene05/L0__s20260819__0001.png,scene05,off,off,A3a,10,10557,5096,197.0709991455078,191.25599670410156,105.6055,101.527,30.314,54.0258,0.1129,304.0266,122.0,0.1654
off/scene05/L0__s20260819__0001.png,scene05,off,off,B3a,11,7658,4676,197.0709991455078,191.25599670410156,142.2688,129.299,67.641,49.6847,0.0377,172.7894,195.071,0.0496
