arm,frame_id,scene_id,band_round,toggle_state,tier,cell,cell_idx,n_px,n_px_ground,frame_lum_median,frame_lum_median_all,lum_mean,lum_median,lum_p10,lum_std,line_frac,grad_p90,lum_median_ground,line_frac_ground,cue_px_install,cue_px_ground,cue_px_shadow,cue_keys
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,A1,0,0,0,124.594,122.366,,,,,,,,,0,0,0,
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,B1,1,0,0,124.594,122.366,,,,,,,,,0,0,0,
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,C1,2,0,0,124.594,122.366,,,,,,,,,0,0,0,
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,D1,3,0,0,124.594,122.366,,,,,,,,,0,0,0,
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,E1,4,0,0,124.594,122.366,,,,,,,,,0,0,0,
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,A2,5,8825,8825,124.594,122.366,145.1026,127.48,114.85,42.2221,0.0533,51.8379,127.48,0.0533,0,2503,0,Dr:889|Rm:1614
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,B2,6,8426,8426,124.594,122.366,143.2831,127.323,114.755,40.7803,0.0498,52.2298,127.323,0.0498,0,2261,0,Dr:922|Rm:1339
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,C2,7,8330,8330,124.594,122.366,142.4144,126.551,114.755,40.4353,0.0531,53.8921,126.551,0.0531,0,2301,0,Dr:950|Rm:1351
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,D2,8,8603,8603,124.594,122.366,142.222,126.067,114.755,41.1401,0.0427,48.9526,126.067,0.0427,0,2409,0,Dr:1019|Rm:1390
A,b2/on/sceneN11/L0__s20260824__0000.png,sceneN11,b2,on,none_in_fov,E2,9,9272,9272,124.594,122.366,144.4719,127.366,114.665,41.8743,0.0568,55.3626,127.366,0.0568,0,2811,0,Dr:1187|Rm:1624
