model,seed,run,stratum,frame_id,scene_id,tier,cell,cell_idx,sector,band,score,cell_int_px,n_px,unseen,lum_ratio,line_frac,fam_decorative,fam_terrain,fam_lighting,fam_surrogate,fam_boundary,bnd_band,bnd_sector,bnd_corner,surrogate_weak,light_50,light_70,prior_saturated,n_families,families,method
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0002.png,scene05,off,B3b,16,B,3b,0.919152,0,2446,0,1.0269,0.1038,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0002.png,scene05,off,C3b,17,C,3b,0.921195,0,2317,0,1.0237,0.1152,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0006.png,scene05,off,B3b,16,B,3b,0.835849,0,2533,0,1.0238,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0006.png,scene05,off,C3b,17,C,3b,0.709982,0,2367,0,1.0201,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0001.png,scene05,off,B3b,16,B,3b,0.836188,0,1674,0,0.9617,0.1529,0,0,0,1,1,1,0,0,0,0,0,0,2,대리선형|경계칸형,heuristic+mechanical
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0001.png,scene05,off,C3b,17,C,3b,0.81212,0,2760,0,0.9558,0.0536,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0002.png,scene05,off,B3b,16,B,3b,0.898268,0,2446,0,1.1774,0.0773,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0002.png,scene05,off,C3b,17,C,3b,0.894764,0,2317,0,0.9424,0.0557,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0005.png,scene05,off,B3b,16,B,3b,0.612688,0,1237,0,1.242,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,경계칸형,mechanical
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0006.png,scene05,off,A3b,15,A,3b,0.566586,0,3162,0,0.7971,0.0,0,0,0,0,1,1,1,1,0,0,0,0,1,경계칸형,mechanical
