model,seed,run,stratum,frame_id,scene_id,tier,cell,cell_idx,sector,band,score,cam_pitch,cam_yaw,cam_hfov,cam_d,cell_int_px
resnet50,42,resnet50_s42,OFF,off/scene05/L0__s20260819__0000.png,scene05,off,C3a,12,C,3a,0.506552,-13.6144,1.6463,62.6648,2.8577,0
resnet50,42,resnet50_s42,OFF,off/scene05/L0__s20260819__0005.png,scene05,off,B3b,16,B,3b,0.723757,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L0__s20260819__0005.png,scene05,off,C3b,17,C,3b,0.798886,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L0__s20260819__0005.png,scene05,off,D3b,18,D,3b,0.664925,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0000.png,scene05,off,A3a,10,A,3a,0.748572,-13.6144,1.6463,62.6648,2.8577,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0000.png,scene05,off,C3a,12,C,3a,0.571296,-13.6144,1.6463,62.6648,2.8577,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0000.png,scene05,off,A3b,15,A,3b,0.503999,-13.6144,1.6463,62.6648,2.8577,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0000.png,scene05,off,B3b,16,B,3b,0.673081,-13.6144,1.6463,62.6648,2.8577,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0000.png,scene05,off,C3b,17,C,3b,0.679768,-13.6144,1.6463,62.6648,2.8577,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0001.png,scene05,off,C3b,17,C,3b,0.928074,-15.173,12.161,60.0807,9.829,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0001.png,scene05,off,D3b,18,D,3b,0.907615,-15.173,12.161,60.0807,9.829,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0002.png,scene05,off,B3b,16,B,3b,0.789761,-10.3814,-5.3811,61.849,10.1547,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0002.png,scene05,off,C3b,17,C,3b,0.785517,-10.3814,-5.3811,61.849,10.1547,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0003.png,scene05,off,A3b,15,A,3b,0.670002,-16.5946,2.3699,62.213,5.261,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0003.png,scene05,off,B3b,16,B,3b,0.940214,-16.5946,2.3699,62.213,5.261,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0003.png,scene05,off,C3b,17,C,3b,0.85138,-16.5946,2.3699,62.213,5.261,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0003.png,scene05,off,D3b,18,D,3b,0.558031,-16.5946,2.3699,62.213,5.261,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0004.png,scene05,off,C3b,17,C,3b,0.694821,-12.9429,6.4312,60.6761,2.7145,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0004.png,scene05,off,D3b,18,D,3b,0.747967,-12.9429,6.4312,60.6761,2.7145,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0005.png,scene05,off,B3b,16,B,3b,0.978107,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0005.png,scene05,off,C3b,17,C,3b,0.989135,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0005.png,scene05,off,D3b,18,D,3b,0.940847,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0006.png,scene05,off,C3b,17,C,3b,0.554527,-7.598,-3.6478,63.1397,4.3849,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0007.png,scene05,off,B3b,16,B,3b,0.911685,-11.0887,-6.1282,60.9132,3.4946,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0007.png,scene05,off,C3b,17,C,3b,0.971845,-11.0887,-6.1282,60.9132,3.4946,0
resnet50,42,resnet50_s42,OFF,off/scene05/L5__s20260819__0007.png,scene05,off,D3b,18,D,3b,0.729304,-11.0887,-6.1282,60.9132,3.4946,0
resnet50,42,resnet50_s42,OFF,off/scene05/L7__s20260819__0001.png,scene05,off,C3b,17,C,3b,0.630506,-15.173,12.161,60.0807,9.829,0
resnet50,42,resnet50_s42,OFF,off/scene05/L7__s20260819__0001.png,scene05,off,D3b,18,D,3b,0.85641,-15.173,12.161,60.0807,9.829,0
resnet50,42,resnet50_s42,OFF,off/scene05/L7__s20260819__0005.png,scene05,off,B3b,16,B,3b,0.864991,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L7__s20260819__0005.png,scene05,off,C3b,17,C,3b,0.939667,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L7__s20260819__0005.png,scene05,off,D3b,18,D,3b,0.854869,-7.0259,1.6918,62.8815,1.4988,0
resnet50,42,resnet50_s42,OFF,off/scene05/L7__s20260819__0007.png,scene05,off,B3b,16,B,3b,0.579647,-11.0887,-6.1282,60.9132,3.4946,0
resnet50,42,resnet50_s42,OFF,off/scene05/L7__s20260819__0007.png,scene05,off,C3b,17,C,3b,0.610829,-11.0887,-6.1282,60.9132,3.4946,0
resnet50,42,resnet50_s42,OFF,off/scene07/L5__s20260819__0004.png,scene07,off,B3b,16,B,3b,0.591003,-12.8155,-12.0811,63.2809,3.8019,0
resnet50,42,resnet50_s42,OFF,off/scene07/L5__s20260819__0004.png,scene07,off,C3b,17,C,3b,0.614823,-12.8155,-12.0811,63.2809,3.8019,0
resnet50,42,resnet50_s42,OFF,off/scene14/L0__s20260819__0002.png,scene14,off,E2,9,E,2,0.511326,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L0__s20260819__0002.png,scene14,off,C3a,12,C,3a,0.630537,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L0__s20260819__0002.png,scene14,off,D3a,13,D,3a,0.591392,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L0__s20260819__0002.png,scene14,off,E3a,14,E,3a,0.791783,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,D2,8,D,2,0.505576,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,D3a,13,D,3a,0.711437,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,E3a,14,E,3a,0.871789,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0001.png,scene14,off,E3a,14,E,3a,0.578335,-8.9998,1.6524,61.4065,7.036,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0002.png,scene14,off,C3a,12,C,3a,0.563206,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0002.png,scene14,off,E3a,14,E,3a,0.540818,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0002.png,scene14,off,D3b,18,D,3b,0.542367,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0002.png,scene14,off,E3b,19,E,3b,0.565245,-13.2604,4.4652,60.6011,1.3141,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,D2,8,D,2,0.701771,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,E2,9,E,2,0.66713,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,A3a,10,A,3a,0.78081,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,B3a,11,B,3a,0.746217,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,C3a,12,C,3a,0.868745,-3.2277,7.0829,62.9059,4.594,0
resnet50,42,resnet50_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,D3a,13,D,3a,0.883939,-3.2277,7.0829,62.9059,4.594,0
