gen,run,model,seed,arm,frame_id,scene_id,tier,band_round,cell,sector,band,score,n_px,unseen,lum_ratio,line_frac,cue_px_install,cue_px_ground,cue_px_shadow,fam_deco,fam_terr,fam_light,fam_surr,fam_bnd,fam_terr_p12,fam_bnd_p12,bnd_band,bnd_sector,bnd_corner,surrogate_weak,light_50,light_70,deco_5,deco_80,prior_saturated,n_families,families,families_raw,primary,method
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0000.png,sceneH1,off,base,C3a,C,3a,0.593533,77,0,0.8823,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,미분류,미분류
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0000.png,sceneH1,off,base,B3b,B,3b,0.821978,553,0,0.8878,0.1284,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,지형통계형,경계칸형,지형통계형,기계
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0000.png,sceneH1,off,base,C3b,C,3b,0.907369,507,0,0.8841,0.1479,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,지형통계형|대리선형,대리선형|경계칸형,대리선형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0000.png,sceneH1,off,base,D3b,D,3b,0.724956,490,0,0.891,0.1592,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,지형통계형|대리선형,대리선형|경계칸형,대리선형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0002.png,sceneH1,off,base,C3a,C,3a,0.723412,716,0,0.7656,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,미분류,미분류
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0003.png,sceneH1,off,base,A3b,A,3b,0.618933,1130,0,1.4397,0.2442,1130,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,4,장식형|지형통계형|대리선형|경계칸형,장식형|대리선형|경계칸형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0003.png,sceneH1,off,base,B3b,B,3b,0.983993,670,0,1.4742,0.4358,670,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,3,장식형|지형통계형|대리선형,장식형|대리선형|경계칸형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0003.png,sceneH1,off,base,C3b,C,3b,0.821745,641,0,1.457,0.3261,641,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,3,장식형|지형통계형|대리선형,장식형|대리선형|경계칸형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,A2,A,2,0.860382,3207,0,1.0511,0.2127,2036,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,3,장식형|대리선형|경계칸형,장식형|대리선형|경계칸형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,B2,B,2,0.920261,2872,0,1.0242,0.3137,831,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,장식형|대리선형,장식형|대리선형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,C2,C,2,0.935524,3908,0,1.0432,0.1773,2021,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,장식형|대리선형,장식형|대리선형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,D2,D,2,0.943226,3272,0,1.0184,0.3133,829,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,장식형|대리선형,장식형|대리선형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,E2,E,2,0.742214,4596,0,1.0194,0.1786,2895,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,3,장식형|대리선형|경계칸형,장식형|대리선형|경계칸형,장식형,기계+휴리스틱
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,B3a,B,3a,0.914709,4738,0,1.0179,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,미분류,미분류
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,C3a,C,3a,0.982025,3740,0,1.0036,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,미분류,미분류
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,D3a,D,3a,0.74585,4735,0,1.0121,0.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,미분류,미분류
v2,rgb_s42,rgb,42,C,base/off/sceneH1/L0__s20260823__0004.png,sceneH1,off,base,B3b,B,3b,0.638394,3079,0,0.9972,0.0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,지형통계형,경계칸형,지형통계형,기계
