model,seed,run,stratum,frame_id,scene_id,tier,cell,cell_idx,sector,band,score,cam_pitch,cam_yaw,cam_hfov,cam_d,cell_int_px
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0002.png,scene05,off,B3b,16,B,3b,0.919152,-10.3814,-5.3811,61.849,10.1547,0
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0002.png,scene05,off,C3b,17,C,3b,0.921195,-10.3814,-5.3811,61.849,10.1547,0
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0006.png,scene05,off,B3b,16,B,3b,0.835849,-7.598,-3.6478,63.1397,4.3849,0
rgb,42,rgb_s42,OFF,off/scene05/L0__s20260819__0006.png,scene05,off,C3b,17,C,3b,0.709982,-7.598,-3.6478,63.1397,4.3849,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0001.png,scene05,off,B3b,16,B,3b,0.836188,-15.173,12.161,60.0807,9.829,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0001.png,scene05,off,C3b,17,C,3b,0.81212,-15.173,12.161,60.0807,9.829,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0002.png,scene05,off,B3b,16,B,3b,0.898268,-10.3814,-5.3811,61.849,10.1547,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0002.png,scene05,off,C3b,17,C,3b,0.894764,-10.3814,-5.3811,61.849,10.1547,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0005.png,scene05,off,B3b,16,B,3b,0.612688,-7.0259,1.6918,62.8815,1.4988,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0006.png,scene05,off,A3b,15,A,3b,0.566586,-7.598,-3.6478,63.1397,4.3849,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0006.png,scene05,off,B3b,16,B,3b,0.944949,-7.598,-3.6478,63.1397,4.3849,0
rgb,42,rgb_s42,OFF,off/scene05/L5__s20260819__0006.png,scene05,off,C3b,17,C,3b,0.884655,-7.598,-3.6478,63.1397,4.3849,0
rgb,42,rgb_s42,OFF,off/scene05/L7__s20260819__0002.png,scene05,off,B3b,16,B,3b,0.707504,-10.3814,-5.3811,61.849,10.1547,0
rgb,42,rgb_s42,OFF,off/scene05/L7__s20260819__0002.png,scene05,off,C3b,17,C,3b,0.825004,-10.3814,-5.3811,61.849,10.1547,0
rgb,42,rgb_s42,OFF,off/scene05/L7__s20260819__0006.png,scene05,off,B3b,16,B,3b,0.548042,-7.598,-3.6478,63.1397,4.3849,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0002.png,scene14,off,A3b,15,A,3b,0.501856,-13.2604,4.4652,60.6011,1.3141,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0002.png,scene14,off,B3b,16,B,3b,0.657939,-13.2604,4.4652,60.6011,1.3141,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0002.png,scene14,off,C3b,17,C,3b,0.674496,-13.2604,4.4652,60.6011,1.3141,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,A3a,10,A,3a,0.79974,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,B3a,11,B,3a,0.658846,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,C3a,12,C,3a,0.917941,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,D3a,13,D,3a,0.858881,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,E3a,14,E,3a,0.522812,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0003.png,scene14,off,A3b,15,A,3b,0.574539,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,A3a,10,A,3a,0.570111,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,B3a,11,B,3a,0.631395,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,C3a,12,C,3a,0.822448,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,D3a,13,D,3a,0.575845,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,A3b,15,A,3b,0.642421,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,B3b,16,B,3b,0.773383,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,C3b,17,C,3b,0.826139,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0005.png,scene14,off,D3b,18,D,3b,0.681442,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0007.png,scene14,off,B3b,16,B,3b,0.538619,-8.8174,0.2988,62.6318,4.9665,0
rgb,42,rgb_s42,OFF,off/scene14/L0__s20260819__0007.png,scene14,off,C3b,17,C,3b,0.618876,-8.8174,0.2988,62.6318,4.9665,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,A3a,10,A,3a,0.872929,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,B3a,11,B,3a,0.835237,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,C3a,12,C,3a,0.958528,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,D3a,13,D,3a,0.948304,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,E3a,14,E,3a,0.722616,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0003.png,scene14,off,A3b,15,A,3b,0.59939,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,A3a,10,A,3a,0.6932,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,B3a,11,B,3a,0.788585,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,C3a,12,C,3a,0.911786,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,D3a,13,D,3a,0.827881,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,E3a,14,E,3a,0.552786,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,A3b,15,A,3b,0.64964,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,B3b,16,B,3b,0.69335,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,C3b,17,C,3b,0.805001,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0005.png,scene14,off,D3b,18,D,3b,0.700009,-11.6875,3.1562,60.5808,4.4487,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0006.png,scene14,off,A3a,10,A,3a,0.556471,-10.0252,-0.1653,61.7917,6.5633,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0006.png,scene14,off,C3a,12,C,3a,0.638573,-10.0252,-0.1653,61.7917,6.5633,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0007.png,scene14,off,C3a,12,C,3a,0.576592,-8.8174,0.2988,62.6318,4.9665,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0007.png,scene14,off,B3b,16,B,3b,0.516124,-8.8174,0.2988,62.6318,4.9665,0
rgb,42,rgb_s42,OFF,off/scene14/L5__s20260819__0007.png,scene14,off,C3b,17,C,3b,0.61033,-8.8174,0.2988,62.6318,4.9665,0
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0002.png,scene14,off,A3b,15,A,3b,0.504838,-13.2604,4.4652,60.6011,1.3141,0
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0002.png,scene14,off,B3b,16,B,3b,0.55638,-13.2604,4.4652,60.6011,1.3141,0
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0002.png,scene14,off,C3b,17,C,3b,0.532022,-13.2604,4.4652,60.6011,1.3141,0
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,A3a,10,A,3a,0.739389,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,B3a,11,B,3a,0.539555,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,C3a,12,C,3a,0.885727,-3.2277,7.0829,62.9059,4.594,0
rgb,42,rgb_s42,OFF,off/scene14/L7__s20260819__0003.png,scene14,off,D3a,13,D,3a,0.831653,-3.2277,7.0829,62.9059,4.594,0
