epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.270972,0.312416,0.525313,0.644737,0.109141,6.000e-05,24.92,0.833333,0.679323
2,0.134510,0.304508,0.454395,0.400585,0.048857,5.960e-05,24.37,0.333333,0.393864
3,0.085397,0.395316,0.456839,0.502924,0.094169,5.920e-05,24.37,0.333333,0.395086
4,0.083953,0.355315,0.365665,0.311404,0.052797,5.880e-05,24.47,0.333333,0.349499
5,0.058884,0.491820,0.446419,0.587719,0.140859,5.840e-05,24.61,1.000000,0.723209
6,0.051366,0.470915,0.422164,0.467836,0.100867,5.800e-05,24.73,0.833333,0.627748
7,0.038352,0.567320,0.464646,0.638889,0.149724,5.760e-05,24.73,1.000000,0.732323
8,0.032072,0.558919,0.484815,0.641813,0.135540,5.720e-05,24.62,0.666667,0.575741
9,0.024457,0.468404,0.449529,0.488304,0.092199,5.680e-05,24.55,0.666667,0.558098
10,0.022697,0.519198,0.529183,0.695906,0.125887,5.640e-05,24.71,1.000000,0.764591
