epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.290632,0.370605,0.010667,0.005848,0.012214,3.000e-04,24.13,0.000000,0.005333
2,0.230952,0.302730,0.320866,0.238304,0.033294,2.980e-04,23.82,1.000000,0.660433
3,0.199148,0.452086,0.275862,0.274854,0.096730,2.960e-04,23.80,1.000000,0.637931
4,0.166607,0.358612,0.410496,0.514620,0.133767,2.940e-04,23.85,1.000000,0.705248
5,0.125648,0.374317,0.344828,0.350877,0.092199,2.920e-04,23.90,0.666667,0.505747
6,0.128590,0.418286,0.419301,0.552632,0.145981,2.900e-04,23.74,1.000000,0.709651
7,0.103219,0.365745,0.227171,0.223684,0.100473,2.880e-04,23.72,0.500000,0.363586
8,0.097830,0.391579,0.310568,0.315789,0.096730,2.860e-04,23.64,1.000000,0.655284
9,0.066558,0.503110,0.463178,0.698830,0.177699,2.840e-04,23.86,1.000000,0.731589
10,0.077008,0.350953,0.391231,0.339181,0.053191,2.820e-04,24.04,1.000000,0.695616
11,0.091753,0.310518,0.347068,0.320175,0.070725,2.800e-04,23.75,1.000000,0.673534
12,0.070814,0.363790,0.376521,0.384503,0.088652,2.780e-04,23.71,1.000000,0.688261
13,0.057502,0.377449,0.316134,0.282164,0.067770,2.760e-04,23.78,0.500000,0.408067
14,0.043346,0.420772,0.249400,0.228070,0.080969,2.740e-04,23.66,1.000000,0.624700
15,0.040720,0.447543,0.347769,0.387427,0.113278,2.720e-04,23.70,1.000000,0.673885
16,0.046622,0.449678,0.378007,0.482456,0.144208,2.700e-04,23.55,1.000000,0.689003
17,0.039641,0.514415,0.360400,0.473684,0.155634,2.680e-04,23.53,1.000000,0.680200
18,0.046304,0.635994,0.214909,0.233918,0.127069,2.660e-04,23.50,0.000000,0.107455
19,0.050643,0.438679,0.461913,0.554094,0.113869,2.640e-04,23.63,0.833333,0.647623
20,0.040932,0.509120,0.339506,0.402047,0.130221,2.620e-04,23.58,1.000000,0.669753
21,0.044137,0.591534,0.372809,0.513158,0.167061,2.600e-04,23.55,0.833333,0.603071
22,0.034514,0.455771,0.179894,0.124269,0.034673,2.580e-04,23.51,0.666667,0.423280
23,0.050639,0.455858,0.410526,0.513158,0.132979,2.560e-04,23.62,0.500000,0.455263
24,0.027727,0.455934,0.424204,0.486842,0.108944,2.540e-04,23.65,0.833333,0.628769
