epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score,val_spread,vgconst_pass,sel_f1,sel_fa,sel_h_hits,sel_n_H,sel_beta,sel_H_hat,val_frame_fa_all,val_frame_fa_d,val_loss_masked,train_loss_cell,train_loss_aux
1,0.403022,0.376564,0.245209,0.181352,0.047933,3.000e-04,45.67,0.145161,0.233571,9.525023e-01,1,0.273446,0.014138,21,90,0.750000,0.239130,0.294872,0.106061,0.318775,0.258269,0.289505
2,0.312024,0.475913,0.237609,0.162910,0.033531,2.980e-04,45.65,0.048387,0.123278,9.613283e-01,1,0.268035,0.000796,6,90,0.750000,0.076087,0.165064,0.007576,0.375321,0.206720,0.210607
3,0.254924,0.425042,0.224125,0.151981,0.032872,2.960e-04,45.68,0.016129,0.087523,9.664106e-01,1,0.253859,0.000398,2,90,0.750000,0.032609,0.059295,0.003788,0.348677,0.161141,0.187564
4,0.216064,0.404077,0.362086,0.253757,0.023802,2.940e-04,45.79,0.096774,0.208186,9.941319e-01,1,0.410471,0.008562,13,90,0.750000,0.152174,0.160256,0.068182,0.318094,0.131478,0.169171
5,0.198798,0.578450,0.142444,0.109290,0.068437,2.920e-04,45.48,0.010753,0.054420,9.915696e-01,1,0.162066,0.010554,2,90,0.750000,0.032609,0.213141,0.026515,0.456482,0.120357,0.156881
6,0.179615,0.518726,0.244023,0.169057,0.034850,2.900e-04,45.29,0.118280,0.174189,9.918954e-01,1,0.275329,0.016926,14,90,0.750000,0.163043,0.214744,0.090909,0.398312,0.108508,0.142214
7,0.150578,0.543838,0.088209,0.051230,0.017755,2.880e-04,45.46,0.053763,0.071099,9.941016e-01,1,0.096708,0.001991,5,90,0.750000,0.065217,0.144231,0.037879,0.446052,0.085240,0.130677
8,0.153868,0.793588,0.361436,0.469262,0.181453,2.860e-04,45.34,0.268817,0.335082,9.992914e-01,1,0.379732,0.028873,32,90,0.750000,0.358696,0.487179,0.140152,0.685705,0.092186,0.123363
9,0.117189,0.498360,0.267097,0.212090,0.060521,2.840e-04,45.17,0.129032,0.232066,9.993844e-01,1,0.300829,0.014337,20,90,0.750000,0.228261,0.354167,0.087121,0.388559,0.067261,0.099856
10,0.101356,0.518952,0.213898,0.134563,0.019899,2.820e-04,45.22,0.010753,0.081118,9.911286e-01,1,0.246558,0.004978,2,90,0.750000,0.032609,0.168269,0.045455,0.406489,0.056458,0.089797
11,0.082944,0.561105,0.195203,0.120902,0.018964,2.800e-04,45.17,0.048387,0.110968,9.978343e-01,1,0.226014,0.010753,7,90,0.750000,0.086957,0.133013,0.071970,0.441475,0.047395,0.071098
12,0.078479,0.588796,0.174551,0.109631,0.023582,2.780e-04,45.36,0.032258,0.099651,9.962875e-01,1,0.202205,0.007965,6,90,0.750000,0.076087,0.209936,0.060606,0.463719,0.045372,0.066214
13,0.070372,0.640353,0.326605,0.276298,0.066898,2.760e-04,45.03,0.096774,0.204892,9.997326e-01,1,0.361500,0.007766,14,90,0.750000,0.163043,0.318910,0.060606,0.503129,0.038783,0.063178
14,0.053902,0.591978,0.306290,0.235314,0.048483,2.740e-04,45.08,0.096774,0.208656,9.998059e-01,1,0.342356,0.007368,15,90,0.750000,0.173913,0.307692,0.060606,0.449945,0.030193,0.047419
15,0.062890,0.601318,0.320914,0.239754,0.040952,2.720e-04,45.14,0.032258,0.133452,9.988000e-01,1,0.359660,0.005376,5,90,0.750000,0.065217,0.229167,0.041667,0.458378,0.035776,0.054228
16,0.056087,0.570340,0.325879,0.243852,0.040677,2.700e-04,45.62,0.134409,0.242977,9.997033e-01,1,0.364339,0.011151,19,90,0.750000,0.217391,0.290064,0.064394,0.459803,0.031601,0.048972
17,0.057757,0.675822,0.196698,0.142418,0.049197,2.680e-04,45.58,0.091398,0.146215,9.999348e-01,1,0.219839,0.006571,11,90,0.750000,0.130435,0.261218,0.053030,0.562497,0.033295,0.048924
18,0.047852,0.649623,0.309647,0.203893,0.018195,2.660e-04,45.30,0.032258,0.118428,9.992844e-01,1,0.347259,0.000996,3,90,0.750000,0.043478,0.137821,0.015152,0.514998,0.026964,0.041777
19,0.040127,0.625663,0.343731,0.295423,0.068162,2.640e-04,45.19,0.129032,0.216325,9.999741e-01,1,0.377857,0.016726,16,90,0.750000,0.184783,0.306090,0.083333,0.495118,0.021028,0.038196
20,0.035355,0.645661,0.366036,0.284153,0.043206,2.620e-04,45.35,0.134409,0.249614,9.999707e-01,1,0.402785,0.005974,18,90,0.750000,0.206522,0.286859,0.056818,0.501693,0.017771,0.035168
21,0.050544,0.638572,0.324313,0.257855,0.053485,2.600e-04,45.06,0.080645,0.164921,9.999560e-01,1,0.362319,0.015333,10,90,0.750000,0.119565,0.299679,0.098485,0.512784,0.026709,0.047672
22,0.047958,0.620793,0.298440,0.202527,0.024901,2.580e-04,45.45,0.096774,0.230305,9.998122e-01,1,0.339839,0.001394,17,90,0.750000,0.195652,0.181090,0.022727,0.496329,0.027371,0.041174
23,0.034096,0.701589,0.337314,0.236339,0.026550,2.560e-04,45.39,0.107527,0.227520,9.998627e-01,1,0.380423,0.006173,16,90,0.750000,0.184783,0.208333,0.045455,0.541352,0.016692,0.034808
