epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score,val_spread,vgconst_pass,sel_f1,sel_fa,sel_h_hits,sel_n_H,sel_beta,sel_H_hat,val_frame_fa_all,val_frame_fa_d,val_loss_masked
1,0.263716,0.597117,0.011719,0.006148,0.006926,3.000e-04,44.62,0.010753,0.027315,9.532740e-01,1,0.013825,0.000597,2,90,0.750000,0.032609,0.089744,0.011364,0.459099
2,0.214526,0.508999,0.240574,0.223361,0.101968,2.980e-04,44.61,0.069892,0.138246,9.863473e-01,1,0.262741,0.008961,9,90,0.750000,0.108696,0.310897,0.060606,0.433472
3,0.163821,0.489796,0.283258,0.225068,0.058597,2.960e-04,45.00,0.069892,0.174735,9.942054e-01,1,0.316398,0.002190,11,90,0.750000,0.130435,0.237179,0.026515,0.383313
4,0.141629,0.456996,0.177838,0.112363,0.024351,2.940e-04,44.53,0.064516,0.130290,9.691808e-01,1,0.202240,0.001792,9,90,0.750000,0.108696,0.131410,0.015152,0.361015
5,0.108809,0.489719,0.171141,0.121926,0.048758,2.920e-04,44.50,0.075269,0.135720,9.805238e-01,1,0.193040,0.018519,12,90,0.750000,0.141304,0.232372,0.083333,0.393748
6,0.096086,0.512535,0.408358,0.380464,0.077726,2.900e-04,44.56,0.182796,0.332712,9.972568e-01,1,0.453646,0.008961,27,90,0.750000,0.304348,0.293269,0.053030,0.381952
7,0.078249,0.531993,0.208637,0.146858,0.041996,2.880e-04,44.62,0.064516,0.149572,9.976259e-01,1,0.237251,0.007567,11,90,0.750000,0.130435,0.189103,0.030303,0.426734
8,0.077197,0.577564,0.331897,0.289276,0.073054,2.860e-04,44.51,0.096774,0.208025,9.994072e-01,1,0.367660,0.006173,14,90,0.750000,0.163043,0.248397,0.045455,0.451102
9,0.071368,0.521135,0.314423,0.256489,0.060356,2.840e-04,44.49,0.123656,0.247873,9.974073e-01,1,0.349719,0.010753,20,90,0.750000,0.228261,0.269231,0.068182,0.410008
10,0.055933,0.466782,0.307322,0.240096,0.051891,2.820e-04,44.56,0.086022,0.183748,9.986123e-01,1,0.343735,0.008164,12,90,0.750000,0.141304,0.217949,0.041667,0.384445
11,0.056080,0.486803,0.352824,0.301913,0.065908,2.800e-04,44.49,0.231183,0.379864,9.988220e-01,1,0.394928,0.012346,35,90,0.750000,0.391304,0.283654,0.071970,0.401383
12,0.049889,0.531755,0.421396,0.419740,0.092128,2.780e-04,44.76,0.172043,0.274934,9.991424e-01,1,0.458810,0.019116,21,90,0.750000,0.239130,0.366987,0.109848,0.435669
13,0.033991,0.501839,0.361953,0.320355,0.072394,2.760e-04,44.47,0.215054,0.364690,9.989009e-01,1,0.401038,0.012744,33,90,0.750000,0.369565,0.282051,0.068182,0.402897
14,0.043311,0.539491,0.321366,0.250683,0.049802,2.740e-04,44.36,0.123656,0.242081,9.999075e-01,1,0.359115,0.002589,18,90,0.750000,0.206522,0.256410,0.022727,0.424154
15,0.037686,0.555953,0.284153,0.204235,0.037544,2.720e-04,44.80,0.021505,0.110714,9.985481e-01,1,0.324368,0.002987,3,90,0.750000,0.043478,0.166667,0.022727,0.424941
16,0.037681,0.616785,0.202486,0.133538,0.029848,2.700e-04,44.84,0.032258,0.104555,9.821927e-01,1,0.234516,0.002987,5,90,0.750000,0.065217,0.141026,0.022727,0.470395
17,0.029206,0.611526,0.274909,0.207309,0.048428,2.680e-04,44.57,0.048387,0.138552,9.981073e-01,1,0.310859,0.004381,7,90,0.750000,0.086957,0.225962,0.030303,0.459415
18,0.022383,0.651851,0.302275,0.260929,0.074923,2.660e-04,44.55,0.080645,0.187909,9.999132e-01,1,0.335689,0.001991,12,90,0.750000,0.141304,0.272436,0.026515,0.526191
19,0.024666,0.717392,0.334793,0.300205,0.079376,2.640e-04,44.43,0.080645,0.182119,9.999710e-01,1,0.370623,0.008363,11,90,0.750000,0.130435,0.306090,0.053030,0.570810
20,0.023931,0.648847,0.318809,0.248634,0.050077,2.620e-04,44.51,0.053763,0.159244,9.995366e-01,1,0.357037,0.003385,8,90,0.750000,0.097826,0.267628,0.030303,0.516334
21,0.022605,0.776140,0.293289,0.273907,0.095591,2.600e-04,44.50,0.150538,0.248121,9.999496e-01,1,0.316512,0.010354,21,90,0.750000,0.239130,0.320513,0.098485,0.634773
22,0.027149,0.783976,0.219256,0.185109,0.081025,2.580e-04,44.52,0.075269,0.164623,9.999175e-01,1,0.246575,0.011151,13,90,0.750000,0.152174,0.291667,0.075758,0.640658
23,0.020423,0.685059,0.240594,0.165984,0.034411,2.560e-04,44.56,0.026882,0.099674,9.997763e-01,1,0.276275,0.010155,4,90,0.750000,0.054348,0.213141,0.071970,0.521694
24,0.026961,0.672450,0.356310,0.344262,0.094657,2.540e-04,44.76,0.102151,0.199899,9.999593e-01,1,0.394846,0.012943,13,90,0.750000,0.152174,0.331731,0.064394,0.540049
25,0.014726,0.728508,0.242570,0.189549,0.060081,2.520e-04,44.48,0.086022,0.192803,9.999665e-01,1,0.272571,0.005775,15,90,0.750000,0.173913,0.229167,0.026515,0.571767
26,0.011086,0.694989,0.297533,0.267760,0.085642,2.500e-04,44.56,0.091398,0.189976,9.998974e-01,1,0.328872,0.006372,13,90,0.750000,0.152174,0.266026,0.060606,0.565575
