model,seed,scene,occluder,cut,cond,round,d,h,pitch,yaw,hfov,edge_projected,hbin,dbin,dbin3a,n_gt,ncell_3a,ncell_3b,d_3a,d_3b,on_3a,off_3a,on_3b,off_3b,rec_3a,rec_3b,delta_all
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0000.png,L0,260819_main_on,4.7439,0.8483,-9.8586,1.429,61.6578,130,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.057468,0.403735,0.048754,0.106222,0.806817,0.403082,0.0,1.0,0.403735
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0001.png,L0,260819_main_on,7.036,1.2795,-8.9998,1.6524,61.4065,179,h_hi (~1.8),d 7-9,d>=6.8,9,4,5,0.097273,0.632217,0.238515,0.141242,0.921277,0.28906,0.0,1.0,0.632217
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0003.png,L0,260819_main_on,4.594,0.9536,-3.2277,7.0829,62.9059,125,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.548395,0.33220799999999995,0.369546,0.917941,0.906747,0.574539,0.0,1.0,-0.011194000000000037
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0004.png,L0,260819_main_on,8.4208,1.0624,-9.4161,-17.2604,60.9456,141,h_mid (~0.9),d 7-9,d>=6.8,4,0,4,nan,0.42890300000000003,nan,nan,0.561849,0.132946,nan,1.0,0.42890300000000003
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0006.png,L0,260819_main_on,6.5633,0.9635,-10.0252,-0.1653,61.7917,167,h_mid (~0.9),d<7,d 5.5-6.8,10,5,5,0.10601000000000002,0.461759,0.30198,0.19597,0.946977,0.485218,0.0,1.0,0.461759
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260819__0007.png,L0,260819_main_on,4.9665,0.7236,-8.8174,0.2988,62.6318,132,h_mid (~0.9),d<7,d<5.5,10,5,5,-0.24985800000000002,0.24896200000000002,0.173477,0.423335,0.867838,0.618876,0.0,1.0,0.24896200000000002
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0000.png::boost_e,L0,260820_boost_e_on,8.9228,1.4412,-8.1284,3.311,58.9789,189,h_hi (~1.8),d 7-9,d>=6.8,5,0,5,nan,-0.17959200000000003,nan,nan,0.058431,0.238023,nan,0.0,-0.17959200000000003
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0000.png::boost_h,L0,260820_boost_h_on,8.9228,0.5085,-8.1284,3.311,58.9789,188,h_lo (robot ~0.3),d 7-9,d>=6.8,5,0,5,nan,0.44475600000000004,nan,nan,0.613855,0.169099,nan,1.0,0.44475600000000004
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0001.png::boost_e,L0,260820_boost_e_on,11.2053,1.7168,-10.3828,-4.0507,61.2701,67,h_hi (~1.8),d>=9,d>=6.8,4,0,4,nan,0.161085,nan,nan,0.253168,0.092083,nan,0.0,0.161085
rgb,42,scene14,tread/landing self-occlusion (perspective terrace illusion),L0__s20260820__0001.png::boost_h,L0,260820_boost_h_on,11.2053,0.8037,-10.3828,-4.0507,61.2701,67,h_mid (~0.9),d>=9,d>=6.8,4,0,4,nan,0.26866100000000004,nan,nan,0.410575,0.141914,nan,0.0,0.26866100000000004
