scene,arm,frame_id,cond,round,d,h_rel,pitch,yaw,finite_frac,inf_frac,p05,p25,p50,p75,p95,max_finite,min_finite,sat_frac,mean_norm,std_norm,frac_band1,frac_band2,frac_band3a,frac_band3b,vgrad_mean,vgrad_p99,hgrad_mean
scene05,on,on/scene05/L0__s20260819__0000.png,L0,260819_main_on,2.8577,0.4583,-13.6144,1.6463,0.9935990547839506,0.006400945216049383,0.857421875,1.138671875,6.25390625,10.6875,25.4375,26.28125,0.79736328125,0.28811873070987654,0.5761164426803589,0.39269551634788513,0.38164641203703703,0.0,0.1988917824074074,0.22946807484567902,0.07112083584070206,0.7800445556640625,0.006666563916951418
scene05,on,on/scene05/L0__s20260819__0001.png,L0,260819_main_on,9.829,1.8292,-15.173,12.161,0.9815195794753087,0.018480420524691357,3.357421875,4.3359375,6.28515625,16.578125,31.78125,143.75,3.146484375,0.3418137538580247,0.6845819354057312,0.258942574262619,0.0,0.34165171682098766,0.2825728202160494,0.041831597222222225,0.09049788862466812,1.890625,0.05272820219397545
scene05,on,on/scene05/L0__s20260819__0002.png,L0,260819_main_on,10.1547,1.6412,-10.3814,-5.3811,0.9111689814814815,0.08883101851851852,3.408203125,4.55078125,6.72265625,19.53125,33.625,137.25,3.19921875,0.4394994212962963,0.7354074120521545,0.26201769709587097,0.0,0.2781954089506173,0.2405589313271605,0.04699363425925926,0.07166851311922073,1.28125,0.04056252911686897
scene05,on,on/scene05/L0__s20260819__0003.png,L0,260819_main_on,5.261,1.0966,-16.5946,2.3699,0.9829301697530864,0.01706983024691358,1.8935546875,2.431640625,3.759765625,12.0703125,17.953125,28.59375,1.7685546875,0.3829224537037037,0.6037451028823853,0.3622247278690338,0.0959201388888889,0.42846257716049385,0.0014067322530864198,0.20260320216049382,0.06181151792407036,0.2421875,0.004315337631851435
scene05,on,on/scene05/L0__s20260819__0004.png,L0,260819_main_on,2.7145,0.777,-12.9429,6.4312,0.9825757137345679,0.017424286265432097,2.34765625,5.1015625,7.62109375,11.671875,25.390625,27.09375,1.3955078125,0.39068528163580246,0.7357729077339172,0.2707342207431793,0.015396412037037037,0.21855034722222222,0.27412229938271604,0.2472849151234568,0.06105094775557518,0.80859375,0.007876181975007057
scene05,on,on/scene05/L0__s20260819__0005.png,L0,260819_main_on,1.4988,0.8292,-7.0259,1.6918,0.9707016782407407,0.02929832175925926,4.5546875,5.9609375,9.6875,13.8203125,25.125,25.5625,4.07421875,0.49473042052469135,0.8271243572235107,0.21469464898109436,0.0,0.15985243055555556,0.18771122685185185,0.30407648533950615,0.04319515824317932,0.2734375,0.010340998880565166
scene05,on,on/scene05/L0__s20260819__0006.png,L0,260819_main_on,4.3849,1.788,-7.598,-3.6478,0.9162852044753086,0.08371479552469135,6.609375,8.7265625,12.3828125,27.0625,28.265625,131.75,4.67578125,0.7088445216049383,0.9341654777526855,0.11896853893995285,0.0,0.004013792438271605,0.17938368055555556,0.2588377700617284,0.02984260767698288,0.1796875,0.004418971948325634
scene05,on,on/scene05/L0__s20260819__0007.png,L0,260819_main_on,3.4946,1.3272,-11.0887,-6.1282,0.9610228587962963,0.03897714120370371,5.0546875,6.79296875,10.609375,14.046875,26.953125,133.125,2.517578125,0.5538315007716049,0.8549534678459167,0.19112728536128998,0.0,0.04194203317901234,0.30625723379629627,0.25535831404320986,0.04252194985747337,0.2109375,0.0054248021915555
scene05,on,on/scene05/L0__s20260820__0000.png::boost_e,L0,260820_boost_e_on,7.0354,1.4098,-10.3105,7.3985,0.9313464506172839,0.06865354938271605,2.994140625,4.01953125,11.25,17.28125,30.53125,137.0,2.81640625,0.5709698109567901,0.7469168305397034,0.2998340427875519,0.0,0.35105420524691355,0.07510609567901234,0.060268614969135804,0.05416356772184372,0.1796875,0.017163105309009552
scene05,on,on/scene05/L0__s20260820__0001.png::boost_e,L0,260820_boost_e_on,9.8857,1.8889,-5.7189,0.3564,0.8547294560185185,0.14527054398148148,4.6484375,6.078125,8.015625,20.203125,33.71875,132.875,4.23828125,0.5337557870370371,0.819815456867218,0.20771658420562744,0.0,0.0852367862654321,0.3413527199074074,0.041182002314814815,0.10841543972492218,3.78515625,0.05832171067595482
