stem,scene,pair,hm_bytes_identical,n_cells_diff,pct_cells,x_min,x_max,y_min,y_max,dz_max,dz_median,cells_in_drop_footprint,footprint_cells_total,cells_in_camera_strip,classification,lineage_cellsraw_A,lineage_cellsraw_B,lineage_gt_frames_differ,lineage_gtcells_per_frame_A,lineage_gtcells_per_frame_B,twin_cellsraw_A,twin_cellsraw_B,twin_gt_frames_differ,twin_gtcells_per_frame_A,twin_gtcells_per_frame_B
260823_cueoff,scene12,B1_vs_A,False,14467,14.04,-2.0,14.0,-8.0,1.2,0.0046,0.002,0,50,0,PROP-CELL,50,50,0/24,2.625,2.625,50278,50278,0/24,5.375,5.375
260823_cueoff,scene12,B2_vs_A,False,54,0.0524,-2.0,0.05,1.1,1.2,0.0046,0.0017,0,50,0,PROP-CELL,50,50,0/24,2.625,2.625,50278,50278,0/24,5.375,5.375
260823_cueoff,scene12,P_vs_A,False,42,0.0408,-2.0,-1.9,-3.65,-2.55,0.0029,0.0023,0,50,0,PROP-CELL,50,50,0/24,2.625,2.625,50278,50278,0/24,5.375,5.375
260823_cueoff,scene17,B1_vs_A,True,0,0.0,,,,,0.0,0.0,0,65833,0,IDENTICAL,65833,65833,0/24,6.125,6.125,65833,65833,0/24,6.125,6.125
260823_cueoff,scene17,P_vs_A,True,0,0.0,,,,,0.0,0.0,0,65833,0,IDENTICAL,65833,65833,0/24,6.125,6.125,65833,65833,0/24,6.125,6.125
260823_cueoff,scene20,B1_vs_A,False,16012,15.5394,-2.0,12.15,-8.0,8.0,3.16,1.01,1624,60659,0,HAZARD-CELL,60659,61961,3/24,3.0,3.25,60659,61961,3/24,3.0,3.25
260823_cueoff,scene20,B2_vs_A,False,12656,12.2825,-2.0,5.55,-2.95,4.8,3.16,1.01,14,60659,0,HAZARD-CELL,60659,61961,3/24,3.0,3.25,60659,61961,3/24,3.0,3.25
260823_cueoff,scene20,P_vs_A,True,0,0.0,,,,,0.0,0.0,0,60659,0,IDENTICAL,60659,60659,0/24,3.0,3.0,60659,60659,0/24,3.0,3.0
260823_cueoff2,scene12,B1_vs_A,False,14467,14.04,-2.0,14.0,-8.0,1.2,0.0046,0.002,0,50,0,PROP-CELL,50,50,0/24,2.625,2.625,50278,50278,0/24,7.0,7.0
260823_cueoff2,scene12,B2_vs_A,False,54,0.0524,-2.0,0.05,1.1,1.2,0.0046,0.0017,0,50,0,PROP-CELL,50,50,0/24,2.625,2.625,50278,50278,0/24,7.0,7.0
260823_cueoff2,scene12,P_vs_A,False,42,0.0408,-2.0,-1.9,-3.65,-2.55,0.0029,0.0023,0,50,0,PROP-CELL,50,50,0/24,2.625,2.625,50278,50278,0/24,7.0,7.0
260823_cueoff_s20fix,scene20,B1_vs_A,False,16012,15.5394,-2.0,12.15,-8.0,8.0,3.16,1.01,1624,60659,0,HAZARD-CELL,60659,61961,6/48,3.812,3.938,60659,61961,6/48,3.812,3.938
260823_cueoff_s20fix,scene20,B2_vs_A,False,12656,12.2825,-2.0,5.55,-2.95,4.8,3.16,1.01,14,60659,0,HAZARD-CELL,60659,61961,6/48,3.812,3.938,60659,61961,6/48,3.812,3.938
260823_cueoff_s20fix,scene20,P_vs_A,True,0,0.0,,,,,0.0,0.0,0,60659,0,IDENTICAL,60659,60659,0/48,3.812,3.812,60659,60659,0/48,3.812,3.812
