scene,round,n_frames,group,mean_px,median_px,max_px,mean_pct_frame,n_zero
scene12,260820_boost_e2_on,24,CUE_bridge(geometry_silhouette),476771.5,461455.7,603982.5,22.992,0
scene12,260820_boost_e2_on,24,CUE_bikelines(signage_or_marking),65699.7,64421.5,107278.1,3.168,0
scene12,260820_boost_e2_on,24,PLA_streetlights,64280.1,29796.5,212207.2,3.1,12
scene12,260820_boost_e2_on,24,PLA_upperbenches,40763.7,0.0,179259.2,1.966,18
scene12,260820_boost_e2_on,24,CUE_reeds(vegetation_edge),35744.4,34432.5,47480.9,1.724,0
scene12,260820_boost_e2_on,24,PLA_farhedges,10486.3,0.0,62804.9,0.506,18
scene12,260820_boost_e2_on,24,CUE_guard(cue_railing),9929.8,9659.6,14716.8,0.479,0
scene12,260820_boost_e2_on,24,CUE_lowerbenches(lower-level-only),8653.2,8345.9,14432.3,0.417,0
scene12,260820_boost_e2_on,24,PLA_uppertrees,0.0,0.0,0.0,0.0,24
scene12,260820_boost_e_on,24,CUE_bridge(geometry_silhouette),456098.7,475392.5,660447.1,21.995,0
scene12,260820_boost_e_on,24,PLA_streetlights,131818.7,140354.2,252668.2,6.357,6
scene12,260820_boost_e_on,24,CUE_bikelines(signage_or_marking),100476.9,92864.6,167672.8,4.846,0
scene12,260820_boost_e_on,24,CUE_reeds(vegetation_edge),30303.6,30635.8,39769.1,1.461,0
scene12,260820_boost_e_on,24,PLA_farhedges,28953.1,15675.6,74496.7,1.396,12
scene12,260820_boost_e_on,24,PLA_upperbenches,24760.1,0.0,130599.3,1.194,15
scene12,260820_boost_e_on,24,CUE_lowerbenches(lower-level-only),6571.6,6539.9,8397.6,0.317,0
scene12,260820_boost_e_on,24,CUE_guard(cue_railing),6311.9,6462.7,10217.8,0.304,0
scene12,260820_boost_e_on,24,PLA_uppertrees,0.0,0.0,0.0,0.0,24
scene17,260819_main_on,9,CUE_reeds,74016.0,74017.9,83485.2,3.569,0
scene17,260819_main_on,9,CUE_terracetrees,39435.0,30391.8,60810.0,1.902,0
scene17,260819_main_on,9,CUE_terracelights(base-hidden column),16614.2,10774.2,30114.3,0.801,0
scene17,260819_main_on,9,CUE_kmsign,12168.5,12409.5,15618.0,0.587,0
scene17,260819_main_on,9,PLA_terracebenches,4403.4,3635.5,6527.1,0.212,0
scene17,260819_main_on,9,PLA_crowntrees,0.0,0.0,0.0,0.0,9
scene17,260819_main_on,9,PLA_crownlights,0.0,0.0,0.0,0.0,9
scene17,260820_boost_h_on,24,CUE_reeds,75543.5,74468.3,84654.4,3.643,0
scene17,260820_boost_h_on,24,CUE_terracetrees,56957.9,62840.5,69179.0,2.747,0
scene17,260820_boost_h_on,24,CUE_terracelights(base-hidden column),20944.9,19959.4,35165.9,1.01,0
scene17,260820_boost_h_on,24,CUE_kmsign,9548.1,9879.4,11609.2,0.46,0
scene17,260820_boost_h_on,24,PLA_terracebenches,4409.0,4255.6,7306.2,0.213,0
scene17,260820_boost_h_on,24,PLA_crowntrees,0.0,0.0,0.0,0.0,24
scene17,260820_boost_h_on,24,PLA_crownlights,0.0,0.0,0.0,0.0,24
scene20,260820_boost_e2_on,6,CUE_cheekwalls(cue_railing),1672268.9,1672268.9,1988584.5,80.646,0
scene20,260820_boost_e2_on,6,PLA_belt_E,725009.1,725009.1,756709.9,34.964,0
scene20,260820_boost_e2_on,6,PLA_backdrop_E,240328.6,240328.6,249500.8,11.59,0
scene20,260820_boost_e2_on,6,PLA_backdrop_NS,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_planters,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_benches,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_streetlights,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_bollards,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_hedges,0.0,0.0,0.0,0.0,6
