scene,round,n_frames,group,mean_px,median_px,max_px,mean_pct_frame,n_zero
scene12,260820_boost_e2_on,24,CUE_bridge(geometry_silhouette),101945.4,14965.3,385933.0,4.916,9
scene12,260820_boost_e2_on,24,CUE_bikelines(signage_or_marking),65699.7,64421.5,107278.1,3.168,0
scene12,260820_boost_e2_on,24,PLA_streetlights,64280.1,29796.5,212207.2,3.1,12
scene12,260820_boost_e2_on,24,PLA_upperbenches,40763.7,0.0,179259.2,1.966,18
scene12,260820_boost_e2_on,24,CUE_reeds(vegetation_edge),11166.8,9949.5,19766.6,0.539,0
scene12,260820_boost_e2_on,24,PLA_farhedges,10486.3,0.0,62804.9,0.506,18
scene12,260820_boost_e2_on,24,CUE_guard(cue_railing),9929.8,9659.6,14716.8,0.479,0
scene12,260820_boost_e2_on,24,CUE_lowerbenches(lower-level-only),1970.3,1769.2,3702.0,0.095,0
scene12,260820_boost_e2_on,24,PLA_apartments(far bank),1369.5,0.0,10955.8,0.066,21
scene12,260820_boost_e2_on,24,PLA_uppertrees,0.0,0.0,0.0,0.0,24
scene12,260820_boost_e_on,24,CUE_bridge(geometry_silhouette),456098.7,475392.5,660447.1,21.995,0
scene12,260820_boost_e_on,24,PLA_streetlights,131818.7,140354.2,252668.2,6.357,6
scene12,260820_boost_e_on,24,CUE_bikelines(signage_or_marking),100476.9,92864.6,167672.8,4.846,0
scene12,260820_boost_e_on,24,PLA_farhedges,28953.1,15675.6,74496.7,1.396,12
scene12,260820_boost_e_on,24,PLA_upperbenches,24760.1,0.0,130599.3,1.194,15
scene12,260820_boost_e_on,24,CUE_reeds(vegetation_edge),23274.5,17838.0,39769.1,1.122,0
scene12,260820_boost_e_on,24,PLA_apartments(far bank),12619.3,0.0,57360.1,0.609,15
scene12,260820_boost_e_on,24,CUE_guard(cue_railing),6311.9,6462.7,10217.8,0.304,0
scene12,260820_boost_e_on,24,CUE_lowerbenches(lower-level-only),6291.6,6140.7,8397.6,0.303,0
scene12,260820_boost_e_on,24,PLA_uppertrees,0.0,0.0,0.0,0.0,24
scene17,260819_main_on,9,PLA_apartments(far bank),461072.4,490762.8,557639.9,22.235,0
scene17,260819_main_on,9,CUE_reeds,74016.0,74017.9,83485.2,3.569,0
scene17,260819_main_on,9,CUE_terracetrees,445.2,311.1,742.8,0.021,0
scene17,260819_main_on,9,CUE_kmsign,265.3,271.7,329.8,0.013,0
scene17,260819_main_on,9,CUE_terracelights(base-hidden column),73.2,72.4,107.7,0.004,0
scene17,260819_main_on,9,PLA_terracebenches,0.0,0.0,0.0,0.0,9
scene17,260819_main_on,9,PLA_crowntrees,0.0,0.0,0.0,0.0,9
scene17,260819_main_on,9,PLA_crownlights,0.0,0.0,0.0,0.0,9
scene17,260820_boost_h_on,24,PLA_apartments(far bank),427310.8,470317.4,519041.1,20.607,0
scene17,260820_boost_h_on,24,CUE_reeds,22080.2,6597.1,84654.4,1.065,9
scene17,260820_boost_h_on,24,CUE_terracetrees,441.2,422.0,719.9,0.021,0
scene17,260820_boost_h_on,24,CUE_kmsign,132.2,193.2,242.6,0.006,9
scene17,260820_boost_h_on,24,CUE_terracelights(base-hidden column),90.8,91.5,136.2,0.004,0
scene17,260820_boost_h_on,24,PLA_terracebenches,0.0,0.0,0.0,0.0,24
scene17,260820_boost_h_on,24,PLA_crowntrees,0.0,0.0,0.0,0.0,24
scene17,260820_boost_h_on,24,PLA_crownlights,0.0,0.0,0.0,0.0,24
scene20,260820_boost_e2_on,6,CUE_cheekwalls(cue_railing),1672268.9,1672268.9,1988584.5,80.646,0
scene20,260820_boost_e2_on,6,PLA_backdrop_E,240328.6,240328.6,249500.8,11.59,0
scene20,260820_boost_e2_on,6,PLA_belt_E,13399.3,13399.3,14485.2,0.646,0
scene20,260820_boost_e2_on,6,PLA_backdrop_NS,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_planters,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_benches,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_streetlights,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_bollards,0.0,0.0,0.0,0.0,6
scene20,260820_boost_e2_on,6,PLA_hedges,0.0,0.0,0.0,0.0,6
