scene,stem,pair,frame,tier_A,tier_B,px_ge8,px_ge32,n_px,pct_ge8,pct_ge32
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0000.png,H,H,934216,368591,2073600,45.0529,17.7754
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0001.png,H,H,697099,405926,2073600,33.6178,19.5759
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0002.png,H,H,892095,491864,2073600,43.0216,23.7203
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0003.png,H,H,778947,457739,2073600,37.565,22.0746
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0004.png,H,H,871460,374927,2073600,42.0264,18.081
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0005.png,H,H,922266,539293,2073600,44.4766,26.0076
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0006.png,H,H,870802,354356,2073600,41.9947,17.0889
scene12,260823_cueoff,A_vs_B1,L0__s20260820__0007.png,H,H,910681,383143,2073600,43.9179,18.4772
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0000.png,H,H,1616603,1376873,2073600,77.9612,66.4001
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0001.png,H,H,1280500,1038406,2073600,61.7525,50.0774
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0002.png,H,H,1052159,498286,2073600,50.7407,24.03
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0003.png,H,H,1392581,1086994,2073600,67.1576,52.4206
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0004.png,H,H,1721122,1522561,2073600,83.0016,73.426
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0005.png,H,H,1524860,1177452,2073600,73.5368,56.783
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0006.png,H,H,1509777,1185474,2073600,72.8095,57.1698
scene12,260823_cueoff,A_vs_B1,L5__s20260820__0007.png,H,H,1304230,581217,2073600,62.8969,28.0294
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0000.png,H,H,1363840,507049,2073600,65.7716,24.4526
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0001.png,H,H,958355,415283,2073600,46.217,20.0272
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0002.png,H,H,1550434,1438513,2073600,74.7702,69.3727
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0003.png,H,H,996401,433204,2073600,48.0517,20.8914
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0004.png,H,H,1348524,422655,2073600,65.033,20.3827
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0005.png,H,H,1580034,1332237,2073600,76.1976,64.2475
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0006.png,H,H,1343402,503579,2073600,64.786,24.2853
scene12,260823_cueoff,A_vs_B1,L7__s20260820__0007.png,H,H,1325289,430260,2073600,63.9125,20.7494
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0000.png,H,H,149890,128810,2073600,7.2285,6.2119
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0001.png,H,H,103758,84872,2073600,5.0038,4.093
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0002.png,H,H,43697,27893,2073600,2.1073,1.3451
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0003.png,H,H,176653,141972,2073600,8.5191,6.8466
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0004.png,H,H,103585,69967,2073600,4.9954,3.3742
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0005.png,H,H,177132,158824,2073600,8.5422,7.6593
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0006.png,H,H,197584,175216,2073600,9.5285,8.4498
scene12,260823_cueoff,A_vs_B2,L0__s20260820__0007.png,H,H,140968,106989,2073600,6.7982,5.1596
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0000.png,H,H,226310,115659,2073600,10.9139,5.5777
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0001.png,H,H,140568,56418,2073600,6.7789,2.7208
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0002.png,H,H,171569,112398,2073600,8.274,5.4204
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0003.png,H,H,198619,90902,2073600,9.5785,4.3838
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0004.png,H,H,158199,45974,2073600,7.6292,2.2171
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0005.png,H,H,218818,139079,2073600,10.5526,6.7071
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0006.png,H,H,289609,128093,2073600,13.9665,6.1773
scene12,260823_cueoff,A_vs_B2,L5__s20260820__0007.png,H,H,282439,177260,2073600,13.6207,8.5484
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0000.png,H,H,257040,128407,2073600,12.3958,6.1925
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0001.png,H,H,158595,85863,2073600,7.6483,4.1408
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0002.png,H,H,84659,29842,2073600,4.0827,1.4391
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0003.png,H,H,213809,137857,2073600,10.311,6.6482
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0004.png,H,H,210819,72078,2073600,10.1668,3.476
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0005.png,H,H,247641,152131,2073600,11.9426,7.3366
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0006.png,H,H,343161,182745,2073600,16.549,8.8129
scene12,260823_cueoff,A_vs_B2,L7__s20260820__0007.png,H,H,243129,106767,2073600,11.725,5.1489
scene12,260823_cueoff,A_vs_P,L0__s20260820__0000.png,H,H,39890,31389,2073600,1.9237,1.5137
scene12,260823_cueoff,A_vs_P,L0__s20260820__0001.png,H,H,101134,82856,2073600,4.8772,3.9958
scene12,260823_cueoff,A_vs_P,L0__s20260820__0002.png,H,H,116504,86175,2073600,5.6184,4.1558
scene12,260823_cueoff,A_vs_P,L0__s20260820__0003.png,H,H,5969,4673,2073600,0.2879,0.2254
scene12,260823_cueoff,A_vs_P,L0__s20260820__0004.png,H,H,132644,114127,2073600,6.3968,5.5038
