scene,stem,pair,pop,n,px_ge8,px_ge32,pct_ge8,pct_ge32
scene12,260823_cueoff,A_vs_B1,all,24,1197736.5,721911.8,57.7612,34.8144
scene12,260823_cueoff,A_vs_B1,H_A,24,1197736.5,721911.8,57.7612,34.8144
scene12,260823_cueoff,A_vs_B1,paired,24,1197736.5,721911.8,57.7612,34.8144
scene12,260823_cueoff,A_vs_B2,all,24,189093.8,110667.3,9.1191,5.337
scene12,260823_cueoff,A_vs_B2,H_A,24,189093.8,110667.3,9.1191,5.337
scene12,260823_cueoff,A_vs_B2,paired,24,189093.8,110667.3,9.1191,5.337
scene12,260823_cueoff,A_vs_P,all,24,96316.5,64012.5,4.6449,3.087
scene12,260823_cueoff,A_vs_P,H_A,24,96316.5,64012.5,4.6449,3.087
scene12,260823_cueoff,A_vs_P,paired,24,96316.5,64012.5,4.6449,3.087
scene12,260823_cueoff,A_vs_C,all,24,252163.6,137588.2,12.1607,6.6352
scene12,260823_cueoff,A_vs_C,H_A,24,252163.6,137588.2,12.1607,6.6352
scene12,260823_cueoff,A_vs_C,paired,0,0,0,0.0,0.0
scene12,260823_cueoff,A_vs_LINEAGE_ON,all,24,10295.0,8.5,0.4965,0.0004
scene12,260823_cueoff,A_vs_LINEAGE_ON,H_A,24,10295.0,8.5,0.4965,0.0004
scene17,260823_cueoff,A_vs_B1,all,24,746423.0,616553.5,35.9965,29.7335
scene17,260823_cueoff,A_vs_B1,H_A,24,746423.0,616553.5,35.9965,29.7335
scene17,260823_cueoff,A_vs_B1,paired,24,746423.0,616553.5,35.9965,29.7335
scene17,260823_cueoff,A_vs_P,all,24,449947.1,342268.6,21.6988,16.506
scene17,260823_cueoff,A_vs_P,H_A,24,449947.1,342268.6,21.6988,16.506
scene17,260823_cueoff,A_vs_P,paired,24,449947.1,342268.6,21.6988,16.506
scene17,260823_cueoff,A_vs_C,all,24,364620.9,281017.1,17.584,13.5521
scene17,260823_cueoff,A_vs_C,H_A,24,364620.9,281017.1,17.584,13.5521
scene17,260823_cueoff,A_vs_C,paired,0,0,0,0.0,0.0
scene17,260823_cueoff,A_vs_LINEAGE_ON,all,24,46861.9,272.3,2.2599,0.0131
scene17,260823_cueoff,A_vs_LINEAGE_ON,H_A,24,46861.9,272.3,2.2599,0.0131
scene20,260823_cueoff,A_vs_B1,all,24,900178.2,642822.9,43.4114,31.0003
scene20,260823_cueoff,A_vs_B1,H_A,6,1134614.5,671122.8,54.7171,32.3651
scene20,260823_cueoff,A_vs_B1,paired,6,1134614.5,671122.8,54.7171,32.3651
scene20,260823_cueoff,A_vs_B2,all,24,217940.0,139779.8,10.5102,6.7409
scene20,260823_cueoff,A_vs_B2,H_A,6,261545.2,173689.7,12.6131,8.3762
scene20,260823_cueoff,A_vs_B2,paired,6,261545.2,173689.7,12.6131,8.3762
scene20,260823_cueoff,A_vs_P,all,24,223751.5,184385.9,10.7905,8.8921
scene20,260823_cueoff,A_vs_P,H_A,6,182770.7,157834.3,8.8142,7.6116
scene20,260823_cueoff,A_vs_P,paired,6,182770.7,157834.3,8.8142,7.6116
scene20,260823_cueoff,A_vs_C,all,24,300646.4,246995.6,14.4988,11.9114
scene20,260823_cueoff,A_vs_C,H_A,6,296272.8,232131.5,14.2878,11.1946
scene20,260823_cueoff,A_vs_C,paired,0,0,0,0.0,0.0
scene20,260823_cueoff,A_vs_LINEAGE_ON,all,24,2435.7,1.0,0.1175,0.0001
scene20,260823_cueoff,A_vs_LINEAGE_ON,H_A,6,1889.8,0.5,0.0911,0.0
scene12,260823_cueoff2,A_vs_B1,all,24,1422549.6,794278.3,68.6029,38.3043
scene12,260823_cueoff2,A_vs_B1,H_A,24,1422549.6,794278.3,68.6029,38.3043
scene12,260823_cueoff2,A_vs_B1,paired,24,1422549.6,794278.3,68.6029,38.3043
scene12,260823_cueoff2,A_vs_B2,all,24,199542.8,127831.8,9.623,6.1647
scene12,260823_cueoff2,A_vs_B2,H_A,24,199542.8,127831.8,9.623,6.1647
scene12,260823_cueoff2,A_vs_B2,paired,24,199542.8,127831.8,9.623,6.1647
scene12,260823_cueoff2,A_vs_P,all,24,79496.5,51242.5,3.8337,2.4712
scene12,260823_cueoff2,A_vs_P,H_A,24,79496.5,51242.5,3.8337,2.4712
scene12,260823_cueoff2,A_vs_P,paired,24,79496.5,51242.5,3.8337,2.4712
scene12,260823_cueoff2,A_vs_C,all,24,129876.6,89558.7,6.2633,4.319
scene12,260823_cueoff2,A_vs_C,H_A,24,129876.6,89558.7,6.2633,4.319
scene12,260823_cueoff2,A_vs_C,paired,0,0,0,0.0,0.0
scene12,260823_cueoff2,A_vs_LINEAGE_ON,all,24,146.5,0.2,0.0071,0.0
scene12,260823_cueoff2,A_vs_LINEAGE_ON,H_A,24,146.5,0.2,0.0071,0.0
