label_set,stem,scene,model,leg,pair,n_paired,verdict,folded,d_cue_mean,sign_class,placebo_ratio,placebo_grade
lineage,260823_cueoff,scene12,rgb,primary,A_vs_B2,24,NO-EFFECT,False,0.0,NO-EFFECT,0.578,ANTI-CONSERVATIVE
lineage,260823_cueoff,scene12,rgb,primary-twinconditional,A_vs_B2,24,NO-EFFECT,False,0.0,NO-EFFECT,,
lineage,260823_cueoff,scene12,rgb,secondary,A_vs_B1,24,CUE EVIDENCE,False,0.375,SAME-SIGN,0.089,SEVERELY ANTI-CONSERVATIVE
lineage,260823_cueoff,scene12,depth,primary,A_vs_B2,24,UNDECIDED,False,0.0833,MIXED,0.578,ANTI-CONSERVATIVE
lineage,260823_cueoff,scene12,depth,primary-twinconditional,A_vs_B2,24,SHORTCUT,False,-0.0417,SAME-SIGN,,
lineage,260823_cueoff,scene12,depth,secondary,A_vs_B1,24,UNDECIDED,False,0.0417,MIXED,0.089,SEVERELY ANTI-CONSERVATIVE
lineage,260823_cueoff,scene12,b2,primary,A_vs_B2,24,SHORTCUT,False,0.0278,SAME-SIGN,0.578,ANTI-CONSERVATIVE
lineage,260823_cueoff,scene12,b2,primary-twinconditional,A_vs_B2,24,NO-EFFECT,False,0.0,NO-EFFECT,,
lineage,260823_cueoff,scene12,b2,secondary,A_vs_B1,24,CUE EVIDENCE,False,0.9722,SAME-SIGN,0.089,SEVERELY ANTI-CONSERVATIVE
lineage,260823_cueoff,scene17,rgb,primary,A_vs_B1,24,UNDECIDED,False,0.1111,SAME-SIGN,0.555,ANTI-CONSERVATIVE
lineage,260823_cueoff,scene17,rgb,primary-twinconditional,A_vs_B1,24,SHORTCUT,False,0.0833,SAME-SIGN,,
lineage,260823_cueoff,scene17,depth,primary,A_vs_B1,24,NO-EFFECT,False,0.0,NO-EFFECT,0.555,ANTI-CONSERVATIVE
lineage,260823_cueoff,scene17,depth,primary-twinconditional,A_vs_B1,24,NO-EFFECT,False,0.0,NO-EFFECT,,
lineage,260823_cueoff,scene17,b2,primary,A_vs_B1,24,NO-EFFECT,False,0.0,NO-EFFECT,0.555,ANTI-CONSERVATIVE
lineage,260823_cueoff,scene17,b2,primary-twinconditional,A_vs_B1,24,NO-EFFECT,False,0.0,NO-EFFECT,,
lineage,260823_cueoff,scene20,rgb,primary,A_vs_B2,6,VOID,False,0.2222,SAME-SIGN,0.909,MATCHED
lineage,260823_cueoff,scene20,rgb,primary-twinconditional,A_vs_B2,6,VOID,False,0.2222,SAME-SIGN,,
lineage,260823_cueoff,scene20,rgb,secondary,A_vs_B1,6,VOID,False,0.9444,SAME-SIGN,0.235,SEVERELY ANTI-CONSERVATIVE
lineage,260823_cueoff,scene20,depth,primary,A_vs_B2,6,VOID,False,0.0,NO-EFFECT,0.909,MATCHED
