scene,split,H,n_on_wired,on_wired,off_wired,dead,extra
scene14,test,60,3,material_break|sign|scene_dressing,railing|tactile|nosing,,
scene09,train,60,2,material_break|scene_dressing,,railing|tactile|nosing|sign,
scene12,train,48,3,railing|material_break|scene_dressing,nosing,tactile|sign,
scene15,test,36,2,material_break|scene_dressing,railing,tactile|nosing|sign,
scene17,train,33,2,material_break|scene_dressing,railing|nosing,tactile|sign,
scene20,val,6,3,railing|material_break|scene_dressing,tactile,nosing|sign,
scene11,hold,0,5,railing|nosing|material_break|sign|scene_dressing,tactile,,
sceneC1,train,0,5,railing|tactile|nosing|material_break|scene_dressing,,sign,snow_cover=True
sceneD4,hold,0,5,railing|tactile|nosing|material_break|scene_dressing,,sign,
scene01,train,0,4,railing|material_break|sign|scene_dressing,tactile,,
scene02,train,0,4,railing|nosing|material_break|scene_dressing,tactile,sign,
scene08,val,0,4,railing|material_break|sign|scene_dressing,tactile|nosing,,
scene13,hold,0,4,railing|material_break|sign|scene_dressing,tactile|nosing,,
scene16,train,0,4,railing|nosing|material_break|scene_dressing,tactile,sign,
scene21,train,0,4,railing|nosing|material_break|scene_dressing,tactile,sign,
sceneC4,train,0,4,railing|tactile|material_break|scene_dressing,nosing,sign,wet_surface=True
scene06,train,0,3,railing|material_break|scene_dressing,tactile|nosing,sign,
scene10,train,0,3,railing|material_break|scene_dressing,tactile|nosing,sign,
sceneC2,test,0,3,railing|material_break|scene_dressing,tactile|nosing,sign,leaf_cover=True|keep_dressing=False
sceneD1,train,0,3,nosing|material_break|scene_dressing,railing,tactile|sign,
sceneN3,test,0,3,nosing|material_break|scene_dressing,,railing|tactile|sign,keep_dressing=False
scene03,train,0,2,material_break|scene_dressing,railing|tactile|nosing,sign,
scene04,train,0,2,material_break|scene_dressing,railing|tactile|nosing,sign,
scene05,test,0,2,material_break|scene_dressing,,railing|tactile|nosing|sign,
scene07,test,0,2,material_break|scene_dressing,railing|tactile|nosing|sign,,
scene18,test,0,2,material_break|scene_dressing,railing|tactile|nosing,sign,
sceneD2,train,0,2,material_break|scene_dressing,railing|nosing,tactile|sign,
sceneD3,val,0,2,material_break|scene_dressing,railing|tactile,nosing|sign,grass_overhang=True
sceneN1,train,0,2,material_break|scene_dressing,,railing|tactile|nosing|sign,
sceneN2,train,0,2,material_break|scene_dressing,,railing|tactile|nosing|sign,
sceneN4,train,0,2,material_break|scene_dressing,railing,tactile|nosing|sign,
sceneN5,train,0,2,material_break|scene_dressing,,railing|tactile|nosing|sign,
scene19,hold,0,1,scene_dressing,,railing|tactile|nosing|material_break|sign,
