scene_id,cut,tier,kept,mismatch,n_gt_pos,max_on_gt,max_off_gt,delta_score,max_on_all,max_off_all,delta_frame,max_on_b1,max_off_b1,delta_b1,max_on_b2,max_off_b2,delta_b2,max_on_b3,max_off_b3,delta_b3,max_on_b4,max_off_b4,delta_b4
scene05,L0__s20260819__0000.png,V,True,,20,0.904293,0.016897,0.887396,0.904293,0.016897,0.887396,0.23897,0.000897,0.23807299999999998,0.857633,0.004702,0.852931,0.857526,0.001955,0.855571,0.904293,0.016897,0.887396
scene05,L0__s20260819__0001.png,V,True,,4,0.939043,0.403653,0.53539,0.939043,0.403653,0.53539,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.939043,0.403653,0.53539
scene05,L0__s20260819__0002.png,V,True,,5,0.995894,0.921195,0.07469899999999996,0.995894,0.921195,0.07469899999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.995894,0.921195,0.07469899999999996
scene05,L0__s20260819__0003.png,V,True,,15,0.994457,0.001463,0.992994,0.994457,0.001463,0.992994,nan,nan,nan,0.876357,2e-06,0.8763550000000001,0.988621,3.4e-05,0.988587,0.994457,0.001463,0.992994
scene05,L0__s20260819__0004.png,V,True,,20,0.766186,0.000971,0.765215,0.766186,0.000971,0.765215,0.326788,1e-06,0.32678700000000005,0.526139,0.0,0.526139,0.766186,0.0,0.766186,0.561973,0.000971,0.5610019999999999
scene05,L0__s20260819__0005.png,V,True,,20,0.905886,0.039006,0.86688,0.905886,0.039006,0.86688,0.261273,1.3e-05,0.26126,0.905886,7e-06,0.905879,0.434183,8e-06,0.434175,0.88367,0.039006,0.844664
scene05,L0__s20260819__0006.png,V,True,,15,0.985753,0.835849,0.14990400000000004,0.985753,0.835849,0.14990400000000004,nan,nan,nan,0.824585,0.0,0.824585,0.767644,1e-06,0.767643,0.985753,0.835849,0.14990400000000004
scene05,L0__s20260819__0007.png,V,True,,15,0.955642,0.408581,0.547061,0.955642,0.408581,0.547061,nan,nan,nan,0.955642,0.0,0.955642,0.903081,3e-06,0.903078,0.911676,0.408581,0.5030950000000001
scene05,L0__s20260820__0000.png::boost_e,V,True,,10,0.982162,0.002002,0.98016,0.982162,0.002002,0.98016,nan,nan,nan,nan,nan,nan,0.965825,5.5e-05,0.96577,0.982162,0.002002,0.98016
scene05,L0__s20260820__0001.png::boost_e,V,True,,5,0.988831,0.679116,0.30971499999999996,0.988831,0.679116,0.30971499999999996,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.988831,0.679116,0.30971499999999996
scene05,L0__s20260820__0002.png::boost_e,V,True,,9,0.996737,0.085128,0.911609,0.996737,0.085128,0.911609,nan,nan,nan,nan,nan,nan,0.942374,0.000311,0.9420630000000001,0.996737,0.085128,0.911609
scene05,L0__s20260820__0003.png::boost_e,V,True,,13,0.998088,0.596014,0.40207399999999993,0.998088,0.596014,0.40207399999999993,nan,nan,nan,0.935853,0.0,0.935853,0.986265,2e-06,0.986263,0.998088,0.596014,0.40207399999999993
scene05,L0__s20260820__0004.png::boost_e,V,True,,13,0.997364,0.010062,0.987302,0.997364,0.010062,0.987302,nan,nan,nan,0.57394,1e-05,0.57393,0.966573,2.1e-05,0.966552,0.997364,0.010062,0.987302
scene05,L0__s20260820__0005.png::boost_e,V,True,,12,0.999285,0.003535,0.99575,0.999285,0.003535,0.99575,nan,nan,nan,0.686114,0.0,0.686114,0.991695,5e-06,0.99169,0.999285,0.003535,0.99575
scene05,L0__s20260820__0006.png::boost_e,V,True,,5,0.969603,0.275469,0.694134,0.969603,0.275469,0.694134,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.969603,0.275469,0.694134
scene05,L0__s20260820__0007.png::boost_e,V,True,,10,0.990092,0.000799,0.989293,0.990092,0.000799,0.989293,nan,nan,nan,nan,nan,nan,0.613884,0.0,0.613884,0.990092,0.000799,0.989293
scene05,L0__s20260821__0000.png::boost_e2,V,True,,9,0.961024,0.455207,0.505817,0.961024,0.455207,0.505817,nan,nan,nan,nan,nan,nan,0.41025,0.030012,0.380238,0.961024,0.455207,0.505817
scene05,L0__s20260821__0001.png::boost_e2,V,True,,9,0.705713,0.010702,0.695011,0.705713,0.010702,0.695011,nan,nan,nan,nan,nan,nan,0.331281,0.00033,0.330951,0.705713,0.010702,0.695011
scene05,L0__s20260821__0002.png::boost_e2,V,True,,13,0.308562,0.05363,0.254932,0.308562,0.05363,0.254932,nan,nan,nan,0.006086,0.015508,-0.009422,0.016633,0.0062,0.010432999999999998,0.308562,0.05363,0.254932
scene05,L0__s20260821__0003.png::boost_e2,V,True,,9,0.942672,0.268821,0.673851,0.942672,0.268821,0.673851,nan,nan,nan,nan,nan,nan,0.342505,0.002564,0.339941,0.942672,0.268821,0.673851
