model,world,base,arm,view,tier_pred,expect_band,max_prob,mean_prob,top_cell,top_band,top_sector,band_hit,fired,n_fired,A1,A2,A3a,A3b,B1,B2,B3a,B3b,C1,C2,C3a,C3b,D1,D2,D3a,D3b,E1,E2,E3a,E3b
b2_s42,gz_drop1,gz_drop1,hazard,extra_h0.3_d1.2,V,1,0.986878,0.398717,D3a,3a,D,0,1,7,0.053879,0.476964,0.06252,0.263109,0.015531,0.243329,0.675556,0.252985,0.02571,0.135113,0.922448,0.823061,0.010635,0.138427,0.986878,0.949656,0.001731,0.285545,0.947667,0.703605
b2_s42,gz_drop1,gz_drop1,hazard,preset_h0.3_d10,V,3b,0.893402,0.167128,C3b,3b,C,1,1,2,0.000633,0.034356,0.082676,0.019408,0.000118,0.116413,0.358791,0.447576,0.00033,0.047448,0.263834,0.893402,0.0002,0.096626,0.129241,0.643736,0.000226,0.00543,0.126268,0.075838
b2_s42,gz_drop1,gz_drop1,hazard,preset_h0.3_d2,V,2,0.996669,0.364305,D3b,3b,D,0,1,6,0.006699,0.076204,0.0122,0.171756,0.004374,0.086721,0.255167,0.418102,0.004104,0.084648,0.96825,0.949873,0.003515,0.151563,0.988591,0.996669,0.00114,0.173461,0.952854,0.980206
b2_s42,gz_drop1,gz_drop1,hazard,preset_h0.3_d5,V,3a,0.677631,0.165533,C3b,3b,C,0,1,2,0.008025,0.597605,0.006347,0.000747,0.001269,0.306585,0.332135,0.286999,0.002533,0.100604,0.072176,0.677631,0.005025,0.129166,0.184853,0.359509,0.003384,0.170278,0.06458,0.001205
b2_s42,gz_drop1,gz_drop1,hazard,preset_h0.9_d10,V,3b,0.984273,0.337629,C3b,3b,C,1,1,7,0.000989,0.11552,0.097239,0.081619,0.00061,0.503917,0.717559,0.597497,0.000446,0.17908,0.885899,0.984273,0.000343,0.245657,0.752752,0.916858,0.000705,0.031574,0.251806,0.388245
b2_s42,gz_drop1,gz_drop1,hazard,preset_h0.9_d2,V,2,0.867606,0.353205,D3a,3a,D,0,1,6,0.186569,0.745238,0.25479,0.057285,0.028131,0.549573,0.673872,0.198328,0.025819,0.379745,0.489407,0.564998,0.040227,0.308529,0.867606,0.448582,0.003304,0.394721,0.809626,0.037741
b2_s42,gz_drop1,gz_drop1,hazard,preset_h0.9_d5,V,3a,0.825575,0.22531,C3b,3b,C,0,1,2,0.009716,0.465235,0.002095,0.001005,0.00545,0.447095,0.350129,0.427023,0.008403,0.173341,0.248318,0.825575,0.015942,0.204096,0.371244,0.570841,0.013047,0.307424,0.059364,0.000851
b2_s42,gz_drop1,gz_drop1,hazard,rs_h0.125_d2,V,2,0.506735,0.05655,D3b,3b,D,0,1,1,0.000192,0.00318,8.9e-05,0.000945,0.000374,0.000663,0.000997,0.017562,0.000421,0.000752,0.007975,0.373485,0.000584,0.001953,0.058845,0.506735,0.000103,0.003374,0.020883,0.131896
b2_s42,gz_drop1,gz_drop1,hazard,rs_h0.125_d5,V,3a,0.007422,0.000853,C3b,3b,C,0,0,0,0.000334,0.000218,0.000163,0.000318,0.000118,0.000209,9.5e-05,0.004818,0.00019,0.000151,2.6e-05,0.007422,0.000247,0.000234,9.7e-05,0.001356,0.000101,0.00024,0.000124,0.000595
b2_s42,gz_drop1_ctrl,gz_drop1,ctrl,extra_h0.3_d1.2,ctrl,1,0.019505,0.004728,D3a,3a,D,0,0,0,0.002526,0.007778,0.003731,0.00221,0.001791,0.001274,0.000598,0.00148,0.00137,0.001879,0.001297,0.015479,0.002498,0.001056,0.019505,0.01146,0.00081,0.005065,0.006873,0.005889
