model,world,base,arm,view,tier_pred,expect_band,max_prob,mean_prob,top_cell,top_band,top_sector,band_hit,fired,n_fired,A1,A2,A3a,A3b,B1,B2,B3a,B3b,C1,C2,C3a,C3b,D1,D2,D3a,D3b,E1,E2,E3a,E3b
rgb_s42,gz_drop1,gz_drop1,hazard,extra_h0.3_d1.2,V,1,0.003035,0.000404,A3a,3a,A,0,0,0,3.9e-05,1.1e-05,0.003035,0.002164,8e-06,1.2e-05,0.00034,0.002207,1.1e-05,1e-05,6e-06,6e-06,5e-06,1.3e-05,5.9e-05,1.5e-05,1.9e-05,1.7e-05,9.2e-05,1.8e-05
rgb_s42,gz_drop1,gz_drop1,hazard,preset_h0.3_d10,V,3b,0.861237,0.438266,E3a,3a,E,0,1,9,0.087769,0.390405,0.73325,0.806583,0.03256,0.460889,0.323534,0.298259,0.110922,0.806558,0.431153,0.27222,0.073319,0.50532,0.573703,0.52742,0.099698,0.59357,0.861237,0.776956
rgb_s42,gz_drop1,gz_drop1,hazard,preset_h0.3_d2,V,2,0.065517,0.005844,B3b,3b,B,0,0,0,0.00068,0.000458,0.013469,0.029439,0.000106,0.000675,0.001948,0.065517,0.000173,0.00038,5.7e-05,0.001309,9.1e-05,0.00036,0.000173,0.000893,0.000359,0.000202,0.000344,0.000249
rgb_s42,gz_drop1,gz_drop1,hazard,preset_h0.3_d5,V,3a,0.019384,0.002709,B3b,3b,B,0,0,0,0.000407,7.4e-05,0.001875,0.001353,3.6e-05,0.000487,0.003688,0.019384,7.7e-05,0.000403,0.000253,0.005111,5.2e-05,0.00089,0.001994,0.012883,0.000409,0.000258,0.001676,0.002877
rgb_s42,gz_drop1,gz_drop1,hazard,preset_h0.9_d10,V,3b,0.631487,0.223812,B3b,3b,B,1,1,4,0.020624,0.197277,0.343765,0.518135,0.004552,0.601869,0.265836,0.631487,0.006735,0.577842,0.157843,0.163333,0.008421,0.477858,0.099478,0.112273,0.02246,0.109976,0.119054,0.037429
rgb_s42,gz_drop1,gz_drop1,hazard,preset_h0.9_d2,V,2,0.090694,0.018075,D1,1,D,0,0,0,0.042342,0.000423,3.2e-05,2.2e-05,0.0336,0.001703,3.1e-05,2.7e-05,0.07409,0.020826,0.000778,0.00155,0.090694,0.007273,0.001001,0.011769,0.066288,0.003863,0.000413,0.004771
rgb_s42,gz_drop1,gz_drop1,hazard,preset_h0.9_d5,V,3a,0.012209,0.004251,E1,1,E,0,0,0,0.008707,0.000553,0.00138,0.000788,0.003648,0.004169,0.005959,0.007483,0.007663,0.00486,0.002893,0.00298,0.006629,0.006344,0.003778,0.001685,0.012209,0.000844,0.001561,0.000889
rgb_s42,gz_drop1,gz_drop1,hazard,rs_h0.125_d2,V,2,0.037309,0.003337,B3b,3b,B,0,0,0,7.8e-05,5.9e-05,0.000808,0.012525,1.7e-05,0.000161,0.0038,0.037309,2.9e-05,0.000417,0.000368,0.002221,1.4e-05,0.000151,0.001488,0.002333,3.7e-05,7.8e-05,0.000614,0.004228
rgb_s42,gz_drop1,gz_drop1,hazard,rs_h0.125_d5,V,3a,0.269111,0.038085,D3b,3b,D,0,0,0,0.000467,0.000125,0.001675,0.003369,5.3e-05,0.000714,0.016086,0.082697,0.000135,0.002991,0.015445,0.256774,0.000153,0.001528,0.065305,0.269111,0.00079,0.000675,0.012336,0.031276
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,extra_h0.3_d1.2,ctrl,1,0.00023,4.4e-05,D3a,3a,D,0,0,0,1.9e-05,1e-06,5.6e-05,8.5e-05,4e-06,2e-06,0.000154,0.00014,8e-06,9e-06,1.5e-05,1.1e-05,2e-06,4e-06,0.00023,2.3e-05,1e-05,8e-06,5.7e-05,5.1e-05
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.3_d10,ctrl,3b,0.769685,0.359854,E3a,3a,E,0,1,5,0.079698,0.270728,0.621829,0.700607,0.031684,0.344558,0.243775,0.213861,0.11061,0.737774,0.339004,0.216397,0.069453,0.380323,0.441561,0.393953,0.096448,0.473283,0.769685,0.661859
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.3_d2,ctrl,2,0.000769,8.1e-05,B3b,3b,B,0,0,0,7.5e-05,1e-05,5.7e-05,0.000284,1.5e-05,1.8e-05,0.000142,0.000769,3.5e-05,2.6e-05,6e-06,4.8e-05,1e-05,1e-05,2.3e-05,2e-05,4.5e-05,1.1e-05,6e-06,1.2e-05
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.3_d5,ctrl,3a,0.008534,0.000875,B3b,3b,B,0,0,0,0.000178,1.6e-05,0.000213,0.000545,2.3e-05,0.000122,0.000927,0.008534,4.9e-05,0.000151,7.7e-05,0.001627,3e-05,0.000211,0.000759,0.002737,0.000191,9.3e-05,0.000259,0.00075
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.9_d10,ctrl,3b,0.51319,0.09643,B3b,3b,B,1,1,1,0.02511,0.058962,0.171062,0.442486,0.010144,0.112994,0.079935,0.51319,0.019597,0.146137,0.031946,0.091334,0.014448,0.062746,0.01309,0.021786,0.031455,0.038408,0.02767,0.016096
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.9_d2,ctrl,2,0.00371,0.000879,B3b,3b,B,0,0,0,0.001035,0.000237,0.001538,0.001593,0.000235,0.000328,0.001391,0.00371,0.000581,0.001089,0.000361,0.00136,0.000303,0.000323,0.000551,0.001102,0.000784,0.000485,0.000318,0.000264
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,preset_h0.9_d5,ctrl,3a,0.010159,0.003182,C1,1,C,0,0,0,0.006274,0.000644,0.000892,0.002088,0.004788,0.002817,0.001742,0.004754,0.010159,0.005825,0.000363,0.000717,0.00755,0.003374,0.000758,0.000707,0.007748,0.000997,0.000532,0.000901
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,rs_h0.125_d2,ctrl,2,0.063323,0.004053,B3b,3b,B,0,0,0,7.2e-05,1.9e-05,9e-05,0.00977,3.9e-05,3.8e-05,0.000623,0.063323,6.1e-05,0.000115,8.2e-05,0.004635,2.5e-05,1.9e-05,0.000105,0.000852,4.9e-05,2.5e-05,2.5e-05,0.001083
rgb_s42,gz_drop1_ctrl,gz_drop1,ctrl,rs_h0.125_d5,ctrl,3a,0.284897,0.038473,C3b,3b,C,0,0,0,0.000495,0.000113,0.001228,0.00289,5.8e-05,0.000645,0.015106,0.081921,0.000151,0.002795,0.015199,0.284897,0.000168,0.00135,0.061205,0.26328,0.000883,0.000663,0.009264,0.027146
rgb_s42,gz_drop2,gz_drop2,hazard,extra_h0.3_d1.2,V,1,0.406544,0.138047,C3b,3b,C,0,0,0,0.10636,0.087472,0.216313,0.138102,0.026626,0.088796,0.102033,0.131463,0.054389,0.220149,0.176944,0.406544,0.063231,0.092048,0.079138,0.339652,0.109317,0.083893,0.094403,0.144065
rgb_s42,gz_drop2,gz_drop2,hazard,preset_h0.3_d10,V,3b,0.820643,0.465496,E3a,3a,E,0,1,9,0.156275,0.302453,0.684769,0.73607,0.058165,0.484033,0.403029,0.488496,0.169421,0.742254,0.398392,0.567075,0.123016,0.514611,0.565791,0.724223,0.152994,0.492173,0.820643,0.72604
rgb_s42,gz_drop2,gz_drop2,hazard,preset_h0.3_d2,V,2,0.931827,0.275849,B3b,3b,B,0,1,4,0.03724,0.088358,0.310949,0.644256,0.008338,0.141055,0.470792,0.931827,0.011669,0.149382,0.325804,0.893815,0.015607,0.128011,0.164407,0.644577,0.042872,0.131889,0.14599,0.230147
rgb_s42,gz_drop2,gz_drop2,hazard,preset_h0.3_d5,V,3a,0.750356,0.151506,D3b,3b,D,0,1,2,0.01282,0.005492,0.034574,0.032189,0.001545,0.027642,0.051469,0.463419,0.002956,0.024401,0.03382,0.650668,0.003967,0.058003,0.138662,0.750356,0.012817,0.032713,0.276097,0.416517
rgb_s42,gz_drop2,gz_drop2,hazard,preset_h0.9_d10,V,3b,0.436424,0.107518,B3b,3b,B,1,0,0,0.098405,0.098055,0.287557,0.264362,0.024436,0.1526,0.097543,0.436424,0.048363,0.133529,0.032313,0.121085,0.037023,0.106738,0.011572,0.030179,0.101024,0.029462,0.031849,0.007846
rgb_s42,gz_drop2,gz_drop2,hazard,preset_h0.9_d2,V,2,0.935897,0.431128,A3a,3a,A,0,1,10,0.104575,0.524827,0.935897,0.846023,0.016438,0.573406,0.514218,0.845497,0.024105,0.497863,0.174905,0.336731,0.030694,0.548833,0.41164,0.517082,0.055537,0.689153,0.791175,0.18397
rgb_s42,gz_drop2,gz_drop2,hazard,preset_h0.9_d5,V,3a,0.890675,0.205138,B3b,3b,B,0,1,3,0.023686,0.137799,0.539393,0.542958,0.003335,0.252656,0.383742,0.890675,0.004048,0.08856,0.05926,0.439438,0.005695,0.154142,0.065123,0.319344,0.017597,0.066447,0.075309,0.03355
rgb_s42,gz_drop2,gz_drop2,hazard,rs_h0.125_d2,V,2,0.210802,0.061677,B3b,3b,B,0,0,0,0.014264,0.0156,0.055858,0.135122,0.003002,0.029574,0.044428,0.210802,0.007507,0.072441,0.033896,0.153294,0.006294,0.030079,0.047608,0.177232,0.012397,0.025934,0.066731,0.091478
rgb_s42,gz_drop2,gz_drop2,hazard,rs_h0.125_d5,V,3a,0.573972,0.104504,D3b,3b,D,0,1,1,0.012831,0.012193,0.026202,0.069414,0.002161,0.036719,0.046964,0.259827,0.00592,0.073033,0.036706,0.379087,0.005646,0.052502,0.114037,0.573972,0.015146,0.037403,0.091101,0.239225
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,extra_h0.3_d1.2,ctrl,1,0.482996,0.163244,C3b,3b,C,0,0,0,0.082277,0.103818,0.298048,0.292125,0.018567,0.098628,0.171262,0.295643,0.034793,0.191076,0.21555,0.482996,0.038687,0.105728,0.113673,0.247131,0.063531,0.091281,0.145186,0.174879
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.3_d10,ctrl,3b,0.744712,0.375257,E3a,3a,E,0,1,4,0.165986,0.295411,0.731362,0.635712,0.05179,0.38922,0.376622,0.328165,0.161902,0.674156,0.323408,0.279754,0.102431,0.440519,0.421673,0.363195,0.143722,0.407914,0.744712,0.467479
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.3_d2,ctrl,2,0.759311,0.195526,B3b,3b,B,0,1,2,0.037237,0.07487,0.206387,0.454736,0.009517,0.103898,0.284801,0.759311,0.012916,0.125594,0.210502,0.631571,0.015592,0.101105,0.112527,0.313842,0.033012,0.104791,0.131032,0.187287
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.3_d5,ctrl,3a,0.406121,0.076052,B3b,3b,B,0,0,0,0.014933,0.011956,0.098296,0.181045,0.001949,0.043066,0.062225,0.406121,0.004006,0.02674,0.015501,0.117097,0.003618,0.061975,0.072052,0.110506,0.009506,0.029224,0.150209,0.101023
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.9_d10,ctrl,3b,0.50083,0.110422,B3b,3b,B,1,1,1,0.075748,0.094394,0.286671,0.3101,0.016352,0.159442,0.108901,0.50083,0.030164,0.132971,0.036458,0.126954,0.023679,0.113658,0.015051,0.025346,0.069271,0.030544,0.04275,0.009162
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.9_d2,ctrl,2,0.960117,0.506875,A3a,3a,A,0,1,13,0.117163,0.68525,0.960117,0.876007,0.02139,0.621647,0.783889,0.890418,0.027532,0.52997,0.423191,0.586974,0.029711,0.537017,0.512365,0.584709,0.059526,0.709044,0.827933,0.353647
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,preset_h0.9_d5,ctrl,3a,0.900124,0.229274,B3b,3b,B,0,1,3,0.044237,0.334989,0.678725,0.814705,0.00947,0.409026,0.38451,0.900124,0.012131,0.15075,0.03953,0.255659,0.013255,0.185219,0.028452,0.15898,0.030099,0.088363,0.031217,0.016042
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,rs_h0.125_d2,ctrl,2,0.360806,0.075358,D3b,3b,D,0,0,0,0.007587,0.010978,0.0278,0.100539,0.001457,0.025741,0.033902,0.1979,0.004067,0.081994,0.039646,0.216636,0.003767,0.030553,0.095291,0.360806,0.007979,0.034063,0.082194,0.144264
rgb_s42,gz_drop2_ctrl,gz_drop2,ctrl,rs_h0.125_d5,ctrl,3a,0.615196,0.091528,D3b,3b,D,0,1,1,0.006887,0.0057,0.008379,0.024193,0.001194,0.023602,0.029542,0.389199,0.003023,0.039103,0.011984,0.328586,0.003033,0.040439,0.064967,0.615196,0.007551,0.022178,0.051751,0.154061
rgb_s42,gz_drop3,gz_drop3,hazard,extra_h0.3_d1.2,H,1,0.998073,0.552578,C3a,3a,C,0,1,11,0.024313,0.308505,0.984706,0.989095,0.001821,0.401716,0.995911,0.987628,0.000721,0.108455,0.998073,0.886952,0.000846,0.51785,0.92958,0.985965,0.004346,0.1549,0.800113,0.970071
rgb_s42,gz_drop3,gz_drop3,hazard,preset_h0.3_d10,H,3b,0.647313,0.280797,C2,2,C,0,1,3,0.06033,0.177443,0.49469,0.560063,0.021673,0.324416,0.237943,0.178964,0.069147,0.647313,0.255902,0.124347,0.043518,0.376714,0.338295,0.237062,0.063092,0.290512,0.622333,0.492188
rgb_s42,gz_drop3,gz_drop3,hazard,preset_h0.3_d2,H,2,0.992171,0.503324,A3a,3a,A,0,1,10,0.000823,0.177198,0.992171,0.898845,8e-06,0.211633,0.979552,0.976099,7e-06,0.026869,0.9666,0.962482,8e-06,0.159667,0.954707,0.986107,0.000154,0.083401,0.960421,0.729721
rgb_s42,gz_drop3,gz_drop3,hazard,preset_h0.3_d5,H,3a,0.053903,0.007604,D3b,3b,D,0,0,0,0.00067,0.000157,0.002886,0.002385,6.4e-05,0.001052,0.006907,0.030757,0.000135,0.00123,0.001676,0.016296,0.000108,0.002368,0.009606,0.053903,0.000598,0.000688,0.007376,0.013222
rgb_s42,gz_drop3,gz_drop3,hazard,preset_h0.9_d10,H,3b,0.229514,0.043218,B3b,3b,B,1,0,0,0.01043,0.020124,0.058808,0.14051,0.00362,0.046364,0.05774,0.229514,0.006559,0.080681,0.032064,0.041938,0.005282,0.036166,0.014816,0.017253,0.012973,0.019077,0.016702,0.013742
rgb_s42,gz_drop3,gz_drop3,hazard,preset_h0.9_d2,H,2,0.992878,0.632999,A3a,3a,A,0,1,14,0.263776,0.551856,0.992878,0.921499,0.026014,0.69051,0.936448,0.969597,0.020941,0.453954,0.917488,0.972627,0.030478,0.611212,0.899523,0.957271,0.087373,0.633841,0.964855,0.757834
