seed,world,view,idx,hazard,conf,x0,y0,x1,y1,area_pct,overlap_wedge,center_in_wedge,iou_wedge,overlap_full
42,gz_drop1,preset_h0.3_d2,000,1,0.81088,5,0,1920,541,49.962,1,0,0.18603,1
42,gz_drop1,preset_h0.3_d2,001,1,0.81088,5,0,1920,541,49.962,1,0,0.18603,1
42,gz_drop1,preset_h0.3_d2,002,1,0.81088,5,0,1920,541,49.962,1,0,0.18603,1
42,gz_drop2,preset_h0.9_d2,000,1,0.29333,0,0,1920,959,88.775,1,1,0.58056,1
42,gz_drop2,preset_h0.9_d2,001,1,0.29333,0,0,1920,959,88.775,1,1,0.58056,1
42,gz_drop2,preset_h0.9_d2,002,1,0.29333,0,0,1920,959,88.775,1,1,0.58056,1
43,gz_drop3,preset_h0.9_d2,000,1,0.63228,0,509,1920,1080,52.861,1,1,0.62786,1
43,gz_drop3,preset_h0.9_d2,001,1,0.63228,0,509,1920,1080,52.861,1,1,0.62786,1
43,gz_drop3,preset_h0.9_d2,002,1,0.63228,0,509,1920,1080,52.861,1,1,0.62786,1
43,gz_drop3_ctrl,preset_h0.9_d2,000,0,0.63187,0,509,1920,1080,52.863,0,0,0.0,0
43,gz_drop3_ctrl,preset_h0.9_d2,001,0,0.63187,0,509,1920,1080,52.863,0,0,0.0,0
43,gz_drop3_ctrl,preset_h0.9_d2,002,0,0.63187,0,509,1920,1080,52.863,0,0,0.0,0
44,gz_drop2_ctrl,preset_h0.9_d10,000,0,0.53414,722,347,1344,729,11.488,0,0,0.0,0
44,gz_drop2_ctrl,preset_h0.9_d10,000,0,0.43831,732,351,1340,1015,19.486,0,0,0.0,0
44,gz_drop2_ctrl,preset_h0.9_d10,001,0,0.53414,722,347,1344,729,11.488,0,0,0.0,0
44,gz_drop2_ctrl,preset_h0.9_d10,001,0,0.43831,732,351,1340,1015,19.486,0,0,0.0,0
44,gz_drop2_ctrl,preset_h0.9_d10,002,0,0.53414,722,347,1344,729,11.488,0,0,0.0,0
44,gz_drop2_ctrl,preset_h0.9_d10,002,0,0.43831,732,351,1340,1015,19.486,0,0,0.0,0
44,gz_drop2_ctrl,rs_h0.125_d5,000,0,0.44557,12,135,1273,720,80.066,0,0,0.0,0
44,gz_drop2_ctrl,rs_h0.125_d5,001,0,0.44557,12,135,1273,720,80.066,0,0,0.0,0
44,gz_drop2_ctrl,rs_h0.125_d5,002,0,0.44557,12,135,1273,720,80.066,0,0,0.0,0
44,gz_drop3,preset_h0.3_d5,000,1,0.56554,276,259,1298,1071,40.012,1,0,0.25191,1
44,gz_drop3,preset_h0.3_d5,000,1,0.32665,43,279,1560,1073,58.071,1,0,0.17356,1
44,gz_drop3,preset_h0.3_d5,001,1,0.56554,276,259,1298,1071,40.012,1,0,0.25191,1
44,gz_drop3,preset_h0.3_d5,001,1,0.32665,43,279,1560,1073,58.071,1,0,0.17356,1
44,gz_drop3,preset_h0.3_d5,002,1,0.56554,276,259,1298,1071,40.012,1,0,0.25191,1
44,gz_drop3,preset_h0.3_d5,002,1,0.32665,43,279,1560,1073,58.071,1,0,0.17356,1
44,gz_drop3,rs_h0.125_d5,000,1,0.37335,0,54,967,720,69.829,1,0,0.1003,1
44,gz_drop3,rs_h0.125_d5,001,1,0.37335,0,54,967,720,69.829,1,0,0.1003,1
44,gz_drop3,rs_h0.125_d5,002,1,0.37335,0,54,967,720,69.829,1,0,0.1003,1
44,gz_drop3_ctrl,preset_h0.3_d5,000,0,0.5587,270,260,1298,1071,40.21,0,0,0.0,0
44,gz_drop3_ctrl,preset_h0.3_d5,000,0,0.31953,39,280,1549,1073,57.743,0,0,0.0,0
44,gz_drop3_ctrl,preset_h0.3_d5,001,0,0.5587,270,260,1298,1071,40.21,0,0,0.0,0
44,gz_drop3_ctrl,preset_h0.3_d5,001,0,0.31953,39,280,1549,1073,57.743,0,0,0.0,0
44,gz_drop3_ctrl,preset_h0.3_d5,002,0,0.5587,270,260,1298,1071,40.21,0,0,0.0,0
44,gz_drop3_ctrl,preset_h0.3_d5,002,0,0.31953,39,280,1549,1073,57.743,0,0,0.0,0
44,gz_drop3_ctrl,rs_h0.125_d5,000,0,0.37586,0,54,968,720,69.899,0,0,0.0,0
44,gz_drop3_ctrl,rs_h0.125_d5,001,0,0.37586,0,54,968,720,69.899,0,0,0.0,0
44,gz_drop3_ctrl,rs_h0.125_d5,002,0,0.37586,0,54,968,720,69.899,0,0,0.0,0
