epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.311580,0.395215,0.082278,0.057018,0.044326,3.000e-04,24.21,0.000000,0.041139
2,0.234636,0.398793,0.145266,0.081871,0.006107,2.980e-04,24.10,0.500000,0.322633
3,0.188639,0.339915,0.333606,0.298246,0.065997,2.960e-04,24.25,0.666667,0.500136
4,0.164821,0.332402,0.309991,0.242690,0.043538,2.940e-04,23.93,0.000000,0.154995
5,0.149665,0.319667,0.321232,0.213450,0.015563,2.920e-04,23.96,0.000000,0.160616
6,0.128219,0.520383,0.340189,0.447368,0.159377,2.900e-04,23.79,0.500000,0.420094
7,0.129198,0.349357,0.287513,0.200292,0.026005,2.880e-04,24.11,0.333333,0.310423
8,0.116023,0.539357,0.357036,0.524854,0.190701,2.860e-04,23.91,0.666667,0.511851
9,0.110032,0.449426,0.368239,0.467836,0.144602,2.840e-04,24.04,0.666667,0.517453
10,0.095868,0.477561,0.331599,0.372807,0.118006,2.820e-04,23.81,0.833333,0.582466
11,0.070924,0.401517,0.255898,0.206140,0.054571,2.800e-04,24.13,0.833333,0.544616
12,0.072353,0.397478,0.388382,0.342105,0.056541,2.780e-04,24.19,1.000000,0.694191
13,0.069987,0.543214,0.325798,0.358187,0.113278,2.760e-04,23.97,1.000000,0.662899
14,0.079544,0.324254,0.472222,0.472222,0.071119,2.740e-04,23.91,0.833333,0.652778
15,0.060491,0.443249,0.374497,0.407895,0.103822,2.720e-04,23.83,1.000000,0.687248
16,0.061971,0.395726,0.452763,0.557018,0.121749,2.700e-04,23.83,0.833333,0.643048
17,0.053764,0.411577,0.311070,0.248538,0.047084,2.680e-04,23.87,0.666667,0.488869
18,0.058471,0.495457,0.323944,0.369883,0.123128,2.660e-04,23.95,0.833333,0.578638
19,0.046104,0.434962,0.362884,0.448830,0.138101,2.640e-04,23.88,0.833333,0.598109
20,0.036426,0.405978,0.356979,0.342105,0.077423,2.620e-04,23.73,0.833333,0.595156
21,0.035613,0.489095,0.217054,0.184211,0.069149,2.600e-04,23.52,0.666667,0.441860
22,0.032530,0.471627,0.281869,0.260234,0.078999,2.580e-04,23.84,1.000000,0.640934
23,0.037993,0.428430,0.384784,0.384503,0.082742,2.560e-04,23.82,0.666667,0.525725
24,0.029815,0.497919,0.391876,0.479532,0.130418,2.540e-04,23.73,1.000000,0.695938
25,0.026631,0.488774,0.263115,0.238304,0.077226,2.520e-04,23.68,1.000000,0.631558
26,0.035427,0.431688,0.331192,0.339181,0.095548,2.500e-04,23.90,1.000000,0.665596
27,0.036305,0.475481,0.377310,0.432749,0.116036,2.480e-04,23.79,1.000000,0.688655
28,0.028200,0.449596,0.324282,0.305556,0.078014,2.460e-04,23.81,1.000000,0.662141
29,0.031443,0.436470,0.364532,0.324561,0.061466,2.440e-04,23.64,0.500000,0.432266
30,0.030887,0.487898,0.449795,0.641813,0.163318,2.420e-04,23.68,1.000000,0.724898
31,0.026935,0.494101,0.395109,0.448830,0.110914,2.400e-04,24.34,1.000000,0.697555
32,0.031786,0.499393,0.336531,0.333333,0.087273,2.380e-04,23.70,0.666667,0.501599
33,0.044981,0.762862,0.436989,0.742690,0.223207,2.360e-04,24.10,1.000000,0.718495
34,0.037683,0.410196,0.301016,0.238304,0.046493,2.340e-04,23.75,0.833333,0.567175
35,0.020387,0.447772,0.353363,0.288012,0.046099,2.320e-04,24.00,0.500000,0.426682
36,0.018471,0.480157,0.373832,0.350877,0.070922,2.300e-04,23.84,1.000000,0.686916
37,0.016033,0.632472,0.232804,0.225146,0.095548,2.280e-04,23.76,0.333333,0.283069
38,0.017685,0.571702,0.275281,0.286550,0.107171,2.260e-04,23.76,1.000000,0.637640
39,0.012988,0.501727,0.362013,0.326023,0.064027,2.240e-04,23.93,0.833333,0.597673
40,0.020536,0.539102,0.273333,0.239766,0.069346,2.220e-04,23.68,0.833333,0.553333
41,0.013545,0.532258,0.229221,0.191520,0.064618,2.200e-04,23.82,0.833333,0.531277
42,0.015607,0.536642,0.375242,0.425439,0.113475,2.180e-04,23.91,1.000000,0.687621
43,0.017770,0.473384,0.387451,0.361111,0.067770,2.160e-04,23.61,1.000000,0.693725
44,0.018958,0.513238,0.402490,0.425439,0.092790,2.140e-04,23.93,1.000000,0.701245
45,0.013559,0.574198,0.316239,0.324561,0.098109,2.120e-04,23.82,1.000000,0.658120
