epoch,train_loss,val_loss,val_f1,val_recall,val_fpr,lr,sec,val_h_recall,sel_score
1,0.395218,0.350834,0.000000,0.000000,0.000000,3.000e-04,33.41,0.000000,0.000000
2,0.386128,0.351023,0.000000,0.000000,0.000000,2.980e-04,32.91,0.000000,0.000000
3,0.397035,0.350173,0.000000,0.000000,0.000000,2.960e-04,32.91,0.000000,0.000000
4,0.402413,0.365523,0.160494,0.114035,0.041371,2.940e-04,33.12,1.000000,0.580247
5,0.393879,0.359367,0.000000,0.000000,0.000000,2.920e-04,33.10,0.000000,0.000000
6,0.390446,0.349213,0.000000,0.000000,0.000000,2.900e-04,33.15,0.000000,0.000000
7,0.385182,0.345844,0.000000,0.000000,0.000000,2.880e-04,33.05,0.000000,0.000000
8,0.386432,0.379820,0.000000,0.000000,0.000000,2.860e-04,33.10,0.000000,0.000000
9,0.389912,0.369038,0.148148,0.105263,0.042553,2.840e-04,33.01,1.000000,0.574074
10,0.380410,0.342317,0.000000,0.000000,0.000000,2.820e-04,33.04,0.000000,0.000000
11,0.384388,0.356405,0.000000,0.000000,0.000000,2.800e-04,33.09,0.000000,0.000000
12,0.392399,0.358920,0.000000,0.000000,0.000000,2.780e-04,32.71,0.000000,0.000000
13,0.372738,0.363180,0.160494,0.114035,0.041371,2.760e-04,32.88,1.000000,0.580247
14,0.390180,0.354869,0.000000,0.000000,0.000000,2.740e-04,33.04,0.000000,0.000000
15,0.380426,0.341364,0.000000,0.000000,0.000000,2.720e-04,33.12,0.000000,0.000000
16,0.372628,0.354745,0.000000,0.000000,0.000000,2.700e-04,33.07,0.000000,0.000000
17,0.372326,0.365725,0.191532,0.138889,0.041962,2.680e-04,33.19,1.000000,0.595766
18,0.365228,0.332000,0.306505,0.203216,0.016548,2.660e-04,33.22,0.000000,0.153252
19,0.386364,0.358282,0.000000,0.000000,0.000000,2.640e-04,33.10,0.000000,0.000000
20,0.383663,0.357533,0.000000,0.000000,0.000000,2.620e-04,33.06,0.000000,0.000000
21,0.383315,0.354543,0.000000,0.000000,0.000000,2.600e-04,33.05,0.000000,0.000000
22,0.383560,0.353589,0.000000,0.000000,0.000000,2.580e-04,32.94,0.000000,0.000000
23,0.354220,0.321368,0.398827,0.298246,0.026596,2.560e-04,32.91,0.000000,0.199413
24,0.390879,0.359880,0.068493,0.036550,0.004137,2.540e-04,32.89,0.000000,0.034247
25,0.341043,0.310099,0.205314,0.124269,0.011623,2.520e-04,32.95,0.000000,0.102657
26,0.356794,0.346251,0.394828,0.334795,0.048660,2.500e-04,32.98,0.000000,0.197414
27,0.326333,0.353016,0.102740,0.065789,0.028960,2.480e-04,33.15,0.000000,0.051370
28,0.317154,0.337712,0.314667,0.258772,0.052009,2.460e-04,33.26,0.000000,0.157333
29,0.326762,0.326325,0.194543,0.119883,0.015169,2.440e-04,33.15,0.000000,0.097272
30,0.314731,0.331920,0.084011,0.045322,0.004531,2.420e-04,33.24,0.000000,0.042005
31,0.312330,0.332324,0.298535,0.238304,0.048266,2.400e-04,33.02,0.166667,0.232601
32,0.321272,0.311139,0.344562,0.261696,0.034673,2.380e-04,33.19,0.000000,0.172281
